Urdu_Idiom,Idiomatic_Sent,Translation_Instruction,Urdu_Sentence_3.5,Urdu_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
ٹیڑھی کھیر,Using a lengthy and complex legal process to resolve a minor dispute is like using a sledgehammer to crack a nut.,Translate this sentence to Urdu: 'Using a lengthy and complex legal process to resolve a minor dispute is like using a sledgehammer to crack a nut.',ایک چھوٹے تنازعے کو حل کرنے کے لیے لمبی اور پیچیدہ قانونی عمل کو استعمال کرنا گولی مارنے کی مانند ہے۔,چھوٹے سے تنازعے کو حل کرنے کے لیے لمبا اور پیچیدہ قانونی عمل استعمال کرنا ایسا ہے جیسے چھوٹی سی چیز کو توڑنے کے لیے ہتھوڑا استعمال کرنا۔,1.0,3.0,1.0,2.0
ایسی حالت جس میں کامیابی یا ناکامی دونوں ممکن ہوں,Buying clothes online can be a bit hit or miss since you can't try them on beforehand.,Translate this sentence to Urdu: 'Buying clothes online can be a bit hit or miss since you can't try them on beforehand.',آن لائن کپڑے خریدنا زیادہ تر کیفیت پر قیمت کا ڈھونگ ہوتا ہے کیونکہ پہلے سے ٹرائی نہیں کرسکتے۔,آن لائن کپڑے خریدنا کچھ عجیب ہو سکتا ہے کیونکہ آپ انہیں پہلے سے پہن کر نہیں دیکھ سکتے۔,1.0,1.0,1.0,1.0
نیم حکیم خطرہ جان نیم ملا خطرہ ایمان,"He thought he knew how to fix the wiring after watching a few online videos, but a little learning is a dangerous thing.","Translate this sentence to Urdu: 'He thought he knew how to fix the wiring after watching a few online videos, but a little learning is a dangerous thing.'",وہ سمجھتا تھا کہ وہ چند آن لائن ویڈیوز دیکھ کر تاروں کو ٹھیک کرنے کا طریقہ جانتا ہے، لیکن تھوڑی سی سیکھنے سے خطرناک ہوتا ہے۔,اس نے سوچا کہ چند آن لائن ویڈیوز دیکھنے کے بعد اسے وائرنگ ٹھیک کرنا آ گیا ہے، لیکن ادھوری معلومات خطرناک ہوتی ہیں۔,3.0,3.0,1.0,3.0
آدمی اپنی صحبت سے پہچانا جاتا ہے,"John's colleagues always knew him as a company man, loyal to the firm's values and never hesitating to put in extra hours.","Translate this sentence to Urdu: 'John's colleagues always knew him as a company man, loyal to the firm's values and never hesitating to put in extra hours.'",جان کے ساتھی ہمیشہ اسے ایک کمپنی کا آدمی جانتے تھے، جو کمپنی کی قدرتیوں کے لئے وفادار تھا اور کبھی بھی اضافی گھنٹے نہیں ڈالنے سے ہچکچاتا تھا۔,جان کے ساتھی ہمیشہ اسے کمپنی کا آدمی سمجھتے تھے، جو فرم کی قدروں کے ساتھ وفادار تھا اور اضافی وقت دینے میں کبھی ہچکچاتا نہیں تھا۔,3.0,3.0,1.0,3.0
ایفائے عہد کرنیوالا,"Despite the challenges, everyone knew they could trust him because he was a man of his word.","Translate this sentence to Urdu: 'Despite the challenges, everyone knew they could trust him because he was a man of his word.'",چندشوں کے باوجود، ہر کوئی جانتا تھا کہ وہ ایک ایماندار انسان ہے اور ان پر بھروسہ کرسکتے ہیں۔,چیلنجوں کے باوجود، سب جانتے تھے کہ وہ اس پر بھروسہ کر سکتے ہیں کیونکہ وہ اپنے وعدے کا پکا تھا۔,2.0,3.0,1.0,3.0
اپنا مکان کوٹ سمان!,"Regardless of how small or humble, a man's home is his castle, and he should feel like a king within its walls.","Translate this sentence to Urdu: 'Regardless of how small or humble, a man's home is his castle, and he should feel like a king within its walls.'","""چاہے گھر چھوٹا ہو یا عام، ایک آدمی کا گھر اس کا محل ہوتا ہے، اور اس کے دیواروں کے اندر وہ خود کو بادشاہ محسوس کرنا چاہیے۔""",چاہے کتنا ہی چھوٹا یا معمولی کیوں نہ ہو، ایک آدمی کا گھر اس کا قلعہ ہے، اور اسے اس کی دیواروں کے اندر بادشاہ کی طرح محسوس کرنا چاہیے۔,3.0,3.0,3.0,3.0
کچھ بولو,You've been awfully quiet during the meeting; a penny for your thoughts?,Translate this sentence to Urdu: 'You've been awfully quiet during the meeting; a penny for your thoughts?',تم میٹنگ کے دوران بہت چپ ہو۔ تمہارے خیالات کا تبادلہ کرنا ہو تو؟,میٹنگ کے دوران آپ بالکل خاموش تھے؛ آپ کے خیالات کے لیے ایک پیسہ؟,1.0,3.0,1.0,1.0
بچایا سو کمایا,"By choosing to cook at home instead of dining out, she reminded herself that a penny saved is a penny earned.","Translate this sentence to Urdu: 'By choosing to cook at home instead of dining out, she reminded herself that a penny saved is a penny earned.'",اپنے گھر پر پکانے کا فیصلہ کر کے بیرون کھانے کی بجائے، اس نے یہ خود کو یاد دلایا کہ بچایا ہوا پیسہ کمایا ہوا پیسہ ہے۔,گھر پر کھانا پکانے کا انتخاب کر کے اس نے خود کو یاد دلایا کہ بچایا ہوا پیسہ کمایا ہوا پیسہ ہے۔,3.0,3.0,3.0,3.0
بچایا سو پایا,"By choosing to cook at home instead of dining out, she remembered that a penny saved is a penny earned.","Translate this sentence to Urdu: 'By choosing to cook at home instead of dining out, she remembered that a penny saved is a penny earned.'",اپنے گھر پر کھانا پکانے کا فیصلہ کر کے بیرون کھانا نہیں کھانے پر، اس نے یاد کیا کہ جو بچایا گیا پیسہ کمایا گیا ہے۔,گھر پر کھانا پکانے کا انتخاب کرکے بجائے باہر کھانے کے، اُسے یاد آیا کہ جو پیسہ بچایا گیا وہ پیسہ کمایا گیا۔,3.0,3.0,2.0,3.0
انسان کی بابت کافی اندازہ اس کے کھانے سے لگایا جا سکتا ہے,"If you want to feel better, remember that you are what you eat, so choose nutritious foods.","Translate this sentence to Urdu: 'If you want to feel better, remember that you are what you eat, so choose nutritious foods.'",اگر آپ محسوس بہتر کرنا چاہتے ہیں تو یاد رکھیں کہ آپ وہ ہیں جو آپ کھاتے ہیں، اس لئے صحتمند خوراک منتخب کریں۔,اگر آپ بہتر محسوس کرنا چاہتے ہیں تو یاد رکھیں کہ آپ وہی ہیں جو آپ کھاتے ہیں، لہٰذا غذائیت سے بھرپور کھانے کا انتخاب کریں۔,3.0,3.0,3.0,3.0
اندرونی معاملات کھولنا,He lost the trust of his colleagues because he would often tell tales out of school.,Translate this sentence to Urdu: 'He lost the trust of his colleagues because he would often tell tales out of school.',وہ اپنے ہمکاروں کا اعتبار ختم کر چکا چکا کیونکہ وہ اکثر اسکول کے بہانے گھٹیا کہانیاں سناتا تھا۔,'اس نے اپنے ساتھیوں کا اعتماد کھو دیا کیونکہ وہ اکثر اندر کی باتیں باہر بتا دیتا تھا۔',1.0,3.0,1.0,3.0
چور کے گھر مور,"After years of cheating others out of their money, John found himself scammed out of his entire fortune, proving once again the biter bit.","Translate this sentence to Urdu: 'After years of cheating others out of their money, John found himself scammed out of his entire fortune, proving once again the biter bit.'",سالوں تک دوسروں کے پیسے چھیننے کے بعد، جان نے اپنی پوری دولت کو دھوکا دے کر ختم کر دیا، ایک بار پھر ثابت ہوا کہ چور چور ہوتا ہے۔,سالوں تک دوسروں کے پیسے دھوکہ دے کر حاصل کرنے کے بعد، جان نے خود کو اپنی ساری دولت سے محروم پایا، جو ایک بار پھر ثابت کرتا ہے کہ چور کو چوری سے سبق ملتا ہے۔,2.0,3.0,1.0,3.0
پہلے مارے سو میری !,"By waking up at dawn to start her studies, Jenna proved that the early bird gets the worm.","Translate this sentence to Urdu: 'By waking up at dawn to start her studies, Jenna proved that the early bird gets the worm.'",جینا نے صبح سویرے جاگ کر اپنے مطالعے شروع کرنے سے ثابت کیا کہ جلدی مرغی کو کیچڑ ملتا ہے۔,صبح سویرے اٹھ کر اپنی پڑھائی شروع کر کے، جینا نے ثابت کر دیا کہ صبح کا بھولا شام کو گھر آ جائے تو اسے بھولا نہیں کہتے۔,1.0,1.0,1.0,1.0
مٹی کی رسی بانٹنا !,"After years of tolerating his disrespect, she finally decided to draw a line in the sand and demanded he either change his behavior or leave.","Translate this sentence to Urdu: 'After years of tolerating his disrespect, she finally decided to draw a line in the sand and demanded he either change his behavior or leave.'",سالوں تک اس کی بے عزتی برداشت کرنے کے بعد، انہوں نے آخرکار لکڑی کی کھچری کھینچنے کا فیصلہ کیا اور انہوں نے انہیں فرمایا کہ یا تو اپنے رویہ میں تبدیلی لاؤ یا پھر چلے جاؤ۔,سالوں تک اس کی بے عزتی برداشت کرنے کے بعد، آخرکار اس نے حد مقرر کرنے کا فیصلہ کیا اور مطالبہ کیا کہ یا تو وہ اپنا رویہ بدلے یا چلا جائے۔,2.0,3.0,1.0,3.0
مٹی کی رسی بانٹنا,"After weeks of negotiations, the manager decided to draw a line in the sand and refused to make any further concessions.","Translate this sentence to Urdu: 'After weeks of negotiations, the manager decided to draw a line in the sand and refused to make any further concessions.'",ہفتوں کی مذاکرات کے بعد، مینیجر نے فیصلہ کیا کہ اب وہ خط کھینچے گا اور کوئی مزید تسلیمات نہیں کرے گا۔,ہفتوں کی بات چیت کے بعد، مینیجر نے ایک حد مقرر کرنے کا فیصلہ کیا اور مزید رعایتیں دینے سے انکار کر دیا۔,2.0,3.0,2.0,2.0
بے تکلف اور آزاد,"After weeks of tension, they finally had a heart to heart and cleared the air.","Translate this sentence to Urdu: 'After weeks of tension, they finally had a heart to heart and cleared the air.'",ہفتوں کی تناوٹ کے بعد، انہوں نے آخرکار دل کے بات کیا اور ہوا صاف کی۔,ہفتوں کی کشیدگی کے بعد، انہوں نے آخرکار دل کی باتیں کیں اور غلط فہمیاں دور کر دیں۔,3.0,3.0,2.0,3.0
اپنی مدد آپ,Feel free to help yourself to any of the snacks on the table.,Translate this sentence to Urdu: 'Feel free to help yourself to any of the snacks on the table.',میز پر موجود کسی بھی نیازی اسنیکس سے آزادی سے خود کو مدد دینے کی اجازت ہے۔,میز پر موجود کسی بھی ناشتے سے خود خدمت کرنے میں ہچکچاہٹ محسوس نہ کریں۔,1.0,3.0,1.0,1.0
بزدل,"Despite his tough exterior, John revealed his chicken-hearted nature when it came to confronting his boss about the unfair workload.","Translate this sentence to Urdu: 'Despite his tough exterior, John revealed his chicken-hearted nature when it came to confronting his boss about the unfair workload.'",جان نے اپنے بوس کے ساتھ ناانصافی کے بارے میں بات کرنے کے موقع پر اپنی کھچی کھچی کردار کو دکھایا۔,جان نے اپنے سخت رویے کے باوجود، غیر منصفانہ کام کے بوجھ کے بارے میں اپنے باس کا سامنا کرنے میں اپنی بزدلی کا مظاہرہ کیا۔,1.0,3.0,1.0,3.0
امیر اور غریب ۔ اوپر نیچے ۔ ہر طرف,"I searched high and low for my missing keys, but they were nowhere to be found.","Translate this sentence to Urdu: 'I searched high and low for my missing keys, but they were nowhere to be found.'",میں نے اپنی گمشدہ چابیوں کی تلاش بلندیوں اور نیچیوں میں کی، لیکن وہ کہیں نہیں ملیں۔,میں نے اپنی گمشدہ چابیاں ہر جگہ تلاش کیں، لیکن وہ کہیں نہ ملیں۔,3.0,3.0,2.0,3.0
فیشن ایبل ۔ معاشرے کی زندگی,The home team got the upper hand when their opponents ' star quarterback went out with an injury ..,Translate this sentence to Urdu: 'The home team got the upper hand when their opponents ' star quarterback went out with an injury ..','ہوم ٹیم نے اپنے مخالفین کے سٹار کوارٹر باک کی زخمی ہونے پر فائدہ اٹھایا۔',جب مخالف ٹیم کے سٹار کوارٹر بیک زخمی ہو کر باہر ہو گئے تو ہوم ٹیم کو برتری حاصل ہو گئی۔,3.0,3.0,1.0,3.0
عمل کا وقت,It's high time we addressed the issues that have been plaguing our community for years.,Translate this sentence to Urdu: 'It's high time we addressed the issues that have been plaguing our community for years.',یہ وقت بہت اوپر ہے کہ ہم ان مسائل کا سامنا کریں جو ہماری کمیونٹی کو سالوں سے پریشان کر رہی ہیں۔,اب وقت آ گیا ہے کہ ہم ان مسائل کو حل کریں جو سالوں سے ہماری کمیونٹی کو پریشان کر رہے ہیں۔,2.0,3.0,1.0,3.0
مطلوبہ مقصد حاصل کرنا,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus .,Translate this sentence to Urdu: 'Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus .',اس نے بالکل درست فرمایا جب اس نے کہا کہ کمپنی کو واضع نظری اور توجہ کی کمی ہے۔,اسٹیفن نے بالکل صحیح نشانے پر مارا جب اس نے کہا کہ کمپنی میں جس چیز کی کمی تھی وہ واضح وژن اور توجہ کی تھی۔,3.0,3.0,3.0,3.0
عشق کی آنکھیں نہیں ہوتیں,"Despite all their differences and the warnings from friends, they got married because love is blind.","Translate this sentence to Urdu: 'Despite all their differences and the warnings from friends, they got married because love is blind.'",ان کے تمام فرق اور دوستوں کی ہدایات کے باوجود، وہ شادی کر لیا کیونکہ محبت اندھی ہوتی ہے۔,'اپنے تمام اختلافات اور دوستوں کی وارننگز کے باوجود، انہوں نے شادی کر لی کیونکہ محبت اندھی ہوتی ہے۔',3.0,3.0,3.0,3.0
دل لگا گدھی سے تو بری کیا چیز ہے ۔ پیار اندھا ہوتا ہے,"Despite all her friends warning her about his flaws, she married him anyway, proving that love is blind.","Translate this sentence to Urdu: 'Despite all her friends warning her about his flaws, she married him anyway, proving that love is blind.'",اس کے تمام دوستوں کی چیتھڑیں دی گئیں مگر اس نے اُس سے شادی کرلی، یہ ثابت کرتا ہے کہ محبت اندھی ہوتی ہے۔,اپنے تمام دوستوں کی طرف سے اس کی خامیوں کے بارے میں انتباہ کے باوجود، اس نے اس سے شادی کر لی، جس سے ثابت ہوتا ہے کہ محبت اندھی ہوتی ہے۔,3.0,3.0,1.0,3.0
مجھ سے محبت کرنی ہے تو میری ہر چیز سے محبت کرنی پڑے گی,"""If you're going to be with me, you need to accept that love me, love my dog.""","Translate this sentence to Urdu: '""If you're going to be with me, you need to accept that love me, love my dog.""'","""اگر تم میرے ساتھ رہنا چاہتے ہو، تو تمہیں یہ قبول کرنا ہوگا کہ مجھے پسند کرو، میرے کتے کو بھی پسند کرو۔""","""اگر تم میرے ساتھ رہنے جا رہے ہو، تو تمہیں یہ قبول کرنا ہوگا کہ 'محبت کرو، تو میرے کتے سے بھی محبت کرو'۔""",3.0,3.0,3.0,3.0
گلے پڑا ڈھول بجانا !,"When the company downsized, Sarah made a virtue of necessity by using her newfound free time to start her own successful consulting business.","Translate this sentence to Urdu: 'When the company downsized, Sarah made a virtue of necessity by using her newfound free time to start her own successful consulting business.'",جب کمپنی نے کم کارکردگی کی، سارہ نے ضرورت کی فضیلت بنا لی اور اپنے نئے فراغ وقت کو استعمال کر کے اپنا کامیاب مشاورتی کاروبار شروع کیا۔,جب کمپنی نے اپنے عملے میں کمی کی، سارہ نے ناگزیر کو خوبی بنا کر اپنے نئے فارغ وقت کا استعمال کرتے ہوئے اپنی کامیاب مشاورت کی کاروبار شروع کر دیا۔,3.0,3.0,2.0,3.0
بہتے دریا میں ہاتھ دھونا,She decided to make hay while the sun shines and finished all her outdoor tasks before the rain started.,Translate this sentence to Urdu: 'She decided to make hay while the sun shines and finished all her outdoor tasks before the rain started.',وہ نے فیصلہ کیا کہ جب دھوپ چمک رہی ہو تو گھاس کٹوائے اور سارے باہری کام مکمل کر لیے۔,اس نے فیصلہ کیا کہ موقع سے فائدہ اٹھاتے ہوئے دھوپ میں ہی تمام باہر کے کام نمٹا لے اور بارش شروع ہونے سے پہلے ختم کر دیے۔,2.0,3.0,3.0,3.0
بہتی گنگا میں ہاتھ دھولو - وقت کو غنیمت جانو,She decided to make hay while the sun shines and took on extra work during the busy season to save money for her vacation.,Translate this sentence to Urdu: 'She decided to make hay while the sun shines and took on extra work during the busy season to save money for her vacation.',وہ نے فیصلہ کیا کہ روزانہ کام کرتے ہوئے پیسے بچانے کے لیے مصروف موسم میں اضافی کام لینا ہوگا۔,اُس نے فیصلہ کیا کہ وہ موقع سے فائدہ اٹھائے گی اور مصروف سیزن کے دوران اضافی کام کرے گی تاکہ اپنی چھٹیوں کے لئے پیسے بچا سکے۔,1.0,3.0,1.0,3.0
بھر پور فائدہ اٹھانا,The sun was shining so he made the best of his day and went to the beach with his family .,Translate this sentence to Urdu: 'The sun was shining so he made the best of his day and went to the beach with his family .',سورج چمک رہا تھا تو اس نے اپنے دن کا بہترین فائدہ اٹھایا اور اپنے خاندان کے ساتھ ساحل پر چلا گیا۔,سورج چمک رہا تھا تو اس نے اپنے دن کا بھرپور فائدہ اٹھایا اور اپنے خاندان کے ساتھ ساحل سمندر پر گیا۔,3.0,3.0,3.0,3.0
جیسے کام نکلے ۔ نکالو !,"With the sun shining brightly and a clear forecast for the week, the farmer decided to make hay while the good weather lasted.","Translate this sentence to Urdu: 'With the sun shining brightly and a clear forecast for the week, the farmer decided to make hay while the good weather lasted.'",سورج چمک رہا ہوا اور ہفتے کے لیے صاف پیشگوئی ہونے کے باوجود کسان نے فیصلہ کیا کہ اچھے موسم کے دوران گھاس کاٹے۔,سورج چمک رہا تھا اور پورے ہفتے کے لئے موسم صاف تھا، کسان نے فیصلہ کیا کہ جب تک اچھا موسم ہے، وہ بھوسہ تیار کرے گا۔,2.0,2.0,1.0,1.0
دوسرے کا کام جاری رکھنا,"After seeing her friend donate to the charity, Emma decided to follow suit and contribute as well.","Translate this sentence to Urdu: 'After seeing her friend donate to the charity, Emma decided to follow suit and contribute as well.'",اپنی دوست کو خیرات دینے کے بعد، ایما نے فیصلہ کیا کہ وہ بھی اسی طریقے پر عمل کرے اور امداد کرے۔,اپنی دوست کو خیرات میں عطیہ دیتے ہوئے دیکھ کر، ایما نے بھی اسی کی تقلید کرنے اور تعاون کرنے کا فیصلہ کیا۔,3.0,3.0,3.0,3.0
سیدھے راستے پر چلنا,"When you're lost in a new city, sometimes it's best to follow your nose and trust your instincts.","Translate this sentence to Urdu: 'When you're lost in a new city, sometimes it's best to follow your nose and trust your instincts.'",جب آپ نئے شہر میں گم ہو جائیں، کبھی کبھار بہتر ہوتا ہے کہ آپ اپنی بو قابو کریں اور اپنی ماضی پر بھروسہ کریں۔,جب آپ کسی نئے شہر میں کھو جائیں، تو کبھی کبھی بہتر ہوتا ہے کہ اپنی قوتِ شامہ پر بھروسہ کریں اور اپنے حواس پر اعتماد کریں۔,1.0,3.0,1.0,3.0
ایسی بات جو کچھ سوچنے کا موقع دے,Her insightful comment on the project's long-term impact certainly gave me some food for thought.,Translate this sentence to Urdu: 'Her insightful comment on the project's long-term impact certainly gave me some food for thought.',اس کے تجزیہ کی طویل مدت پر اثرات پر ان کی بصیرت بھری تبصرہ مجھے غور کرنے کی وجہ فراہم کرتا ہے۔,اُس کے پروجیکٹ کے طویل مدتی اثرات پر بصیرت انگیز تبصرے نے واقعی مجھے سوچنے پر مجبور کردیا۔,2.0,2.0,1.0,3.0
وقتی طور پر,"For the time being, we'll have to wait for further instructions before proceeding.","Translate this sentence to Urdu: 'For the time being, we'll have to wait for further instructions before proceeding.'",اس وقت تک ہمیں آگے بڑھنے سے پہلے مزید ہدایات کا انتظار کرنا ہوگا۔,'فی الحال، ہمیں آگے بڑھنے سے پہلے مزید ہدایات کا انتظار کرنا ہوگا۔',3.0,3.0,1.0,3.0
مستقل ملکیت کے طور پر ہمیشہ کے لیے,"After winning the championship, they decided to keep the trophy for keeps.","Translate this sentence to Urdu: 'After winning the championship, they decided to keep the trophy for keeps.'",چیمپئن شپ جیتنے کے بعد، انہوں نے فیصلہ کیا کہ ٹرافی کو ہمیشہ کے لیے رکھیں۔,چیمپئن شپ جیتنے کے بعد، انہوں نے فیصلہ کیا کہ ٹرافی ہمیشہ کے لیے رکھیں گے۔,3.0,3.0,1.0,1.0
لبھانے والی لیکن ممنوعہ شے,The excitement of sneaking out past curfew made it feel like a taste of forbidden fruit.,Translate this sentence to Urdu: 'The excitement of sneaking out past curfew made it feel like a taste of forbidden fruit.',نہری ہدایت سے باہر نکلنے کا لطف حرام پھل کی چکھ کی طرح محسوس ہوا۔,کرفیو کے بعد چپکے سے نکلنے کا جوش ایسا محسوس ہوتا تھا جیسے ممنوعہ پھل کا ذائقہ۔,3.0,3.0,3.0,3.0
چوری کا گُڑ میٹھا لاگے,The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times .,Translate this sentence to Urdu: 'The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times .',لڑکا یقین کرتا ہے کہ حرام پھل ہمیشہ سب سے میٹھا ہوتا ہے اور بار بار اسے بلا کر پوچھتا ہے، حالانکہ وہ اسے کئی بار انکار کر چکی ہے۔,وہ آدمی سوچتا ہے کہ منع کیا ہوا پھل ہمیشہ سب سے میٹھا ہوتا ہے اور بار بار اسے باہر چلنے کو کہتا ہے حالانکہ وہ اسے کئی بار انکار کر چکی ہے۔,3.0,3.0,3.0,3.0
چوری کا گڑ میٹھا,The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times .,Translate this sentence to Urdu: 'The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times .',لڑکا سمجھتا ہے کہ حرام پھل ہمیشہ سب سے میٹھا ہوتا ہے اور بار بار اسے پوچھتا رہتا ہے چاہے اس نے اسے کئی بار انکار کر دیا ہو۔,وہ شخص سمجھتا ہے کہ ممنوعہ پھل ہمیشہ میٹھا ہوتا ہے اور بار بار اسے باہر چلنے کی دعوت دیتا ہے حالانکہ اس نے کئی بار انکار کیا ہے۔,3.0,3.0,3.0,3.0
قسمت بہادر آدمی کی کنیز ہے,He would have been married to the love of his life had he showed some courage back then because fortune favours the bold .,Translate this sentence to Urdu: 'He would have been married to the love of his life had he showed some courage back then because fortune favours the bold .',وہ اپنی زندگی کی محبت سے شادی کر چکا ہوتا، اگر وہ اس وقت کچھ حوصلہ دکھاتا، کیونکہ بادشاہت بہادری کی کامیابی کی ضامن ہوتی ہے۔,اگر اُس وقت اُس نے کچھ ہمت دکھائی ہوتی تو وہ اپنی زندگی کی محبت سے شادی کر چکا ہوتا کیونکہ قسمت بہادروں کا ساتھ دیتی ہے۔,2.0,3.0,1.0,3.0
جلدی کا نتیجہ ندامت ہے,"After their whirlwind romance, Sarah couldn't help but feel that the old adage ""marry in haste, repent at leisure"" was painfully accurate.","Translate this sentence to Urdu: 'After their whirlwind romance, Sarah couldn't help but feel that the old adage ""marry in haste, repent at leisure"" was painfully accurate.'","ان کے تیزی سے آرڈر رومانس کے بعد، سارہ کو محسوس ہوا کہ پرانا کہاوت ""جلدی شادی کرو، بعد میں پچھتائیں گے"" دردناک طور پر درست تھا۔","سارہ اپنی تیز رفتار محبت کے بعد یہ محسوس کیے بغیر نہ رہ سکی کہ پرانا مقولہ ""جلدی شادی کرو، آرام سے پچھتاؤ"" بالکل صحیح تھا۔",3.0,3.0,3.0,3.0
مرد مکان بناتا ہے ، لیکن گھر بسانا عورت کا ہی کام ہے,"After buying their new house, John focused on the construction and repairs, while Emily decorated and added personal touches, embodying the saying ""men make houses, women make homes.""","Translate this sentence to Urdu: 'After buying their new house, John focused on the construction and repairs, while Emily decorated and added personal touches, embodying the saying ""men make houses, women make homes.""'","جان نے اپنے نئے گھر کو خریدنے کے بعد تعمیر اور مرمت پر توجہ دی، جبکہ ایملی نے آراستہ کیا اور شخصی مس دوڑ لگائے، جو کہ کہاوت ""مرد گھر بناتے ہیں، عورتیں گھر جنم دیتی ہیں"" کو ظاہر کرتے ہیں۔","نیا گھر خریدنے کے بعد، جان نے تعمیرات اور مرمت پر توجہ دی، جبکہ ایملی نے سجاوٹ اور ذاتی تزئین و آرائش کی، یوں کہاوت ""مرد گھر بناتے ہیں، عورتیں گھر کو گھر بناتی ہیں"" کو سچ کر دکھایا۔",3.0,3.0,1.0,3.0
اپنے کام سے کام رکھو,"When Sarah asked about her neighbor's private matters, he curtly replied, ""Mind your own business.""","Translate this sentence to Urdu: 'When Sarah asked about her neighbor's private matters, he curtly replied, ""Mind your own business.""'","""جب سارہ نے اپنے ہمسائے کے خصوصی معاملات کے بارے میں سوال کیا، تو اس نے چٹخ کر جواب دیا، 'اپنی ذاتی باتوں سے لگا رہو۔'""","جب سارہ نے اپنے پڑوسی کے ذاتی معاملات کے بارے میں پوچھا تو اس نے تلخی سے جواب دیا، ""اپنے کام سے کام رکھو۔""",3.0,3.0,3.0,3.0
بے فائدہ کا روپیہ,Freelance writing is money for jam if you have a knack for it.,Translate this sentence to Urdu: 'Freelance writing is money for jam if you have a knack for it.',فری لانس لکھائی آپ کے لیے بہت اچھی کمائی ہے اگر آپ کا اس میں مہارت ہو۔,اگر آپ کو اس کا ہنر ہے تو فری لانس لکھنا مفت کی کمائی ہے۔,2.0,2.0,1.0,2.0
روپیہ سے ہی شادی ہوتی ہے,"Despite her accomplishments, many thought she only wanted to marry money.","Translate this sentence to Urdu: 'Despite her accomplishments, many thought she only wanted to marry money.'",اس کے بالمقابلہ کامیابیوں کے باوجود، بہت سے لوگ سمجھتے تھے کہ وہ صرف پیسے سے شادی کرنا چاہتی تھیں۔,'اپنی کامیابیوں کے باوجود، بہت سے لوگوں نے سوچا کہ وہ صرف پیسے سے شادی کرنا چاہتی ہے۔',3.0,3.0,1.0,1.0
چہرے پہ اُداسی دکھائی دینا,"When she tasted the sour lemon, she couldn't help but pull a face.","Translate this sentence to Urdu: 'When she tasted the sour lemon, she couldn't help but pull a face.'",جب وہ نے کھٹا لیموں چکھا، وہ چہرہ بنانے سے نہیں بچ سکی۔,جب اس نے کھٹے لیموں کا ذائقہ چکھا، تو وہ اپنے چہرے کے تاثرات کو روک نہ سکی۔,3.0,3.0,2.0,2.0
آنکھوں پر پٹی باندھنا,I 'm not as dumb as you think ; do n't try to pull the wool over my eyes .,Translate this sentence to Urdu: 'I 'm not as dumb as you think ; do n't try to pull the wool over my eyes .',میں اتنا بےوقوف نہیں جتنا تم سمجھتے ہو؛ میری آنکھوں پر دھوکا مت کرو۔,میں اتنا بے وقوف نہیں ہوں جتنا تم سمجھتے ہو؛ میری آنکھوں میں دھول جھونکنے کی کوشش مت کرو۔,3.0,3.0,1.0,3.0
جو جگہ لینے کی آرزو میں ہو اس پر قبضہ جما لو !,"Despite his kids' protests, John finally had to put his foot down and enforce the no-screens-after-dinner rule.","Translate this sentence to Urdu: 'Despite his kids' protests, John finally had to put his foot down and enforce the no-screens-after-dinner rule.'",جان نے اپنے بچوں کی مخالفت کے باوجود آخرکار پائے ھوئے اشارے کو نافذ کرنا پڑا۔,بچوں کے احتجاج کے باوجود، جان کو آخرکار سختی سے یہ فیصلہ کرنا پڑا کہ رات کے کھانے کے بعد اسکرینوں کا استعمال منع ہے۔,1.0,3.0,1.0,2.0
سب سے بھلی چُپ !,"During the meeting, she was quiet as a mouse, barely making a sound.","Translate this sentence to Urdu: 'During the meeting, she was quiet as a mouse, barely making a sound.'","""ملاقات کے دوران وہ چپکے سے تھیں، مختصر آوازیں کرتی ہوئیں۔""",میٹنگ کے دوران، وہ چپ چاپ چوہے کی طرح بیٹھی تھی، بمشکل کوئی آواز نکالی۔,2.0,3.0,1.0,3.0
مُفت کی گاۓ کے دانت کون دیکھتا ہے ؟ مفت راچہ گفت,"When my boss offered me tickets to the concert, I remembered not to look a gift horse in the mouth and accepted them gratefully.","Translate this sentence to Urdu: 'When my boss offered me tickets to the concert, I remembered not to look a gift horse in the mouth and accepted them gratefully.'",جب میرے بوس نے مجھے کنسرٹ کے ٹکٹ دینے کا پیش کیا، مجھے یاد آیا کہ مجھے توہین نہیں کرنی چاہیے اور میں نے ان کو شکریہ کے ساتھ قبول کر لیا۔,جب میرے باس نے مجھے کنسرٹ کے ٹکٹ دیے، تو میں نے یاد رکھا کہ تحفے میں ملے گھوڑے کے دانت نہیں دیکھنے چاہئیں اور ان کو شکرگزاری کے ساتھ قبول کر لیا۔,2.0,3.0,1.0,3.0
