Idiomatic_Sent,Original_Idiom,Original_Meaning,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
"Your interference in this matter is not appreciated because if it ai n't broke , do n't fix it","if it ain't broke, don't fix it","if something is working fine as it is, there is no need to make any changes or improvements","Translate this sentence to Chinese: 'Your interference in this matter is not appreciated because if it ai n't broke , do n't fix it'",对您在这件事上的干涉并不感激，因为如果它没坏，就不要修复。,你对这件事的干涉不受欢迎，因为如果它没有坏，就不要修理它。,3,2.0,1,1
"I have to be at the exam hall in 10 minutes , please come on !",come on,encourage or urge someone to do something; often used to show disbelief or skepticism,"Translate this sentence to Chinese: 'I have to be at the exam hall in 10 minutes , please come on !'",我必须在十分钟内到达考试大厅，请快点！,我必须在十分钟内到达考场，请快点！,3,3.0,1,1
The gardener stopped by the nursery to get some soil for his garden .,stop by,to visit briefly or make a quick stop at a place,Translate this sentence to Chinese: 'The gardener stopped by the nursery to get some soil for his garden .',园丁去苗圃取土壤来养花园。,园丁顺道去了苗圃，买了一些土壤给他的花园。,3,3.0,1,3
"He has been the big cheese even before the elections , now he only has a position to his name .",big cheese,a person who is powerful or influential within a particular organization or group,"Translate this sentence to Chinese: 'He has been the big cheese even before the elections , now he only has a position to his name .'",他在选举之前就是大人物了，现在他只有一个头衔。,在选举之前他一直是个大人物，现在他只有一个头衔。,3,3.0,3,3
I had been up on the condition of the company that is why I advised my colleagues to look for another job and But they overlooked my concern & have now become jobless .,be up on,to be knowledgeable or informed about something,Translate this sentence to Chinese: 'I had been up on the condition of the company that is why I advised my colleagues to look for another job and But they overlooked my concern & have now become jobless .',我之前了解了公司的情况，所以建议同事们寻找其他工作，但他们忽略了我的担忧，现在变得无业。,我了解公司的状况，所以建议同事们找别的工作，但他们忽视了我的担忧，现在失业了。,3,3.0,2,2
"They had been going steady for the last few years , but lately , their relationship has been on the rocks for some reason .",on the rocks,in a state of difficulty or trouble; experiencing problems or challenges,"Translate this sentence to Chinese: 'They had been going steady for the last few years , but lately , their relationship has been on the rocks for some reason .'",他们过去几年一直很稳定，但最近，由于某种原因，他们的关系出现了问题。,他们在过去的几年里一直关系稳定，但最近不知为何他们的关系陷入了困境。,2,3.0,2,3
I hate walking through this skid row to get to my friend 's house .,skid row,"an impoverished and dilapidated area, typically associated with homelessness and social problems",Translate this sentence to Chinese: 'I hate walking through this skid row to get to my friend 's house .',我讨厌走过这个破烂街区去我朋友家。,我讨厌穿过这个贫民区去我朋友家。,2,3.0,2,1
English is de facto the common language of much of the world today .,de facto,"existing in reality or in fact, though not officially established or legally recognized",Translate this sentence to Chinese: 'English is de facto the common language of much of the world today .',英语实际上是今天世界大部分地区的通用语言。,如今，英语实际上是世界上大部分地区的通用语言。,3,3.0,3,3
His inability to procure funding for his trial has really thrown a spanner in the works .,spanner in the works,an unexpected or disruptive obstacle or problem,Translate this sentence to Chinese: 'His inability to procure funding for his trial has really thrown a spanner in the works .',他没有能够为自己的审判获得资金，这确实给工作带来了麻烦。,他无法为他的试验筹集资金，真是横生枝节。,2,3.0,2,3
She fell head over heels in love with her tennis coach and they have decided to get married soon .,head over heels,being completely or deeply in love,Translate this sentence to Chinese: 'She fell head over heels in love with her tennis coach and they have decided to get married soon .',她爱上了她的网球教练，并且他们已经决定很快结婚。,她疯狂地爱上了她的网球教练，他们已经决定很快结婚。,1,3.0,1,3
The management was so focused on planning for the next year 's budget that they let this issue fall between the cracks .,fall between the cracks,to be overlooked or forgotten,Translate this sentence to Chinese: 'The management was so focused on planning for the next year 's budget that they let this issue fall between the cracks .',管理层太过专注于规划下一年的预算，以至于他们让这个问题出现漏洞。,管理层如此专注于计划明年的预算，以至于他们让这个问题被忽视了。,3,3.0,1,3
Having children has taught me that no man is an island .,no man is an island,Everyone is connected to others and cannot thrive or survive in isolation.,Translate this sentence to Chinese: 'Having children has taught me that no man is an island .',生孩子教会了我，没有人是一座孤岛。,有了孩子让我明白了没有人是孤岛。,3,3.0,3,3
"He tried to explain the rules of the game to me , but it was all Greek to me .",all Greek to me,something that is difficult or impossible to understand or comprehend,"Translate this sentence to Chinese: 'He tried to explain the rules of the game to me , but it was all Greek to me .'",他试图向我解释游戏的规则，但对我来说这一切都是希腊文。,他试图向我解释游戏规则，但我完全听不懂。,3,3.0,1,1
"I can see that you are busy with your own school work , so I 'll cut to the chase with my homework questions .",cut to the chase,get to the point or focus on the essential matter,"Translate this sentence to Chinese: 'I can see that you are busy with your own school work , so I 'll cut to the chase with my homework questions .'",我看得出你正在忙于自己的学校作业，所以我会直截了当地提出我的问题。,我看得出来你在忙自己的学业，所以我就直接问我的作业问题吧。,3,3.0,3,3
"I tried to knock out the broken piece , but it seems like it 's stuck in there .",knock out,to defeat or overcome someone or something with great force or impact,"Translate this sentence to Chinese: 'I tried to knock out the broken piece , but it seems like it 's stuck in there .'",我试图敲碎损坏的部分，但似乎卡在里面了。,我试图敲掉那块破损的部分，但它似乎卡在里面了。,3,3.0,1,3
He could n't attend the concert with his friends and He took a rain check instead .,take a rain check,"to decline an invitation or offer, but with the intention of accepting or participating at a later time",Translate this sentence to Chinese: 'He could n't attend the concert with his friends and He took a rain check instead .',他无法和朋友一起去参加音乐会，于是改日再看。,他不能和朋友一起去听音乐会，所以他改天再约。,3,3.0,2,3
The prime minister exercised carte blanche when he signed the orders for such a massive change in the country .,carte blanche,complete freedom or authority to act as one wishes,Translate this sentence to Chinese: 'The prime minister exercised carte blanche when he signed the orders for such a massive change in the country .',总理在签署这样一项对国家进行如此巨大变革的命令时行使了全权。,总理在签署如此大规模的国家变革命令时行使了完全的自由裁量权。,3,3.0,3,3
I have seen the way your boss praises your work and I am sure that a promotion is on the horizon .,on the horizon,likely to happen or appear soon,Translate this sentence to Chinese: 'I have seen the way your boss praises your work and I am sure that a promotion is on the horizon .',我已经见过你老板赞扬你工作的方式，我确信晋升在即。,我看到你的老板如何称赞你的工作，我确信升职指日可待。,3,3.0,3,3
"She sings in a beautiful manner , her soft voice is music to my ears .",music to ears,something that is pleasing or gratifying to hear; good news or information that brings joy or relief,"Translate this sentence to Chinese: 'She sings in a beautiful manner , her soft voice is music to my ears .'",她以一种美妙的方式唱歌，她柔和的声音令我如痴如醉。,她唱得很优美，她的柔和嗓音如同音乐般悦耳。,2,3.0,3,3
She was the apple of his eye .,apple of eye,someone or something that is cherished or highly valued,Translate this sentence to Chinese: 'She was the apple of his eye .',她是他眼里的掌上明珠。,她是他的掌上明珠。,3,3.0,3,3
I do not believe him and He has old habit of spinning yarns about his school days . ',spin a yarn,to tell a long and exaggerated story,Translate this sentence to Chinese: 'I do not believe him and He has old habit of spinning yarns about his school days . '',我不相信他，他有一种老习惯，在那些关于他的学校时光的事情上夸夸其谈。,我不相信他，他有编造关于他学生时代的故事的老习惯。,3,3.0,2,2
"Last night , I met Sara for a pep talk because I had my interview the very next day .",pep talk,an inspirational or motivational speech or conversation aimed at boosting someone's morale or confidence,"Translate this sentence to Chinese: 'Last night , I met Sara for a pep talk because I had my interview the very next day .'",昨晚，我去找Sara鼓励加油，因为第二天就要面试了。,昨晚我和萨拉见面进行了鼓舞士气的谈话，因为第二天我就要面试了。,3,3.0,3,3
She expected her fiance to be all ears when she was telling him about the wedding plans .,all ears,eager to listen or hear something,Translate this sentence to Chinese: 'She expected her fiance to be all ears when she was telling him about the wedding plans .',她期望未婚夫在她告诉他婚礼计划时全神贯注。,她希望她的未婚夫在听她讲述婚礼计划时会洗耳恭听。,3,3.0,3,3
Alex always speaks too soon ; he ends up apologising for his wrong assumptions .,speak too soon,to make a premature statement or prediction that turns out to be incorrect or premature,Translate this sentence to Chinese: 'Alex always speaks too soon ; he ends up apologising for his wrong assumptions .',亚历克斯总是说话太早；最终他得为他错误的假设道歉。,亚历克斯总是说得太早，最终不得不为自己的错误假设道歉。,2,2.0,3,3
Me being a linguist has stood me in good stead in my travels and adventures .,stand in a good stead,to be of great benefit or advantage to someone in the future,Translate this sentence to Chinese: 'Me being a linguist has stood me in good stead in my travels and adventures .',我作为一名语言学家，在我的旅行和冒险中起了很大的作用。,作为一名语言学家，在我的旅行和冒险中对我大有帮助。,2,3.0,1,3
Rebecca often chimes in conversations which seem relevant to her business .,chime in,"to join in a conversation or discussion, often interrupting or adding one's opinion or input",Translate this sentence to Chinese: 'Rebecca often chimes in conversations which seem relevant to her business .',瑞贝卡经常参与似乎与她的业务相关的对话。,丽贝卡经常插话在看似与她的业务相关的对话中。,2,3.0,1,2
Can you just keep your hair on when we meet them ? ',keep your hair on,to remain calm or composed,Translate this sentence to Chinese: 'Can you just keep your hair on when we meet them ? '',你见他们的时候可以保持冷静吗？,我们见到他们的时候，你能冷静点吗？,3,3.0,3,3
"Their marriage was breaking apart , but the decided to hang in there and give it another chance .",hang in there,"to persevere, keep going, or stay determined despite difficulties or challenges","Translate this sentence to Chinese: 'Their marriage was breaking apart , but the decided to hang in there and give it another chance .'",他们的婚姻正破裂，但他们决定坚持下去，再给彼此一次机会。,他们的婚姻濒临破裂，但他们决定坚持下去，再给彼此一次机会。,3,3.0,3,3
You 're going to have to take it on the chin when your father gets home and sees what you 've done .,take it on the chin,to accept or endure adversity or criticism without complaint or becoming discouraged,Translate this sentence to Chinese: 'You 're going to have to take it on the chin when your father gets home and sees what you 've done .',当你父亲回家看到你做的事情时，你必须坦然面对。,当你爸爸回家看到你做的事时，你得硬着头皮承受。,2,2.0,3,2
Robert always like to catch forty winks after the lunch .,forty winks,to take a short nap or quick sleep,Translate this sentence to Chinese: 'Robert always like to catch forty winks after the lunch .',罗伯特总是喜欢在午饭后小睡一会儿。,罗伯特总是喜欢在午饭后打个盹。,3,3.0,2,3
My parents drop by at least twice a week for supper .,drop by,to visit someone briefly and without making an appointment,Translate this sentence to Chinese: 'My parents drop by at least twice a week for supper .',我的父母每周至少来两次吃晚餐。,我父母每周至少来两次吃晚饭。,3,3.0,3,3
We 've been travelling for quite some time and Let 's stop somewhere for a cup of joe .,cup of joe,a cup of coffee,Translate this sentence to Chinese: 'We 've been travelling for quite some time and Let 's stop somewhere for a cup of joe .',我们已经旅行了很长时间了，让我们在某个地方停下来喝杯咖啡吧。,我们已经旅行了一段时间了，找个地方停下来喝杯咖啡吧。,3,3.0,3,3
I can not be so cold hearted towards the people that I love so much .,cold hearted,lacking compassion or empathy; unfeeling or indifferent,Translate this sentence to Chinese: 'I can not be so cold hearted towards the people that I love so much .',我不能对我那么爱的人这么冷酷。,我不能对我如此深爱的人如此冷酷无情。,3,3.0,2,3
"3 years after her fall from grace , the girl who wanted to be an actress - she ended up being an assistant of the producer .",fall from grace,to lose favor or position of power and respect due to a moral or ethical failure,"Translate this sentence to Chinese: '3 years after her fall from grace , the girl who wanted to be an actress - she ended up being an assistant of the producer .'",从谷底跌落三年后，那位想成为演员的女孩最终成为了制片人的助手。,在她失宠三年后，那个想成为演员的女孩最终成了制片人的助理。,3,3.0,3,3
Thinking about winning this race is a pie in the sky .,pie in the sky,something that is unrealistic or unlikely to happen,Translate this sentence to Chinese: 'Thinking about winning this race is a pie in the sky .',考虑赢得这场比赛是异想天开的。,想到赢得这场比赛只是空中楼阁。,3,3.0,3,3
I need to secure a bona fide statement of the intent to sell this place before I can put it up .,bona fide,authentic or genuine,Translate this sentence to Chinese: 'I need to secure a bona fide statement of the intent to sell this place before I can put it up .',在我能挂牌出售之前，我需要确保获得一个真实的有意出售该地点的声明。,在我能够出售这个地方之前，我需要获得一个真实的出售意向声明。,3,3.0,3,3
"We had a heavy lunch today , and now I am feeling a bit under the weather .",under the weather,feeling sick or unwell,"Translate this sentence to Chinese: 'We had a heavy lunch today , and now I am feeling a bit under the weather .'",我们今天吃了一顿很丰盛的午餐，现在我感觉有点不舒服。,我们今天午饭吃得很丰盛，现在我感觉有点不舒服。,3,3.0,3,2
"Sara was not looking pretty at all , but she got the lion 's share of the attention of the audience in the fashion show .",lion's share,the largest or greatest portion or part of something,"Translate this sentence to Chinese: 'Sara was not looking pretty at all , but she got the lion 's share of the attention of the audience in the fashion show .'",萨拉一点也不漂亮，但在时装秀上却引起了观众们绝大部分的注意。,萨拉看起来一点都不漂亮，但在时装秀中她得到了观众最多的关注。,3,3.0,3,1
Women are usually not able to work with his wild and woolly We prefer him to be clean shaved and neat in appearance .,wild and woolly,chaotic or unruly,Translate this sentence to Chinese: 'Women are usually not able to work with his wild and woolly We prefer him to be clean shaved and neat in appearance .',妇女通常不能与他这种狂野和波纹相处，我们更喜欢他干净整洁的外表。,女性通常无法接受他那狂野蓬乱的样子，我们更喜欢他干净剃须、外表整洁。,1,3.0,1,3
The bank provides round the clock services to the clients .,round the clock,"continuous or non-stop, without interruption or pause",Translate this sentence to Chinese: 'The bank provides round the clock services to the clients .',银行为客户提供全天候服务。,银行为客户提供全天候服务。,3,3.0,3,3
President Trump is known for his off the cuff tweets that often spark wide-spread controversy .,off the cuff,to speak or perform without any preparation or rehearsal,Translate this sentence to Chinese: 'President Trump is known for his off the cuff tweets that often spark wide-spread controversy .',特朗普总统以他的即兴推特而闻名，经常引发广泛争议。,特朗普总统以即兴发布的推文而闻名，这些推文常常引发广泛的争议。,3,3.0,3,3
"If you want to start teaching English to grown-up kids , you need to be up on it else you 're going to be unable to clarify their doubts .",be up on,to be knowledgeable or informed about something,"Translate this sentence to Chinese: 'If you want to start teaching English to grown-up kids , you need to be up on it else you 're going to be unable to clarify their doubts .'",如果你想开始教大孩子英语，你需要了解这一点，否则你将无法澄清他们的疑惑。,如果你想开始教大孩子英语，你需要精通，否则你将无法解答他们的疑问。,3,3.0,1,3
"To cure his addiction to video games , he decided to go cold turkey and gave his entire collection away .",cold turkey,"To quit or stop something abruptly, without gradual withdrawal or preparation","Translate this sentence to Chinese: 'To cure his addiction to video games , he decided to go cold turkey and gave his entire collection away .'",为了治愈他对视频游戏的瘾，他决定戒除游戏，在把整个游戏收藏都送人了。,为了戒掉他对电子游戏的瘾，他决定突然完全戒断，并把他所有的收藏都送人了。,3,3.0,2,3
"Although she was envious of her friend 's successes , Linda appeared like she was full of beans over her friend 's promotion .",full of beans,"energetic, lively, or enthusiastic","Translate this sentence to Chinese: 'Although she was envious of her friend 's successes , Linda appeared like she was full of beans over her friend 's promotion .'",尽管琳达羡慕她朋友的成功，但在朋友的晋升之际，她看起来充满活力。,尽管她嫉妒朋友的成功，琳达看起来对朋友的升职兴高采烈。,3,3.0,3,3
Mark is just an in your face sort of a person and sometimes talks rough and He really means no harm .,in your face,confrontational or boldly aggressive; intentionally provocative or assertive,Translate this sentence to Chinese: 'Mark is just an in your face sort of a person and sometimes talks rough and He really means no harm .',马克是那种直率的人，有时说话很粗鲁，但他真的并无恶意。,马克是那种喜欢直言不讳的人，有时候说话比较粗鲁，但他真的没有恶意。,3,3.0,3,3
Their website is under siege from cyber terrorists and,under siege,"to be experiencing intense pressure, attack, or criticism; to be in a situation of great difficulty or danger",Translate this sentence to Chinese: 'Their website is under siege from cyber terrorists and',他们的网站正在遭受网络恐怖分子的攻击，而且,他们的网站正遭受网络恐怖分子的攻击，而且,3,3.0,3,3
"They wanted to keep the news under wraps to avoid a scandal , but someone on the inside sold them out .",sell someone out,"to betray or deceive someone, often for personal gain or advantage","Translate this sentence to Chinese: 'They wanted to keep the news under wraps to avoid a scandal , but someone on the inside sold them out .'",他们想要把这个消息保密，避免丑闻，但内部有人出卖了他们。,他们想把消息保密以避免丑闻，但内部有人出卖了他们。,3,3.0,3,3
Premier league players are in the cahoots with big business houses for more deals than just endorsing their products .,in the cahoots,to be in a secret partnership or conspiracy with someone,Translate this sentence to Chinese: 'Premier league players are in the cahoots with big business houses for more deals than just endorsing their products .',英超球员与大型商业公司勾结，谋取更多的协议，不仅仅是背书他们的产品。,英超球员与大企业勾结，不仅仅是在代言他们的产品。,3,3.0,3,3
It is usually the father 's sister who comes up with a name for the baby in the Indian culture .,come up with,"to produce or provide something, especially an idea or solution",Translate this sentence to Chinese: 'It is usually the father 's sister who comes up with a name for the baby in the Indian culture .',在印度文化中，通常是父亲的姐姐为宝宝取名字。,在印度文化中，通常是父亲的妹妹为婴儿取名字。,3,3.0,3,3
We have just been bought over by a new company and It seems as if a sea change is in store for our marketing department .,sea change,a significant and transformative shift; a profound and remarkable change,Translate this sentence to Chinese: 'We have just been bought over by a new company and It seems as if a sea change is in store for our marketing department .',我们刚被一家新公司收购，看起来我们市场部门将迎来一场巨变。,我们刚被一家新公司收购，看起来我们的市场部将会发生翻天覆地的变化。,3,3.0,3,3
The courier boy beat a hasty retreat when he heard the dog 's furious barking from the back of the house .,beat a hasty retreat,to quickly leave a place or situation in order to avoid something unpleasant or dangerous,Translate this sentence to Chinese: 'The courier boy beat a hasty retreat when he heard the dog 's furious barking from the back of the house .',当快递员听到狗从房子后面愤怒地吠叫时，他匆忙离开。,当快递员听到房子后面传来狗愤怒的吠叫声时，他匆忙撤退了。,3,3.0,2,3
This diamond is a cut above the rest and You will like it because you have an expensive taste .,a cut above,of higher quality or better than average,Translate this sentence to Chinese: 'This diamond is a cut above the rest and You will like it because you have an expensive taste .',这颗钻石比其他的更优质，你会喜欢它因为你有高消费品味。,这颗钻石比其他的要好，你会喜欢它，因为你的品味很高雅。,3,2.0,2,2
She is my favourite teacher and time flies when she teaches English in the class .,time flies,the perception that time passes quickly,Translate this sentence to Chinese: 'She is my favourite teacher and time flies when she teaches English in the class .',她是我最喜欢的老师，在她上英语课的时候，时间过得很快。,她是我最喜欢的老师，她在课堂上教英语的时候，时间过得飞快。,3,3.0,3,3
Going into a business without carrying out proper studies is like skating on thin ice .,skating on thin ice,taking a risky or dangerous course of action; pushing the limits or boundaries,Translate this sentence to Chinese: 'Going into a business without carrying out proper studies is like skating on thin ice .',没有进行适当研究就进入商业领域，就像在薄冰上滑冰一样。,没有进行充分的研究就进入一个行业就像是在薄冰上滑行。,3,3.0,3,3
You can not believe everything he says since most of them are just tall stories .,tall story,an exaggerated or improbable story,Translate this sentence to Chinese: 'You can not believe everything he says since most of them are just tall stories .',你不能相信他说的每一句话，因为其中大部分都只是谎话。,你不能相信他说的每句话，因为大部分都是天方夜谭。,2,3.0,2,3
The smell of spices in the air was making me hungry .,in the air,uncertain or undecided; not settled or resolved,Translate this sentence to Chinese: 'The smell of spices in the air was making me hungry .',空气中的香料味让我变得饥饿。,空气中弥漫的香料味让我感到饥饿。,3,3.0,1,3
"When John heard that his son and his daughter secured the first position in their final exams , it was music to his ears .",music to ears,something that is pleasing or gratifying to hear; good news or information that brings joy or relief,"Translate this sentence to Chinese: 'When John heard that his son and his daughter secured the first position in their final exams , it was music to his ears .'",当约翰听说他的儿子和女儿在期末考试中获得第一名时，他欣喜若狂。,当约翰听说他的儿子和女儿在期末考试中获得第一名时，对他来说简直是天籁之音。,2,3.0,1,3
The man was hurt to the core by these words and refused to speak to anyone but his wife at the time . ',to the core,completely; deeply; to the very essence or center of something,Translate this sentence to Chinese: 'The man was hurt to the core by these words and refused to speak to anyone but his wife at the time . '',这个男人受到这些话的伤害，只愿意和他的妻子说话。,这个男人被这些话深深伤害了，当时他除了和妻子说话外，拒绝与任何人交谈。,2,3.0,1,3
"It 's such a small world , my daughters kindergarten teacher ended up being my old college roommate .",it's a small world,"referring to the surprising or coincidental encounters with unfamiliar people or experiences in unexpected places, suggesting that the world is interconnected and events are not as random as they may seem","Translate this sentence to Chinese: 'It 's such a small world , my daughters kindergarten teacher ended up being my old college roommate .'",这个世界真是太小了，我女儿的幼儿园老师竟然是我大学时的室友。,真是个小世界，我女儿的幼儿园老师竟然是我以前的大学室友。,3,3.0,3,3
"My granny does not like pizza at all , she prefer to eat porridge - really , you ca n't teach an old dog new tricks .",you can't teach an old dog new tricks,"it is difficult to teach or change someone's habits or behaviors, especially if they are set in their ways or resistant to change","Translate this sentence to Chinese: 'My granny does not like pizza at all , she prefer to eat porridge - really , you ca n't teach an old dog new tricks .'",我奶奶根本不喜欢披萨，她更喜欢吃粥 - 确实，老牛不喜欢新草料。,我奶奶一点也不喜欢披萨，她更喜欢喝粥——真的，你不能教老狗新把戏。,2,2.0,1,3
"The country hit by terrorism needs a strong leader , and the new Prime Minister just does n't fill the bill .",fill the bill,to be suitable or meet the requirements,"Translate this sentence to Chinese: 'The country hit by terrorism needs a strong leader , and the new Prime Minister just does n't fill the bill .'",恐怖袭击的国家需要一个强有力的领导者，而新任总理并不符合要求。,遭受恐怖主义袭击的国家需要一位强有力的领导人，而新任首相却不合适。,3,2.0,3,2
"These are turbulent times , but it must come to an end sometime and There must be some method to this madness .",method to madness,an underlying logic or purpose behind seemingly chaotic or irrational behavior,"Translate this sentence to Chinese: 'These are turbulent times , but it must come to an end sometime and There must be some method to this madness .'",这是动荡的时期，但总有一天会结束。这种疯狂肯定有其方法。,这些是动荡的时期，但总有一天会结束，并且这疯狂中一定有某种方法。,3,3.0,2,2
I ca n't believe that my husband remembered to bring home sugar and I will have to eat my words .,eat words,to retract or take back something that one has said,Translate this sentence to Chinese: 'I ca n't believe that my husband remembered to bring home sugar and I will have to eat my words .',我无法相信我丈夫记得带回家糖，我将不得不收回我的话。,我简直不敢相信我丈夫竟然记得带糖回家，我只好收回我的话。,3,3.0,3,3
"Though Mark may be friends with other girls , he has eyes only for her .",have eyes only for,To be interested in or attracted to only one particular person or thing,"Translate this sentence to Chinese: 'Though Mark may be friends with other girls , he has eyes only for her .'",尽管马克可能与其他女生是朋友，但他只对她一人有眼。,尽管马克可能和其他女孩是朋友，但他只对她情有独钟。,3,3.0,2,3
Do n't guess the status of this person by looking at his clothes and He is a blue blood of the city .,blue blood,to refer to the nobility or aristocracy; someone of high social standing or pedigree,Translate this sentence to Chinese: 'Do n't guess the status of this person by looking at his clothes and He is a blue blood of the city .',不要通过他的衣着来猜测这个人的地位，他是这座城市的贵族。,不要通过看他的衣服来猜测他的身份，他是这个城市的贵族。,3,3.0,3,3
"Four people are injured , one seriously , when two cars collided head-on Sunday in Edmonton .",head-on,directly and without hesitation; confronting a situation or problem directly,"Translate this sentence to Chinese: 'Four people are injured , one seriously , when two cars collided head-on Sunday in Edmonton .'",周日，爱德蒙顿发生了两辆车头部相撞事故，造成四人受伤，其中一人伤势严重。,周日，在埃德蒙顿，两辆汽车迎头相撞，四人受伤，其中一人伤势严重。,3,3.0,3,3
It was with a heavy heart that Dolly left her hometown and went abroad for her studies .,heavy heart,feeling sad or burdened with sorrow,Translate this sentence to Chinese: 'It was with a heavy heart that Dolly left her hometown and went abroad for her studies .',多莉怀着沉重的心情离开了她的家乡，去国外深造。,多莉怀着沉重的心情离开了家乡，出国留学。,3,3.0,3,3
"I have seen him smoke and bully people right from the time he was in high school and With such building blocks , what else were you expecting of his future ?",building blocks,fundamental components or basic elements that are necessary for the development or construction of something,"Translate this sentence to Chinese: 'I have seen him smoke and bully people right from the time he was in high school and With such building blocks , what else were you expecting of his future ?'",我看到他从高中开始就抽烟和欺负人，有这样的基石，你还期望他有什么样的未来？,我从他上高中时就看到他抽烟和欺负别人，有这样的基础，你还指望他未来会怎样呢？,3,3.0,2,2
I am coming across such an issue after a very long time .,come across,to meet or find something or someone by chance; to give a particular impression or make a particular impact on someone,Translate this sentence to Chinese: 'I am coming across such an issue after a very long time .',我很久没有遇到这样的问题了。,我很久之后才再次遇到这样的问题。,3,3.0,3,3
"All of my efforts seem to be going down the drain , no one seems to care .",down the drain,wasted or lost; irrecoverable or pointless expenditure or effort,"Translate this sentence to Chinese: 'All of my efforts seem to be going down the drain , no one seems to care .'",我所有的努力似乎都付诸流水，没有人似乎在乎。,我所有的努力似乎都付诸东流了，没有人关心。,3,3.0,3,3
He smelt a rat when his wife said she did n't want to go on a vacation with him .,smell a rat,to suspect that something is wrong or suspicious,Translate this sentence to Chinese: 'He smelt a rat when his wife said she did n't want to go on a vacation with him .',他闻到了一丝不对劲，当他的妻子说她不想和他一起去度假。,当他的妻子说她不想和他一起去度假时，他觉得有点可疑。,3,2.0,2,2
"Starting a new venture is fraught with risks , but if you can hang in there despite the difficulties , you are sure to succeed .",hang in there,"to persevere, keep going, or stay determined despite difficulties or challenges","Translate this sentence to Chinese: 'Starting a new venture is fraught with risks , but if you can hang in there despite the difficulties , you are sure to succeed .'",开始一个新的冒险充满风险，但如果你能坚持下去，克服困难，你一定会成功。,开始一个新的事业充满了风险，但如果你能坚持下去，尽管困难重重，你一定会成功。,3,3.0,3,3
Sometimes it can be difficult to buck up and continue after suffering a huge loss .,buck up,To make an effort to improve or become more cheerful and enthusiastic,Translate this sentence to Chinese: 'Sometimes it can be difficult to buck up and continue after suffering a huge loss .',有时在遭受巨大损失之后振作起来并继续前行会很困难。,有时候在经历重大损失后，很难振作起来并继续前行。,3,3.0,3,3
He told me that they would get back to me right away regarding an answer .,right away,immediately or without delay,Translate this sentence to Chinese: 'He told me that they would get back to me right away regarding an answer .',他告诉我，他们会马上回复我关于答复的事情。,他告诉我他们会马上给我答复。,3,3.0,1,3
"As per her bucket list , Sarah wants to buy a Persian cat .",bucket list,a list of experiences or achievements that a person wants to have or accomplish before they die,"Translate this sentence to Chinese: 'As per her bucket list , Sarah wants to buy a Persian cat .'",根据她的愿望清单，萨拉想要买一只波斯猫。,根据她的遗愿清单，莎拉想买一只波斯猫。,3,1.0,3,3
"Ever since the accident , she 's been a little on edge when driving .",on edge,"feeling nervous, anxious, or irritable","Translate this sentence to Chinese: 'Ever since the accident , she 's been a little on edge when driving .'",自事故发生以来，她开车时一直有点紧张。,自从那次事故后，她开车时一直有点紧张。,3,3.0,3,3
She said she was going to become his wife if it is the last thing she does .,if it's the last thing I do,"to express a strong determination to do something, even if it is the final thing one accomplishes or the very last effort one makes",Translate this sentence to Chinese: 'She said she was going to become his wife if it is the last thing she does .',她说如果这是她做的最后一件事情，她将成为他的妻子。,她说她即使拼尽全力，也要成为他的妻子。,3,3.0,1,3
The two technology companies are neck and neck in developing a new operating system for our computers .,neck and neck,very close or even in a competition or race; with no clear leader,Translate this sentence to Chinese: 'The two technology companies are neck and neck in developing a new operating system for our computers .',这两家科技公司在为我们的计算机开发新操作系统方面不分伯仲。,这两家科技公司在开发新操作系统方面不分上下。,3,3.0,3,3
I 've been waiting for ages but I did n't get any new piece of writing from my favourite writer .,piece of writing,"written work or composition, such as an essay or article",Translate this sentence to Chinese: 'I 've been waiting for ages but I did n't get any new piece of writing from my favourite writer .',我等了很久，但没有收到我最喜欢作家的新作品。,我已经等了很久，但我最喜欢的作家没有写出任何新作品。,3,3.0,2,2
Do you know that he arranged for the funds just in case you decided to go ahead with the plan ?,just in case,as a precaution or in anticipation of a future event or circumstance,Translate this sentence to Chinese: 'Do you know that he arranged for the funds just in case you decided to go ahead with the plan ?',你知道他安排了资金，以防你决定继续进行这个计划吗？,你知道他安排了资金以防你决定继续这个计划吗？,3,3.0,3,3
"Do n't bump into that desk , it has sharp edges .",bump into,unexpectedly meet someone,"Translate this sentence to Chinese: 'Do n't bump into that desk , it has sharp edges .'",不要撞到那张桌子，它有锋利的边缘。,别撞到那张桌子，它有锋利的边缘。,3,3.0,1,1
Nina loves French fries and other fast food .,fast food,"food that is prepared and served quickly, usually in a restaurant, but can also refer to processed food that is designed to be cooked and served quickly",Translate this sentence to Chinese: 'Nina loves French fries and other fast food .',妮娜喜欢薯条和其他快餐食品。,妮娜喜欢薯条和其他快餐。,3,3.0,3,3
His troubled past always kept her on the qui vive to avoid any mishap .,qui vive,on the lookout; being watchful or vigilant,Translate this sentence to Chinese: 'His troubled past always kept her on the qui vive to avoid any mishap .',他那不幸的过去总是让她时刻保持警惕以避免任何不测。,他的坎坷过去总是让她时刻保持警惕，以避免任何意外。,3,3.0,3,3
