Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
We have just been bought over by a new company and It seems as if a sea change is in store for our marketing department .,sea change,a significant and transformative shift; a profound and remarkable change,"```json
{
  ""English idiom"": ""sea change"",
  ""English definition"": ""a profound or notable transformation"",
  ""Chinese idiom 1"": ""翻天覆地"",
  ""Chinese idiom 2"": ""改头换面"",
  ""Chinese idiom 3"": ""脱胎换骨""
}
```",翻天覆地,"'sea change' means '翻天覆地'. Given the above knowledge, translate the following sentence to Chinese: 'We have just been bought over by a new company and It seems as if a sea change is in store for our marketing department .'",我们刚刚被一家新公司收购，似乎我们的市场部门即将发生翻天覆地的变化。,我们刚刚被一家新公司收购了，我们的市场部门似乎将经历翻天覆地的变化。,3,3,3,3
The courier boy beat a hasty retreat when he heard the dog 's furious barking from the back of the house .,beat a hasty retreat,to quickly leave a place or situation in order to avoid something unpleasant or dangerous,"{
  ""English idiom"": ""beat a hasty retreat"",
  ""English definition"": ""To depart quickly in order to avoid a difficult or dangerous situation."",
  ""Chinese idiom 1"": ""一溜烟走了"",
  ""Chinese idiom 2"": ""逃之夭夭"",
  ""Chinese idiom 3"": ""脚底抹油""
}",逃之夭夭,"'beat a hasty retreat' means '逃之夭夭'. Given the above knowledge, translate the following sentence to Chinese: 'The courier boy beat a hasty retreat when he heard the dog 's furious barking from the back of the house .'",快递小哥听到后院狗狂吠，便逃之夭夭。,听到房子后面传来狗愤怒的叫声，快递员赶紧逃之夭夭。,3,3,3,3
This diamond is a cut above the rest and You will like it because you have an expensive taste .,a cut above,of higher quality or better than average,"```json
{
  ""English idiom"": ""a cut above"",
  ""English definition"": ""someone or something that is better than others"",
  ""Chinese idiom 1"": ""技高一筹"",
  ""Chinese idiom 2"": ""高人一等"",
  ""Chinese idiom 3"": ""出类拔萃""
}
```",技高一筹,"'a cut above' means '技高一筹'. Given the above knowledge, translate the following sentence to Chinese: 'This diamond is a cut above the rest and You will like it because you have an expensive taste .'",这颗钻石技高一筹，而你会喜欢它因为你有昂贵的品位。,这颗钻石技高一筹，你会喜欢它，因为你品味高雅。,3,3,3,3
She is my favourite teacher and time flies when she teaches English in the class .,time flies,the perception that time passes quickly,"```json
{
  ""English idiom"": ""time flies"",
  ""English definition"": ""Time passes very quickly."",
  ""Chinese idiom 1"": ""光阴似箭"",
  ""Chinese idiom 2"": ""日月如梭"",
  ""Chinese idiom 3"": ""白驹过隙""
}
```",光阴似箭,"'time flies' means '光阴似箭'. Given the above knowledge, translate the following sentence to Chinese: 'She is my favourite teacher and time flies when she teaches English in the class .'",她是我最喜欢的老师，当她在课堂上教英语时，时间过得飞快。,她是我最喜欢的老师，她在课堂上教英语时光阴似箭。,3,3,3,3
Going into a business without carrying out proper studies is like skating on thin ice .,skating on thin ice,taking a risky or dangerous course of action; pushing the limits or boundaries,"{
  ""English idiom"": ""skating on thin ice"",
  ""English definition"": ""To be in a risky or precarious situation where danger or trouble is likely."",
  ""Chinese idiom 1"": ""如履薄冰"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",如履薄冰,"'skating on thin ice' means '如履薄冰'. Given the above knowledge, translate the following sentence to Chinese: 'Going into a business without carrying out proper studies is like skating on thin ice .'",没有进行适当研究就进入商业，就像是在如履薄冰。,在没有进行适当研究的情况下投身商业就如同如履薄冰。,3,3,3,3
You can not believe everything he says since most of them are just tall stories .,tall story,an exaggerated or improbable story,"```json
{
  ""English idiom"": ""tall story"",
  ""English definition"": ""A story or explanation that is so exaggerated or improbable that it is difficult to believe."",
  ""Chinese idiom 1"": ""天方夜谭"",
  ""Chinese idiom 2"": ""吹牛"",
  ""Chinese idiom 3"": ""荒诞不经""
}
```",天方夜谭,"'tall story' means '天方夜谭'. Given the above knowledge, translate the following sentence to Chinese: 'You can not believe everything he says since most of them are just tall stories .'",你不能相信他说的每件事，因为大部分都只是天方夜谭。,你不能相信他说的每件事，因为大多数都是天方夜谭。,3,3,3,3
The smell of spices in the air was making me hungry .,in the air,uncertain or undecided; not settled or resolved,"```json
{
  ""English idiom"": ""in the air"",
  ""English definition"": ""Uncertain or undecided; something that is not yet settled or clear."",
  ""Chinese idiom 1"": ""悬而未决"",
  ""Chinese idiom 2"": ""未定之天"",
  ""Chinese idiom 3"": ""扑朔迷离""
}
```",未定之天,"'in the air' means '未定之天'. Given the above knowledge, translate the following sentence to Chinese: 'The smell of spices in the air was making me hungry .'",空气中弥漫着香料的味道让我感到饥饿。,空气中弥漫的香料味让我感到饥饿。,3,3,3,3
"When John heard that his son and his daughter secured the first position in their final exams , it was music to his ears .",music to ears,something that is pleasing or gratifying to hear; good news or information that brings joy or relief,"```json
{
  ""English idiom"": ""music to ears"",
  ""English definition"": ""something that is very pleasant or gratifying to hear"",
  ""Chinese idiom 1"": ""如沐春风"",
  ""Chinese idiom 2"": ""赏心悦目"",
  ""Chinese idiom 3"": ""余音绕梁""
}
```",余音绕梁,"'music to ears' means '余音绕梁'. Given the above knowledge, translate the following sentence to Chinese: 'When John heard that his son and his daughter secured the first position in their final exams , it was music to his ears .'",约翰听说他的儿子和女儿在期末考试中获得第一名时，他感到余音绕梁。,当约翰听到他的儿子和女儿在期末考试中获得第一名时，余音绕梁。,3,2,1,1
The man was hurt to the core by these words and refused to speak to anyone but his wife at the time . ',to the core,completely; deeply; to the very essence or center of something,"{
    ""English idiom"": ""to the core"",
    ""English definition"": ""To an extreme or intense degree. This idiom often describes something or someone as being fundamentally and deeply affected or possessing a particular characteristic to its fullest extent."",
    ""Chinese idiom 1"": ""彻头彻尾"",
    ""Chinese idiom 2"": ""骨子里"",
    ""Chinese idiom 3"": """"
}",骨子里,"'to the core' means '骨子里'. Given the above knowledge, translate the following sentence to Chinese: 'The man was hurt to the core by these words and refused to speak to anyone but his wife at the time . ''",这个人被这些话伤透了心，除了当时的妻子，拒绝和任何人说话。,这个男人被这些话伤到了骨子里，当时除了他的妻子外，他拒绝和任何人说话。,3,3,3,3
"It 's such a small world , my daughters kindergarten teacher ended up being my old college roommate .",it's a small world,"referring to the surprising or coincidental encounters with unfamiliar people or experiences in unexpected places, suggesting that the world is interconnected and events are not as random as they may seem","```json
{
  ""English idiom"": ""it's a small world"",
  ""English definition"": ""This idiom is used to express surprise when you unexpectedly meet someone you know or discover a mutual acquaintance in an unexpected place or situation."",
  ""Chinese idiom 1"": ""人生何处不相逢"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",人生何处不相逢,"'it's a small world' means '人生何处不相逢'. Given the above knowledge, translate the following sentence to Chinese: 'It 's such a small world , my daughters kindergarten teacher ended up being my old college roommate .'",人生何处不相逢，我的女儿的幼儿园老师竟然是我的以前大学室友。,世界真小，我女儿的幼儿园老师竟然是我以前的大学室友。,3,3,3,3
"My granny does not like pizza at all , she prefer to eat porridge - really , you ca n't teach an old dog new tricks .",you can't teach an old dog new tricks,"it is difficult to teach or change someone's habits or behaviors, especially if they are set in their ways or resistant to change","```json
{
    ""English idiom"": ""you can't teach an old dog new tricks"",
    ""English definition"": ""It's difficult to get someone to change their habits or learn new skills, especially if they've been doing something in a certain way for a long time."",
    ""Chinese idiom 1"": ""朽木不可雕"",
    ""Chinese idiom 2"": ""江山易改，本性难移"",
    ""Chinese idiom 3"": """"
}
```",江山易改，本性难移,"'you can't teach an old dog new tricks' means '江山易改，本性难移'. Given the above knowledge, translate the following sentence to Chinese: 'My granny does not like pizza at all , she prefer to eat porridge - really , you ca n't teach an old dog new tricks .'",我奶奶一点也不喜欢披萨，她更喜欢吃粥 - 真的，江山易改，本性难移。,我奶奶一点也不喜欢披萨，她更喜欢吃粥——真的，江山易改，本性难移。,3,3,3,3
"The country hit by terrorism needs a strong leader , and the new Prime Minister just does n't fill the bill .",fill the bill,to be suitable or meet the requirements,"```json
{
  ""English idiom"": ""fill the bill"",
  ""English definition"": ""To be suitable for a particular purpose or role"",

  ""Chinese idiom 1"": ""名副其实"",
  ""Chinese idiom 2"": ""恰如其分"",
  ""Chinese idiom 3"": """"
}
```",名副其实,"'fill the bill' means '名副其实'. Given the above knowledge, translate the following sentence to Chinese: 'The country hit by terrorism needs a strong leader , and the new Prime Minister just does n't fill the bill .'",受到恐怖主义袭击的国家需要一个强有力的领导，而新任总理似乎并不名副其实。,遭受恐怖主义袭击的国家需要一位强有力的领导人，而新总理并不能名副其实。,3,3,2,1
"These are turbulent times , but it must come to an end sometime and There must be some method to this madness .",method to madness,an underlying logic or purpose behind seemingly chaotic or irrational behavior,"```json
{
    ""English idiom"": ""method to madness"",
    ""English definition"": ""Despite seeming chaotic or irrational, there is actually a clear plan or purpose behind the actions."",
    ""Chinese idiom 1"": ""大智若愚"",
    ""Chinese idiom 2"": ""欲扬先抑"",
    ""Chinese idiom 3"": ""故弄玄虚""
}
```",故弄玄虚,"'method to madness' means '故弄玄虚'. Given the above knowledge, translate the following sentence to Chinese: 'These are turbulent times , but it must come to an end sometime and There must be some method to this madness .'",这是动荡的时代，但总有结束的一天，而这种疯狂背后总得有些方法。,这些是动荡的时期，但总有一天会结束，而且这其中一定有一些故弄玄虚的做法。,3,2,2,1
I ca n't believe that my husband remembered to bring home sugar and I will have to eat my words .,eat words,to retract or take back something that one has said,"```json
{
  ""English idiom"": ""eat words"",
  ""English definition"": ""To retract or take back something that one has said, often because it has been proven wrong or one regrets saying it."",
  ""Chinese idiom 1"": ""食言而肥"",
  ""Chinese idiom 2"": ""言而无信"",
  ""Chinese idiom 3"": ""出尔反尔""
}
```",食言而肥,"'eat words' means '食言而肥'. Given the above knowledge, translate the following sentence to Chinese: 'I ca n't believe that my husband remembered to bring home sugar and I will have to eat my words .'",我简直不敢相信我丈夫记得带回家糖，我得食言了。,'我真不敢相信我丈夫竟然记得带糖回家，我得食言而肥了。',3,3,1,1
"Though Mark may be friends with other girls , he has eyes only for her .",have eyes only for,To be interested in or attracted to only one particular person or thing,"{
  ""English idiom"": ""have eyes only for"",
  ""English definition"": ""To be romantically interested in or deeply focused on only one person, often to the exclusion of others."",
  ""Chinese idiom 1"": ""情有独钟"",
  ""Chinese idiom 2"": ""钟情一人"",
  ""Chinese idiom 3"": ""目中无人""
}",情有独钟,"'have eyes only for' means '情有独钟'. Given the above knowledge, translate the following sentence to Chinese: 'Though Mark may be friends with other girls , he has eyes only for her .'",尽管马克可能与其他女孩交朋友，但他情有独钟于她。,虽然马克可能和其他女生是朋友，但他对她情有独钟。,3,3,3,3
Do n't guess the status of this person by looking at his clothes and He is a blue blood of the city .,blue blood,to refer to the nobility or aristocracy; someone of high social standing or pedigree,"```json
{
  ""English idiom"": ""blue blood"",
  ""English definition"": ""'Blue blood' refers to someone of noble or aristocratic descent."",
  ""Chinese idiom 1"": ""名门望族"",
  ""Chinese idiom 2"": ""王侯将相"",
  ""Chinese idiom 3"": ""贵族子弟""
}
```",名门望族,"'blue blood' means '名门望族'. Given the above knowledge, translate the following sentence to Chinese: 'Do n't guess the status of this person by looking at his clothes and He is a blue blood of the city .'",不要光凭看衣服来猜测这个人的社会地位，他是这座城市的名门望族。,不要通过看他的衣着来猜测他的地位，他是这个城市的名门望族。,3,3,3,3
"Four people are injured , one seriously , when two cars collided head-on Sunday in Edmonton .",head-on,directly and without hesitation; confronting a situation or problem directly,"```json
{
  ""English idiom"": ""head-on"",
  ""English definition"": ""Directly or with direct confrontation or conflict."",
  ""Chinese idiom 1"": ""针锋相对"",
  ""Chinese idiom 2"": ""直截了当"",
  ""Chinese idiom 3"": ""迎头痛击""
}
```",针锋相对,"'head-on' means '针锋相对'. Given the above knowledge, translate the following sentence to Chinese: 'Four people are injured , one seriously , when two cars collided head-on Sunday in Edmonton .'",周日在埃德蒙顿，两辆汽车发生了正面相撞，导致四人受伤，其中一人伤势严重。,四人在周日埃德蒙顿两车针锋相对相撞事故中受伤，其中一人重伤。,3,3,3,1
It was with a heavy heart that Dolly left her hometown and went abroad for her studies .,heavy heart,feeling sad or burdened with sorrow,"{
    ""English idiom"": ""heavy heart"",
    ""English definition"": ""A feeling of deep sadness or sorrow."",
    ""Chinese idiom 1"": ""愁眉苦脸"",
    ""Chinese idiom 2"": ""心事重重"",
    ""Chinese idiom 3"": ""黯然神伤""
}",愁眉苦脸,"'heavy heart' means '愁眉苦脸'. Given the above knowledge, translate the following sentence to Chinese: 'It was with a heavy heart that Dolly left her hometown and went abroad for her studies .'",多莉怀着愁眉苦脸的心情离开了她的家乡，去国外留学。,多莉怀着愁眉苦脸的心情离开了家乡，出国留学。,2,2,1,1
"I have seen him smoke and bully people right from the time he was in high school and With such building blocks , what else were you expecting of his future ?",building blocks,fundamental components or basic elements that are necessary for the development or construction of something,"```json
{
  ""English idiom"": ""building blocks"",
  ""English definition"": ""The basic components or pieces that are assembled or put together to create something more complex."",
  ""Chinese idiom 1"": ""积少成多"",
  ""Chinese idiom 2"": ""集腋成裘"",
  ""Chinese idiom 3"": ""集思广益""
}
```",积少成多,"'building blocks' means '积少成多'. Given the above knowledge, translate the following sentence to Chinese: 'I have seen him smoke and bully people right from the time he was in high school and With such building blocks , what else were you expecting of his future ?'",我从他还在高中时代起就看到他吸烟和欺凌别人，有了这样的积少成多，你还期待他的未来会有什么不同吗？,我从他上高中时就看到他抽烟和欺负人，积少成多，你还能对他的未来有什么期望呢？,3,3,1,2
I am coming across such an issue after a very long time .,come across,to meet or find something or someone by chance; to give a particular impression or make a particular impact on someone,"```json
{
  ""English idiom"": ""come across"",
  ""English definition"": ""To meet or find someone or something by chance."",
  ""Chinese idiom 1"": ""不期而遇"",
  ""Chinese idiom 2"": ""邂逅相遇"",
  ""Chinese idiom 3"": ""无意中发现""
}
```",不期而遇,"'come across' means '不期而遇'. Given the above knowledge, translate the following sentence to Chinese: 'I am coming across such an issue after a very long time .'",我很久没有遇到过这样的问题了。,我很久以后才再次遇到这样的问题。,3,3,3,3
"All of my efforts seem to be going down the drain , no one seems to care .",down the drain,wasted or lost; irrecoverable or pointless expenditure or effort,"```json
{
  ""English idiom"": ""down the drain"",
  ""English definition"": ""Wasted or lost, usually referring to resources, effort, or money."",
  ""Chinese idiom 1"": ""付诸东流"",
  ""Chinese idiom 2"": ""白费力气"",
  ""Chinese idiom 3"": ""前功尽弃""
}
```",付诸东流,"'down the drain' means '付诸东流'. Given the above knowledge, translate the following sentence to Chinese: 'All of my efforts seem to be going down the drain , no one seems to care .'",我所有的努力似乎都在付诸东流，没有人似乎在乎。,我所有的努力似乎都付诸东流了，没人似乎在意。,3,3,3,3
He smelt a rat when his wife said she did n't want to go on a vacation with him .,smell a rat,to suspect that something is wrong or suspicious,"```json
{
  ""English idiom"": ""smell a rat"",
  ""English definition"": ""To suspect that something is wrong or that someone is being deceitful."",
  ""Chinese idiom 1"": ""察觉到异常"",
  ""Chinese idiom 2"": ""发现端倪"",
  ""Chinese idiom 3"": ""疑窦重重""
}
```",疑窦重重,"'smell a rat' means '疑窦重重'. Given the above knowledge, translate the following sentence to Chinese: 'He smelt a rat when his wife said she did n't want to go on a vacation with him .'",他疑窦重重，当他妻子说她不想和他一起去度假时。,当他妻子说她不想和他一起去度假时，他疑窦重重。,3,3,2,3
"Starting a new venture is fraught with risks , but if you can hang in there despite the difficulties , you are sure to succeed .",hang in there,"to persevere, keep going, or stay determined despite difficulties or challenges","{
  ""English idiom"": ""hang in there"",
  ""English definition"": ""To persevere, to not give up, especially in difficult circumstances."",
  ""Chinese idiom 1"": ""坚持不懈"",
  ""Chinese idiom 2"": ""咬紧牙关"",
  ""Chinese idiom 3"": ""持之以恒""
}",咬紧牙关,"'hang in there' means '咬紧牙关'. Given the above knowledge, translate the following sentence to Chinese: 'Starting a new venture is fraught with risks , but if you can hang in there despite the difficulties , you are sure to succeed .'",开创一项新事业充满风险，但如果你能在困难中咬紧牙关，你一定会成功的。,开始一个新的冒险充满了风险，但如果你能咬紧牙关克服困难，你一定会成功。,3,3,3,3
Sometimes it can be difficult to buck up and continue after suffering a huge loss .,buck up,To make an effort to improve or become more cheerful and enthusiastic,"{
    ""English idiom"": ""buck up"",
    ""English definition"": ""to become encouraged, to cheer up, or to make an effort to improve your mood or situation"",
    ""Chinese idiom 1"": ""振作精神"",
    ""Chinese idiom 2"": ""打起精神"",
    ""Chinese idiom 3"": """"
}",振作精神,"'buck up' means '振作精神'. Given the above knowledge, translate the following sentence to Chinese: 'Sometimes it can be difficult to buck up and continue after suffering a huge loss .'",有时候，在遭受巨大损失之后，要振作精神继续有时候会很困难。,有时候，在遭受巨大损失后振作精神并继续前进会变得很困难。,3,3,2,3
He told me that they would get back to me right away regarding an answer .,right away,immediately or without delay,"```json
{
    ""English idiom"": ""right away"",
    ""English definition"": ""immediately; at once"",
    ""Chinese idiom 1"": ""立刻见效"",
    ""Chinese idiom 2"": ""马上行动"",
    ""Chinese idiom 3"": """"
}
```",立刻见效,"'right away' means '立刻见效'. Given the above knowledge, translate the following sentence to Chinese: 'He told me that they would get back to me right away regarding an answer .'",他告诉我他们会立刻给我一个答复。,他告诉我他们会立刻答复我。,3,3,3,3
"As per her bucket list , Sarah wants to buy a Persian cat .",bucket list,a list of experiences or achievements that a person wants to have or accomplish before they die,"```json
{
  ""English idiom"": ""bucket list"",
  ""English definition"": ""A list of things a person wants to do or achieve before they die."",
  ""Chinese idiom 1"": ""平生夙愿"",
  ""Chinese idiom 2"": ""人生无憾"",
  ""Chinese idiom 3"": """"
}
```",平生夙愿,"'bucket list' means '平生夙愿'. Given the above knowledge, translate the following sentence to Chinese: 'As per her bucket list , Sarah wants to buy a Persian cat .'",根据她的平生夙愿，莎拉想要买一只波斯猫。,根据她的平生夙愿，莎拉想买一只波斯猫。,3,3,2,2
"Ever since the accident , she 's been a little on edge when driving .",on edge,"feeling nervous, anxious, or irritable","```json
{
    ""English idiom"": ""on edge"",
    ""English definition"": ""nervous, tense, or easily upset"",
    ""Chinese idiom 1"": ""如坐针毡"",
    ""Chinese idiom 2"": ""忐忑不安"",
    ""Chinese idiom 3"": ""惴惴不安""
}
```",忐忑不安,"'on edge' means '忐忑不安'. Given the above knowledge, translate the following sentence to Chinese: 'Ever since the accident , she 's been a little on edge when driving .'",自从事故发生后，她开车时总是有点忐忑不安。,自从出了事故后，她开车时一直有些忐忑不安。,3,3,3,3
She said she was going to become his wife if it is the last thing she does .,if it's the last thing I do,"to express a strong determination to do something, even if it is the final thing one accomplishes or the very last effort one makes","```json
{
  ""English idiom"": ""if it's the last thing I do"",
  ""English definition"": ""An expression used to indicate strong determination to accomplish something even if it is the last thing one does."",
  ""Chinese idiom 1"": ""不达目的誓不罢休"",
  ""Chinese idiom 2"": ""拼死一搏"",
  ""Chinese idiom 3"": ""竭尽全力""
}
```",不达目的誓不罢休,"'if it's the last thing I do' means '不达目的誓不罢休'. Given the above knowledge, translate the following sentence to Chinese: 'She said she was going to become his wife if it is the last thing she does .'",她说她要成为他的妻子，不达目的誓不罢休。,她说她一定要成为他的妻子，不达目的誓不罢休。,3,3,3,3
The two technology companies are neck and neck in developing a new operating system for our computers .,neck and neck,very close or even in a competition or race; with no clear leader,"```json
{
  ""English idiom"": ""neck and neck"",
  ""English definition"": ""When two competitors are so close that it is impossible to determine who is winning."",
  ""Chinese idiom 1"": ""不分伯仲"",
  ""Chinese idiom 2"": ""旗鼓相当"",
  ""Chinese idiom 3"": ""难分高下""
}
```",难分高下,"'neck and neck' means '难分高下'. Given the above knowledge, translate the following sentence to Chinese: 'The two technology companies are neck and neck in developing a new operating system for our computers .'",这两家科技公司在开发新操作系统方面难分高下。,这两家科技公司在开发我们的电脑新操作系统上难分高下。,3,3,3,3
I 've been waiting for ages but I did n't get any new piece of writing from my favourite writer .,piece of writing,"written work or composition, such as an essay or article","{
  ""English idiom"": ""piece of writing"",
  ""English definition"": ""A piece of writing is a written work such as an essay, article, book, or poem. It typically refers to a single, coherent, and complete work distinguished by its content and form."",
  ""Chinese idiom 1"": ""篇章"",
  ""Chinese idiom 2"": ""文章"",
  ""Chinese idiom 3"": """"
}",篇章,"'piece of writing' means '篇章'. Given the above knowledge, translate the following sentence to Chinese: 'I 've been waiting for ages but I did n't get any new piece of writing from my favourite writer .'",我等了很久，但是我没有收到我最喜欢的作家的任何新篇章。,我已经等了很久，但我最喜欢的作家没有给我任何新的篇章。,3,3,1,2
Do you know that he arranged for the funds just in case you decided to go ahead with the plan ?,just in case,as a precaution or in anticipation of a future event or circumstance,"```json
{
  ""English idiom"": ""just in case"",
  ""English definition"": ""As a precaution; to prepare for a possible future need or problem."",
  ""Chinese idiom 1"": ""未雨绸缪"",
  ""Chinese idiom 2"": ""防患未然"",
  ""Chinese idiom 3"": """"
}
```",未雨绸缪,"'just in case' means '未雨绸缪'. Given the above knowledge, translate the following sentence to Chinese: 'Do you know that he arranged for the funds just in case you decided to go ahead with the plan ?'",你知道他安排了资金以备你决定继续计划吗？,你知道他未雨绸缪，为你决定继续执行计划筹集了资金吗？,3,3,3,3
"Do n't bump into that desk , it has sharp edges .",bump into,unexpectedly meet someone,"```json
{
  ""English idiom"": ""bump into"",
  ""English definition"": ""To meet someone unexpectedly."",
  ""Chinese idiom 1"": ""不期而遇"",
  ""Chinese idiom 2"": ""萍水相逢"",
  ""Chinese idiom 3"": ""邂逅相遇""
}
```",不期而遇,"'bump into' means '不期而遇'. Given the above knowledge, translate the following sentence to Chinese: 'Do n't bump into that desk , it has sharp edges .'",不要碰到那张桌子，它有尖锐的边缘。,别撞到那张桌子，它有尖角。,3,3,1,1
Nina loves French fries and other fast food .,fast food,"food that is prepared and served quickly, usually in a restaurant, but can also refer to processed food that is designed to be cooked and served quickly","{
  ""English idiom"": ""fast food"",
  ""English definition"": ""Inexpensive food that is prepared and served quickly, often at restaurants that specialize in such fare"",
  ""Chinese idiom 1"": null,
  ""Chinese idiom 2"": null,
  ""Chinese idiom 3"": null
}","Inexpensive food that is prepared and served quickly, often at restaurants that specialize in such fare","'fast food' means 'Inexpensive food that is prepared and served quickly, often at restaurants that specialize in such fare'. Given the above knowledge, translate the following sentence to Chinese: 'Nina loves French fries and other fast food .'",妮娜喜欢炸薯条和其他速食食品。,妮娜喜爱薯条和其他快餐。,3,3,3,3
His troubled past always kept her on the qui vive to avoid any mishap .,qui vive,on the lookout; being watchful or vigilant,"```json
{
  ""English idiom"": ""qui vive"",
  ""English definition"": ""Being on the alert or lookout."",
  ""Chinese idiom 1"": ""如临大敌"",
  ""Chinese idiom 2"": ""草木皆兵"",
  ""Chinese idiom 3"": ""战战兢兢""
}
```",草木皆兵,"'qui vive' means '草木皆兵'. Given the above knowledge, translate the following sentence to Chinese: 'His troubled past always kept her on the qui vive to avoid any mishap .'",他饱受困扰的过去总是让她提防草木皆兵，以避免任何意外。,他的坎坷过去总是让她草木皆兵，以避免任何不幸事故。,3,3,1,3
Jack told us to that this is the only way to reach at the top of that mountain and he was bang on .,bang on,to be exactly right or accurate,"{
  ""English idiom"": ""bang on"",
  ""English definition"": ""Exactly right; precise; accurate."",
  ""Chinese idiom 1"": ""一针见血"",
  ""Chinese idiom 2"": ""言简意赅"",
  ""Chinese idiom 3"": ""切中要害""
}",一针见血,"'bang on' means '一针见血'. Given the above knowledge, translate the following sentence to Chinese: 'Jack told us to that this is the only way to reach at the top of that mountain and he was bang on .'",杰克告诉我们，这是到达那座山顶的唯一方法，他说得一针见血。,杰克告诉我们这是到达那座山顶的唯一方法，他一针见血。,2,3,3,3
"I 've scratched your back often , now its your turn .",scratch back,To do a favor for someone in the hopes of receiving a favor in return,"{
    ""English idiom"": ""scratch back"",
    ""English definition"": ""To provide someone with a favor or service in expectation of a return favor, based on mutual benefit."",
    ""Chinese idiom 1"": ""礼尚往来"",
    ""Chinese idiom 2"": ""投桃报李"",
    ""Chinese idiom 3"": ""滴水之恩，涌泉相报""
}",礼尚往来,"'scratch back' means '礼尚往来'. Given the above knowledge, translate the following sentence to Chinese: 'I 've scratched your back often , now its your turn .'",我经常帮你，现在该你回报了。,我常常帮你，现在轮到你帮我了。,3,3,2,2
After the terrible earthquake the hospital was over crowded with injured people and most of them were falling through the cracks .,fall between the cracks,to be overlooked or forgotten,"```json
{
  ""English idiom"": ""fall between the cracks"",
  ""English definition"": ""To be overlooked or neglected, often due to a lack of attention or care."",
  ""Chinese idiom 1"": ""挂一漏万"",
  ""Chinese idiom 2"": ""顾此失彼"",
  ""Chinese idiom 3"": """"
}
```",挂一漏万,"'fall between the cracks' means '挂一漏万'. Given the above knowledge, translate the following sentence to Chinese: 'After the terrible earthquake the hospital was over crowded with injured people and most of them were falling through the cracks .'",在可怕的地震之后，医院人满为患，大部分受伤的人都挂一漏万。,可怕的地震之后，医院里挤满了受伤的人，大部分人都挂一漏万。,3,3,1,1
"Do n't commit a crime , or you 'll be sent to the black hole .",black hole,"a place or situation where things, especially money or resources, seem to disappear without trace","{
  ""English idiom"": ""black hole"",
  ""English definition"": ""A black hole is a metaphor for a situation or problem from which there is no escape and where things seem to be drawn in and lost, often referring to financial or resource drains."",
  ""Chinese idiom 1"": ""无底洞"",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}",无底洞,"'black hole' means '无底洞'. Given the above knowledge, translate the following sentence to Chinese: 'Do n't commit a crime , or you 'll be sent to the black hole .'",不要犯罪，否则你会被送进无底洞。,不要犯罪，否则你会被送进无底洞。,3,3,1,1
"The defence lawyer played devil 's advocate , explaining that the truth could be the opposite of the way it looked , but the judge was n't having it .",devil's advocate,"someone who takes a position for the sake of argument, without necessarily believing in or supporting that position","```json
{
  ""English idiom"": ""devil's advocate"",
  ""English definition"": ""A person who argues against something just for the sake of argument, often to provoke discussion or test the strength of the opposing arguments."",
  ""Chinese idiom 1"": ""唱反调"",
  ""Chinese idiom 2"": ""故意找茬"",
  ""Chinese idiom 3"": """"
}
```",唱反调,"'devil's advocate' means '唱反调'. Given the above knowledge, translate the following sentence to Chinese: 'The defence lawyer played devil 's advocate , explaining that the truth could be the opposite of the way it looked , but the judge was n't having it .'",辩护律师唱反调，解释说事实可能与表面看起来的相反，但法官不接受。,辩护律师在唱反调，解释说真相可能与表面看起来相反，但法官不接受。,3,3,3,3
Leaders should be up on the topic they are going to give a speech on and Else they will be mocked by public & lose their votes .,be up on,to be knowledgeable or informed about something,"```json
{
    ""English idiom"": ""be up on"",
    ""English definition"": ""to be well-informed or knowledgeable about something"",
    ""Chinese idiom 1"": ""博闻强识"",
    ""Chinese idiom 2"": ""学富五车"",
    ""Chinese idiom 3"": ""博学多才""
}
```",博闻强识,"'be up on' means '博闻强识'. Given the above knowledge, translate the following sentence to Chinese: 'Leaders should be up on the topic they are going to give a speech on and Else they will be mocked by public & lose their votes .'",领导人应该对他们要演讲的主题了如指掌，否则他们将会被公众嘲笑并失去选票。,领导者应该博闻强识他们将要演讲的主题，否则他们会被公众嘲笑并失去选票。,3,3,3,1
Going through the scenario step by step helps to shed light on it .,shed light,To provide information or clarity on a subject; to reveal or explain something,"```json
{
  ""English idiom"": ""shed light"",
  ""English definition"": ""To make something easier to understand, often by providing new information or insight."",
  ""Chinese idiom 1"": ""揭开面纱"",
  ""Chinese idiom 2"": ""指点迷津"",
  ""Chinese idiom 3"": ""拨云见日""
}
```",揭开面纱,"'shed light' means '揭开面纱'. Given the above knowledge, translate the following sentence to Chinese: 'Going through the scenario step by step helps to shed light on it .'",逐步梳理情景有助于揭开它的面纱。,逐步分析这个情景有助于揭开面纱。,3,3,3,1
