Idiomatic_Sent,Original_Idiom,en_meaning,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,"3,5_Evaluation_4o",4o_Evaluation_4o
师父真不愧是笑林高手，三言两语就把大家逗得捧腹大笑。,三言两语,a few words; brief and concise,thumbnail sketch (0.76),thumbnail sketch,'三言两语' means 'thumbnail sketch'. Given the above knowledge translate this sentence to English: 师父真不愧是笑林高手，三言两语就把大家逗得捧腹大笑。.,"Master is truly worthy of being a master of humor; with just a few words, he had everyone bursting into laughter.","The master truly deserves to be called a comedian; with just a few words, he had everyone bursting into laughter.",3,3,3.0,3
你取信于人的唯一方法就是改过自新。,取信于人,gaining trust and credibility from others,,,'取信于人' means 'gaining trust and credibility from others'. Given the above knowledge translate this sentence to English: 你取信于人的唯一方法就是改过自新。.,The only way for you to gain trust from others is to turn over a new leaf.,The only way for you to gain trust and credibility from others is to turn over a new leaf.,3,3,3.0,3
李刚舍己为人的行为值得大家学习。,舍己为人,to put others before oneself; to sacrifice one's own interests for the sake of others,,,'舍己为人' means 'to put others before oneself; to sacrifice one's own interests for the sake of others'. Given the above knowledge translate this sentence to English: 李刚舍己为人的行为值得大家学习。.,Li Gang's act of selflessness is worth emulating.,Li Gang's self-sacrificing behavior is worth learning from by everyone.,3,3,2.0,2
即使德瑞克方程式是真的，确实存在着数百万的文明，但要找到他们就像大海捞针。,大海捞针,"finding a needle in a haystack, attempting to find something extremely difficult or rare",,,"'大海捞针' means 'finding a needle in a haystack, attempting to find something extremely difficult or rare'. Given the above knowledge translate this sentence to English: 即使德瑞克方程式是真的，确实存在着数百万的文明，但要找到他们就像大海捞针。.","Even if the Drake Equation is true, there are indeed millions of civilizations out there, but finding them is like finding a needle in a haystack.","Even if the Drake equation is true and there are indeed millions of civilizations, finding them would be like finding a needle in a haystack.",3,3,3.0,3
儒生都爱吹捧上古‘大同时代’，说什么那时候‘大道之行也，天下为公，选贤与能，讲信修睦。,讲信修睦,keeping promises and cultivating harmony in relationships,,,'讲信修睦' means 'keeping promises and cultivating harmony in relationships'. Given the above knowledge translate this sentence to English: 儒生都爱吹捧上古‘大同时代’，说什么那时候‘大道之行也，天下为公，选贤与能，讲信修睦。.,"Confucian scholars all love to praise the ancient 'Great Simultaneity', saying that during that time 'the Dao was followed, the world was shared in common, the worthy and the able were chosen, and promises were kept and harmony cultivated'.","""Confucian scholars love to praise the ancient 'Great Unity Era', saying that back then 'The Great Way was practiced, the world belonged to all, the capable were selected, and promises were kept and harmony cultivated in relationships.'""",3,3,2.0,3
老翁稳坐钓鱼台，斜风细雨，昂然自得。,斜风细雨,a gentle wind and light rain,it's raining cats and dogs (0.75),it's raining cats and dogs,'斜风细雨' means 'it's raining cats and dogs'. Given the above knowledge translate this sentence to English: 老翁稳坐钓鱼台，斜风细雨，昂然自得。.,"The old man sat steadily on the fishing platform, enjoying the breeze and drizzle, feeling content and proud.","The old man sat steadily on the fishing platform, it's raining cats and dogs, looking proud and content.",3,1,2.0,1
但是德国民众仍然瞠目结舌于他最后行为的明目张胆与玩世不恭。,明目张胆,being bold and blatant; showing no shame or fear,brass neck (0.75),brass neck,'明目张胆' means 'brass neck'. Given the above knowledge translate this sentence to English: 但是德国民众仍然瞠目结舌于他最后行为的明目张胆与玩世不恭。.,"However, the German public still gapes in disbelief at his brazen and nonchalant behavior in his final act.","However, the German public was still dumbfounded by the brass neck and cynicism of his final actions.",3,3,3.0,3
听了他的话，小胖和大个子面面相觑，不知怎么办才好。,面面相觑,to look at each other in astonishment or confusion,,,'面面相觑' means 'to look at each other in astonishment or confusion'. Given the above knowledge translate this sentence to English: 听了他的话，小胖和大个子面面相觑，不知怎么办才好。.,"After hearing his words, Xiao Pang and the big guy looked at each other in astonishment, not knowing what to do.","After hearing his words, Little Chubby and Big Tall looked at each other in confusion, not knowing what to do.",3,3,2.0,2
此人表里如一，说话出口成章，做事别出心裁，他短小精悍和我志同道合。,志同道合,"share the same goals and ideals, have the same values and principles",,,"'志同道合' means 'share the same goals and ideals, have the same values and principles'. Given the above knowledge translate this sentence to English: 此人表里如一，说话出口成章，做事别出心裁，他短小精悍和我志同道合。.","This person is consistent in words and actions, articulate in speech, innovative in his approach, and shares the same goals and ideals as me.","This person is consistent inside and out, speaks eloquently, acts creatively, is compact and capable, and shares the same goals and ideals with me.",3,3,1.0,2
就在这节骨眼儿上，董震的母亲积劳成疾，一病不起。,一病不起,unable to recover from an illness,,,'一病不起' means 'unable to recover from an illness'. Given the above knowledge translate this sentence to English: 就在这节骨眼儿上，董震的母亲积劳成疾，一病不起。.,"At this critical moment, Dong Zhen's mother fell seriously ill and was unable to recover.","At this critical moment, Dong Zhen's mother fell ill from overwork and was unable to recover.",3,3,3.0,3
等待这种东西并不如我们所想，一定要有目的，一定要有等到的那一天。这种植物执迷不悟地生长，等待就是它本身的目的。不一定等到什么，只要等，联系就在。,执迷不悟,persisting in one's mistakes and refusing to wake up to reality,,,'执迷不悟' means 'persisting in one's mistakes and refusing to wake up to reality'. Given the above knowledge translate this sentence to English: 等待这种东西并不如我们所想，一定要有目的，一定要有等到的那一天。这种植物执迷不悟地生长，等待就是它本身的目的。不一定等到什么，只要等，联系就在。.,"Waiting for this kind of thing is not as we imagine, it must have a purpose, it must have the day of waiting. This plant persistently grows, waiting is its own purpose. Not necessarily waiting for anything, as long as waiting, connection is there.","Waiting is not as we imagine; it must have a purpose, and there must be a day when the wait is over. This plant persistently grows, with waiting as its very purpose. It doesn't necessarily have to wait for something; as long as it waits, the connection exists.",2,3,1.0,3
这样虽然不错，但感觉还是有点不治本，正所谓‘扬汤止沸，不如绝薪止火’，先生以为呢?,扬汤止沸,to resolve a conflict or calm a situation by taking timely and effective measures,,,'扬汤止沸' means 'to resolve a conflict or calm a situation by taking timely and effective measures'. Given the above knowledge translate this sentence to English: 这样虽然不错，但感觉还是有点不治本，正所谓‘扬汤止沸，不如绝薪止火’，先生以为呢?.,"This is good, but it still feels like just treating the symptoms and not the root cause. As the saying goes, ""to resolve a conflict or calm a situation by taking timely and effective measures is not as effective as cutting off the source of fuel to extinguish the fire."" What do you think, sir?","""Although this is good, it still feels somewhat like a temporary fix. As the saying goes, 'pouring water on boiling water to stop it is not as effective as removing the firewood to stop the fire.' What do you think, sir?""",2,3,1.0,2
班长一本正经的告诉我，我的语文成绩在年级得了第一。,一本正经,to be serious and earnest,,,'一本正经' means 'to be serious and earnest'. Given the above knowledge translate this sentence to English: 班长一本正经的告诉我，我的语文成绩在年级得了第一。.,The monitor solemnly told me that I got the highest score in Chinese in the grade.,The class monitor told me very seriously that I got the highest score in my Chinese language subject for the grade.,3,3,3.0,2
若长驱深入明境，攻城略地，又恐怕叶赫抄其后路，难于收拾，颇有后顾之忧。,后顾之忧,concerns about the future or potential problems that may arise,there are clouds on the horizon (0.77),there are clouds on the horizon,'后顾之忧' means 'there are clouds on the horizon'. Given the above knowledge translate this sentence to English: 若长驱深入明境，攻城略地，又恐怕叶赫抄其后路，难于收拾，颇有后顾之忧。.,"If we advance deep into enemy territory and conquer cities and land, we may also fear that the enemy will cut off our retreat, making it difficult to regroup, and there are clouds on the horizon.","If we advance deeply into Ming territory, capturing cities and land, we fear that Yehe might cut off our rear, making it difficult to manage, and we will have clouds on the horizon.",2,2,2.0,1
周律师学识渊博，能言善辩，一定能胜任这件案子的辩护工作。,能言善辩,"skilled in speech and argumentation, able to eloquently express oneself",,,"'能言善辩' means 'skilled in speech and argumentation, able to eloquently express oneself'. Given the above knowledge translate this sentence to English: 周律师学识渊博，能言善辩，一定能胜任这件案子的辩护工作。.","Lawyer Zhou is knowledgeable and skilled in speech and argumentation, he will definitely be able to handle the defense work for this case.","Attorney Zhou is knowledgeable and eloquent, and will definitely be capable of handling the defense in this case.",3,3,2.0,2
樱花开了，樱花也会落，像雪一样，纷纷扬扬。樱花开的时候，我爱你，樱花落的时候，我知道，我依然爱你。真的要问我爱你的理由，那么，就只是因为樱花开了吧。至于你满不满意这个答案，我想，我也只能莞尔一笑了。,纷纷扬扬,"abundance, numerous, in great quantities","in spades (0.79), oceans of (0.85)",in spades,'纷纷扬扬' means 'in spades'. Given the above knowledge translate this sentence to English: 樱花开了，樱花也会落，像雪一样，纷纷扬扬。樱花开的时候，我爱你，樱花落的时候，我知道，我依然爱你。真的要问我爱你的理由，那么，就只是因为樱花开了吧。至于你满不满意这个答案，我想，我也只能莞尔一笑了。.,"The cherry blossoms bloom, the cherry blossoms fall, like snow, in spades. When the cherry blossoms bloom, I love you, when the cherry blossoms fall, I know, I still love you. If you really want to ask me the reason why I love you, then it's just because the cherry blossoms are in bloom. As for whether you are satisfied with this answer, I think I can only smile slightly.","The cherry blossoms bloom, and the cherry blossoms will also fall, like snow, in spades. When the cherry blossoms bloom, I love you; when the cherry blossoms fall, I know that I still love you. If you really want to ask me why I love you, well, it's just because the cherry blossoms have bloomed. As for whether you are satisfied with this answer, I think I can only respond with a smile.",3,3,2.0,2
他才读了几本古书，说起话来就老是咬文嚼字，拾人牙慧，真让人受不了。,拾人牙慧,to learn from others' wisdom or knowledge,,,'拾人牙慧' means 'to learn from others' wisdom or knowledge'. Given the above knowledge translate this sentence to English: 他才读了几本古书，说起话来就老是咬文嚼字，拾人牙慧，真让人受不了。.,"He has only read a few ancient books, but he always speaks in a pedantic and pompous way, learning from others' wisdom, which is really unbearable.","He has only read a few ancient books, yet he always speaks in a pedantic manner and parrots others' wisdom, which is really unbearable.",2,3,1.0,3
如果你迟疑不决，徘徊在人生的十字路口，那么，拿起你的画笔，描绘海天一色的壮观，那席卷海浪的海燕，将会给你勇气。看吧，鸟都能飞越风雨，你还有什么不可以跨越，还有什么怯懦？,十字路口,"a crossroads, a point where one must make a decision or choose a direction to go",,,"'十字路口' means 'a crossroads, a point where one must make a decision or choose a direction to go'. Given the above knowledge translate this sentence to English: 如果你迟疑不决，徘徊在人生的十字路口，那么，拿起你的画笔，描绘海天一色的壮观，那席卷海浪的海燕，将会给你勇气。看吧，鸟都能飞越风雨，你还有什么不可以跨越，还有什么怯懦？.","If you hesitate and linger at the crossroads of life, pick up your paintbrush and depict the magnificent expanse of the sea and sky. The sweeping sea swallow will give you courage. Look, even birds can fly through storms, what can't you overcome, what cowardice do you still have?","If you hesitate and waver at life's crossroads, pick up your paintbrush and depict the spectacular scene of the sea merging with the sky; the swift seagull soaring over the waves will give you courage. Look, if a bird can fly through storms, what can't you overcome, and what fear can you not conquer?",3,3,2.0,2
周万寿，原来你是魏忠贤的狐群狗党，可谓天网恢恢!,狐群狗党,A group of sly and untrustworthy people,,,'狐群狗党' means 'A group of sly and untrustworthy people'. Given the above knowledge translate this sentence to English: 周万寿，原来你是魏忠贤的狐群狗党，可谓天网恢恢!.,"Zhou Wanshou, so you are part of Wei Zhongxian's group of sly and untrustworthy people, truly the net of heaven is wide and all-encompassing!","""Zhou Wanshou, so you are a part of Wei Zhongxian's gang of sly and untrustworthy people. Truly, the net of justice has wide meshes but nothing escapes it!""",3,3,2.0,3
在完璧归赵的故事中蔺相如平易近人的品格让人赞叹不已，也赢得了廉颇的尊重，最后，在他们的同心协力下，度过了赵国千钧一发的难关。,同心协力,working together with one heart and one mind; united in purpose and effort,,,'同心协力' means 'working together with one heart and one mind; united in purpose and effort'. Given the above knowledge translate this sentence to English: 在完璧归赵的故事中蔺相如平易近人的品格让人赞叹不已，也赢得了廉颇的尊重，最后，在他们的同心协力下，度过了赵国千钧一发的难关。.,"In the story of ""Returning the Jade Intact to Zhao"", Lin Xiangru's affable character earned admiration and respect from Lian Po, and ultimately, with their united efforts, they successfully overcame the life-threatening crisis facing the state of Zhao.","In the story of ""Returning the Jade Intact to Zhao,"" Lin Xiangru's approachable character earned him immense admiration and the respect of Lian Po, and ultimately, through their united effort, they overcame the critical crisis faced by the State of Zhao.",3,3,3.0,2
我们一致谴责这种灭绝人性的摧残儿童的罪行.,灭绝人性,losing all sense of humanity,,,'灭绝人性' means 'losing all sense of humanity'. Given the above knowledge translate this sentence to English: 我们一致谴责这种灭绝人性的摧残儿童的罪行..,We unanimously condemn the crimes of child abuse that have lost all sense of humanity.,We unanimously condemn this inhumane crime of abusing children.,3,3,2.0,2
最近我喜从天降，可让我喜上眉梢了，现在喜出望外的盼你这只“喜羊羊”能来，那将更加喜气洋洋，结婚才能喜笑颜开，愿你来为我喜上加喜啊！,喜笑颜开,"wearing a big smile on one's face, extremely happy",grin like a Cheshire cat (0.75),grin like a Cheshire cat,'喜笑颜开' means 'grin like a Cheshire cat'. Given the above knowledge translate this sentence to English: 最近我喜从天降，可让我喜上眉梢了，现在喜出望外的盼你这只“喜羊羊”能来，那将更加喜气洋洋，结婚才能喜笑颜开，愿你来为我喜上加喜啊！.,"Recently I have had good luck come my way, making me very happy. Now I am eagerly anticipating your visit, which will bring even more joy. Only with your presence can I truly grin like a Cheshire cat at my wedding. I hope you can bring added happiness to my happiness!","Recently, unexpected joy has fallen from the sky for me, making me beam with happiness. Now, I'm eagerly looking forward to seeing you, my ""Happy Sheep."" If you could come, it would bring even more joy, and only with your presence will my wedding be filled with grins like a Cheshire cat. I hope you can come to double my happiness!",3,3,1.0,2
禁不起任何的风吹草动和考验的爱情，我有些厌倦。,风吹草动,"any slight change or movement, usually implying a sense of alertness or sensitivity",,,"'风吹草动' means 'any slight change or movement, usually implying a sense of alertness or sensitivity'. Given the above knowledge translate this sentence to English: 禁不起任何的风吹草动和考验的爱情，我有些厌倦。.",I am tired of love that can't stand any slight change or movement and testing.,Love that can't withstand any slight change or challenge makes me somewhat weary.,2,3,1.0,2
他不善交际，大智如愚，比起夸夸其谈之辈，强过百倍。,大智如愚,acting foolishly to appear wise,,,'大智如愚' means 'acting foolishly to appear wise'. Given the above knowledge translate this sentence to English: 他不善交际，大智如愚，比起夸夸其谈之辈，强过百倍。.,"He is not good at socializing, acting foolishly to appear wise, but compared to those who boast, he is a hundred times stronger.","He is not good at socializing, acting foolishly to appear wise, which is a hundred times better than those who boast.",2,2,1.0,1
他们是红色的象征，他们是希望的象征，他们就是勇敢无畏的消防队员！哪儿有环保者，哪儿就一干二净，不管他们自己多累，不管多么辛苦，总是为了祖国而默默奉献着，为了环保，永远奋斗。,一干二净,completely and thoroughly,,,'一干二净' means 'completely and thoroughly'. Given the above knowledge translate this sentence to English: 他们是红色的象征，他们是希望的象征，他们就是勇敢无畏的消防队员！哪儿有环保者，哪儿就一干二净，不管他们自己多累，不管多么辛苦，总是为了祖国而默默奉献着，为了环保，永远奋斗。.,"Where there are environmentalists, everything is completely and thoroughly cleaned, no matter how tired or hard they may be, they always quietly dedicate themselves to the motherland, always striving for environmental protection.","They are symbols of red, they are symbols of hope, they are the brave and fearless firefighters! Wherever there are environmentalists, it's completely and thoroughly clean, no matter how tired they are, no matter how hard it is, they always silently contribute for the sake of the country, forever striving for environmental protection.",2,2,1.0,1
你如果不想自己的股票变得分文不值的话，最好听我说下去!,分文不值,not worth a cent,,,'分文不值' means 'not worth a cent'. Given the above knowledge translate this sentence to English: 你如果不想自己的股票变得分文不值的话，最好听我说下去!.,"If you don't want your stocks to become not worth a cent, you better listen to me!","If you don't want your stocks to become worthless, you'd better listen to me!",3,3,2.0,3
坐在另一边，一个贼眉鼠眼，小头小脑地家伙尖声说道。,贼眉鼠眼,"having shifty and suspicious eyes, behaving like a thief",,,"'贼眉鼠眼' means 'having shifty and suspicious eyes, behaving like a thief'. Given the above knowledge translate this sentence to English: 坐在另一边，一个贼眉鼠眼，小头小脑地家伙尖声说道。.","Sitting on the other side, a shifty-eyed and suspicious looking fellow squeaked in a small and timid voice.","Sitting on the other side, a shifty-eyed, small-headed guy said in a sharp voice.",3,3,3.0,2
亲爱的谢谢你陪伴安慰，不管是春风得意或绝望颓废，晓得了人言可畏，好像才三十岁却聪明了三十倍。 #李宇春#,人言可畏,Being afraid of what others say or think,,,'人言可畏' means 'Being afraid of what others say or think'. Given the above knowledge translate this sentence to English: 亲爱的谢谢你陪伴安慰，不管是春风得意或绝望颓废，晓得了人言可畏，好像才三十岁却聪明了三十倍。 #李宇春#.,"Dear thank you for your companionship and comfort, whether in times of success or despair, knowing the fear of what others say or think makes it seem like being thirty years old but having the wisdom of someone three times that age. #Li Yuchun#.","Dear, thank you for your companionship and comfort. Whether in times of triumph or despair, I have come to understand the fear of others' opinions. Though I seem to be only thirty, I have become thirty times wiser. #LiYuchun#",3,3,2.0,2
每个人的性格都有两面性，即刚柔相济，再刚强的人也有柔和的一面，再柔和的人也有刚强的表现。,刚柔相济,"a combination of firmness and flexibility, balancing strength and gentleness",,,"'刚柔相济' means 'a combination of firmness and flexibility, balancing strength and gentleness'. Given the above knowledge translate this sentence to English: 每个人的性格都有两面性，即刚柔相济，再刚强的人也有柔和的一面，再柔和的人也有刚强的表现。.","Everyone's personality has two sides, balancing strength and gentleness, even the strongest person has a softer side, and the gentlest person has moments of strength.","Everyone's personality has two sides, a combination of firmness and flexibility; even the strongest people have a gentle side, and even the gentlest people can show strength.",3,3,3.0,3
谁都有个性，谁也不是生下来就适应社会，环境像是一条河，咱都是河里的石头，一开始各有各形状，头上长角、身上生刺，天长日久被河水冲刷，角啊，刺啊的就都磨成圆的了。,天长日久,over a long period of time,"coon's age (0.85), dog's age (0.85), donkey's years (0.82), in a coon's age (0.78)",coon's age,'天长日久' means 'coon's age'. Given the above knowledge translate this sentence to English: 谁都有个性，谁也不是生下来就适应社会，环境像是一条河，咱都是河里的石头，一开始各有各形状，头上长角、身上生刺，天长日久被河水冲刷，角啊，刺啊的就都磨成圆的了。.,"Everyone has their own personality, no one is born to fit into society, the environment is like a river, we are all stones in the river, each starting with our own shape, with horns on our heads and thorns on our bodies, as time goes by, we are washed by the river water, and the horns and thorns are all worn round.","Everyone has their own personality, and no one is born adapted to society. The environment is like a river, and we are all stones in the river. At first, each of us has our own shape, with sharp points and spikes, but over a coon's age, being washed by the river water, those points and spikes are all worn smooth.",3,2,2.0,2
一者妄言，谓口是心非，欺诳不实;二者绮语，花言巧语，伤风败俗;三者恶口，辱骂毁谤，恶语伤人;四者两舌，向此说彼，挑拨是非。,花言巧语,using sweet words and flattery,,,'花言巧语' means 'using sweet words and flattery'. Given the above knowledge translate this sentence to English: 一者妄言，谓口是心非，欺诳不实;二者绮语，花言巧语，伤风败俗;三者恶口，辱骂毁谤，恶语伤人;四者两舌，向此说彼，挑拨是非。.,"One speaks falsely, claiming words of the mouth that do not align with the heart, deceiving with falsehoods; two utters flowery words, using sweet words and flattery, harming cultural integrity; three speaks maliciously, insults and slanders, hurting others with malicious words; four speaks with a forked tongue, saying one thing to this person and another to that person, stirring up conflicts and misunderstandings.","First is deceitful speech, characterized by disingenuous words that mislead and obscure the truth; second is the use of flowery language and flattery that corrupts morals and decorum; third is malicious speech, including insults and slander that harm others; fourth is divisive speech, where one speaks ill of others, stirring up conflict and discord.",3,3,3.0,3
"妈妈让我认，我答应了，可我却一直不用心写，妈妈批评我：""你口口声声说要认真，却做不到，到头来一事无成！""。",口口声声,repeatedly emphasizing or insisting on something,,,"'口口声声' means 'repeatedly emphasizing or insisting on something'. Given the above knowledge translate this sentence to English: 妈妈让我认，我答应了，可我却一直不用心写，妈妈批评我：""你口口声声说要认真，却做不到，到头来一事无成！""。.","My mother asked me to focus, I promised her, but I kept writing without care. My mother criticized me: ""You keep insisting on being serious, but you can't do it, in the end, you will achieve nothing!"".","Mom told me to admit my mistake, and I agreed, but I didn't put any effort into writing. Mom scolded me: ""You keep saying you'll take it seriously, but you can't do it, and in the end, you achieve nothing!""",3,3,2.0,3
烽火连天、狼烟四起，亦是众侠客初试锋芒、建功立业的好时机。,初试锋芒,showing one's initial talent and potential,,,'初试锋芒' means 'showing one's initial talent and potential'. Given the above knowledge translate this sentence to English: 烽火连天、狼烟四起，亦是众侠客初试锋芒、建功立业的好时机。.,"Raging flames and smoke everywhere, it is also a good opportunity for the heroes to show their initial talent and potential and achieve great success.","""With beacons of war blazing and smoke rising everywhere, it is also a prime opportunity for heroes to show their initial talent and potential, and to make their mark.""",2,3,1.0,3
松树！你是生活在这块土地上亿万精灵的化身，你不凡的经历！不息抗争的精神！为大自然增添异彩，为古老的神州大地奏响生命的乐章。我在涛声阵阵的松林里饱览美丽的自然风光，在墨绿色的水岸边流连忘返。,流连忘返,to be fully engrossed and unwilling to leave (a place),,,'流连忘返' means 'to be fully engrossed and unwilling to leave (a place)'. Given the above knowledge translate this sentence to English: 松树！你是生活在这块土地上亿万精灵的化身，你不凡的经历！不息抗争的精神！为大自然增添异彩，为古老的神州大地奏响生命的乐章。我在涛声阵阵的松林里饱览美丽的自然风光，在墨绿色的水岸边流连忘返。.,"Pine tree! You are the embodiment of the countless spirits living on this land, with your extraordinary experiences! Your unyielding spirit of resistance! Adding color to nature, playing the melody of life for the ancient land of Shenzhou. I am fully engrossed in the beautiful natural scenery in the roaring pine forest, unwilling to leave the ink-green waterside.","Pine trees! You are the embodiment of the billions of spirits living on this land, with your extraordinary experiences and unyielding spirit of resistance adding splendor to nature and playing the symphony of life on the ancient land of China. I fully immerse myself in the beautiful natural scenery within the pine forest resonating with the sound of the waves and become unwilling to leave the dark green waterside.",3,3,2.0,2
一切都会过去，明天各人又将各奔前程。生命无所谓长短，无所谓欢乐哀愁，无所谓爱恨得失。一切都要过去，像那些花，那些流水。,各奔前程,Each go their separate ways and pursue their respective goals,,,'各奔前程' means 'Each go their separate ways and pursue their respective goals'. Given the above knowledge translate this sentence to English: 一切都会过去，明天各人又将各奔前程。生命无所谓长短，无所谓欢乐哀愁，无所谓爱恨得失。一切都要过去，像那些花，那些流水。.,"Everything will pass, and tomorrow each person will go their separate ways and pursue their respective goals. Life is neither long nor short, joyful nor sorrowful, full of love nor hate nor gain nor loss. Everything will pass, like those flowers, like that flowing water.","Everything will pass, and tomorrow each will go their separate ways. Life doesn't care about length, about joy and sorrow, about love and hate, gain and loss. Everything will pass, like those flowers, like that flowing water.",3,3,3.0,3
老张的散文文字优美，格调高雅，他的小说就相形见绌了。,相形见绌,"pale in comparison, be overshadowed by someone/something else",,,"'相形见绌' means 'pale in comparison, be overshadowed by someone/something else'. Given the above knowledge translate this sentence to English: 老张的散文文字优美，格调高雅，他的小说就相形见绌了。.","Lao Zhang's prose is elegant and graceful, but his novels pale in comparison.","Old Zhang's prose is elegant and refined, which makes his novels pale in comparison.",3,3,3.0,3
宋军逢人便挑，遇马便刺，耀武扬威，如入无人之境。,耀武扬威,showing off one's power and prestige,,,'耀武扬威' means 'showing off one's power and prestige'. Given the above knowledge translate this sentence to English: 宋军逢人便挑，遇马便刺，耀武扬威，如入无人之境。.,"The Song army provokes people at every opportunity, and kills horses at every encounter, showing off their power and prestige as if entering a deserted land.","The Song army challenged anyone on sight, stabbed any horse they encountered, showing off their power and prestige, as if they were in an uninhabited land.",3,3,1.0,2
当年始皇暴政，民不聊生，天怒人怨，人神共愤!焚书坑儒，大建长城，豪盖阿房宫，密修骊山陵园，四处寻找长生不老药。,民不聊生,a situation where the people are suffering and unable to make a living,,,'民不聊生' means 'a situation where the people are suffering and unable to make a living'. Given the above knowledge translate this sentence to English: 当年始皇暴政，民不聊生，天怒人怨，人神共愤!焚书坑儒，大建长城，豪盖阿房宫，密修骊山陵园，四处寻找长生不老药。.,"During the tyrannical rule of the First Emperor, the people were suffering and unable to make a living, angering both heaven and humanity! Books were burned, scholars were buried alive, the Great Wall was constructed, the extravagant Qin Shi Huang Palace was built, the mausoleum at Mount Li was secretly constructed, and the search for the elixir of immortality was carried out everywhere.","In those days, under Emperor Shihuang's tyrannical rule, the people were suffering and unable to make a living, causing both natural and human indignation, inciting widespread outrage among both humans and deities! He burned books and buried scholars alive, built the Great Wall on a grand scale, opulently constructed the Epang Palace, secretly constructed the Lishan Mausoleum, and searched everywhere for the elixir of immortality.",3,3,2.0,3
我有迫切的心情将周恩来总理晚年含辛茹苦、忍辱负重为祖国和人民所奉献的一切好好演绎出来，让观众更好地了解他的一生，也让我在与他晚年的交流和沟通中，更好地提升自己。,忍辱负重,endure humiliation and shoulder heavy responsibilities,,,'忍辱负重' means 'endure humiliation and shoulder heavy responsibilities'. Given the above knowledge translate this sentence to English: 我有迫切的心情将周恩来总理晚年含辛茹苦、忍辱负重为祖国和人民所奉献的一切好好演绎出来，让观众更好地了解他的一生，也让我在与他晚年的交流和沟通中，更好地提升自己。.,"I am eager to portray the Prime Minister Zhou Enlai's late years of enduring hardships and shouldering heavy responsibilities for the country and the people, so that the audience can better understand his life, and so that I can improve myself through my communication and exchange with him in his later years.","I am eager to portray Premier Zhou Enlai's late years of enduring hardship and humiliation while shouldering heavy responsibilities for the sake of the country and the people, so that the audience can better understand his life, and to enhance myself through communicating and connecting with his late years.",3,3,2.0,3
岛上古树参天，浓荫蔽地，奇花异卉，沁人肺腑。,沁人肺腑,touching or moving to one's heart and soul,,,'沁人肺腑' means 'touching or moving to one's heart and soul'. Given the above knowledge translate this sentence to English: 岛上古树参天，浓荫蔽地，奇花异卉，沁人肺腑。.,"The ancient trees on the island tower to the sky, casting dense shade on the ground, with exotic flowers and plants that are touching to the heart and soul.","On the island, ancient trees tower to the sky, dense shade covers the ground, and rare flowers and exotic plants deeply move one's heart and soul.",3,3,2.0,2
妈妈一写文章一挥而就，我看了自愧不如。,自愧不如,feeling ashamed and inferior compared to others; feeling one's own shortcomings and not being as good as others,,,'自愧不如' means 'feeling ashamed and inferior compared to others; feeling one's own shortcomings and not being as good as others'. Given the above knowledge translate this sentence to English: 妈妈一写文章一挥而就，我看了自愧不如。.,"After my mom effortlessly finished writing an article, I felt ashamed and inferior compared to her.","Whenever Mom writes an article, she does it effortlessly, making me feel ashamed and inferior.",3,3,1.0,2
当身上的衣衫在时光中染得漆黑，已经无人在意多年前那个迷人的春夜。彼时月光如水，我们青春年少，品貌俱美。现在光阴如梭人渐老，我们耳闻目睹过一切罪恶，唯有理想再也不提。,耳闻目睹,"seeing and hearing personally, being an eyewitness",,,"'耳闻目睹' means 'seeing and hearing personally, being an eyewitness'. Given the above knowledge translate this sentence to English: 当身上的衣衫在时光中染得漆黑，已经无人在意多年前那个迷人的春夜。彼时月光如水，我们青春年少，品貌俱美。现在光阴如梭人渐老，我们耳闻目睹过一切罪恶，唯有理想再也不提。.","As our clothes darken with time, no one cares about the enchanting spring night from years ago. Back then, moonlight was like water, and we were young and beautiful. Now, time flies and we witness all the evils, but our ideals are never mentioned again.","When the clothes on our bodies turned pitch black over time, no one cares anymore about that enchanting spring night from years ago. Back then, under moonlight as fluid as water, we were young and beautiful. Now, time flies and we age, we have seen and heard all the evils, but ideals are never mentioned again.",3,3,2.0,2
作为一名优秀的军事指挥员，要眼观六路，耳听八方。,眼观六路,"being extremely vigilant and observant, paying attention to all directions and being cautious of potential threats or dangers","keep one's eyes peeled (0.75), keep your eyes peeled (0.74)",keep one's eyes peeled,'眼观六路' means 'keep one's eyes peeled'. Given the above knowledge translate this sentence to English: 作为一名优秀的军事指挥员，要眼观六路，耳听八方。.,"As an outstanding military commander, one must keep one's eyes peeled and ears open in all directions.","As an excellent military commander, one must keep one's eyes peeled and ears open to everything around.",3,3,2.0,2
