Idiomatic_Sent,Original_Idiom,en_meaning,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
凌教授满腹经纶，博古通今，学贯中西，年纪轻轻就功成名就了。,满腹经纶,having extensive knowledge or being knowledgeable in various fields,Translate this sentence to English: '凌教授满腹经纶，博古通今，学贯中西，年纪轻轻就功成名就了。',"Professor Ling is full of knowledge, well-versed in both ancient and modern learning, proficient in both Chinese and Western knowledge, and has achieved great success at a young age.","""Professor Ling is full of knowledge and wisdom, well-versed in both ancient and modern studies, and has mastered both Chinese and Western disciplines, achieving success and fame at a young age.""",3,3,2,3
碰上这样的大地震，弄得家破人亡，要他不怨天尤人也难。,家破人亡,To experience the destruction of one's family and the loss of loved ones,Translate this sentence to English: '碰上这样的大地震，弄得家破人亡，要他不怨天尤人也难。',"Encountering such a major earthquake, which has left homes in ruins and people dead, it's hard for him not to blame the heavens and the earth.","""Encountering such a massive earthquake that destroyed homes and took lives, it would be hard for him not to blame heaven and others.""",2,3,2,2
夫谈讲之务，贵於名理，所以解疑辩惑，凿瞽开聋，使听者闻所未闻，视者见所未见。,见所未见,seeing something never seen before,Translate this sentence to English: '夫谈讲之务，贵於名理，所以解疑辩惑，凿瞽开聋，使听者闻所未闻，视者见所未见。',"The main focus of discussions should be on principles rather than on reputation, in order to clarify doubts and dispel confusion, to enlighten the blind and open the deaf, allowing listeners to hear what they have not heard before and viewers to see what they have not seen before.","""The purpose of discussion and discourse lies in valuing the principles, so as to resolve doubts and clarify confusion, enlightening the ignorant and awakening the deaf, allowing listeners to hear what they have not heard before and viewers to see what they have not seen before.""",3,3,3,3
他这种丧尽天良的人，总有一天会遭报应的。,丧尽天良,to have lost all sense of morality or decency,Translate this sentence to English: '他这种丧尽天良的人，总有一天会遭报应的。',"He, a person so devoid of conscience, will one day face retribution.",Someone as heartless as him will get his comeuppance one day.,3,3,3,3
端午到，粽子香，大大的粽子送你尝，祝你事业发达，赚大钱，生活富裕，享大福，身体健康，有大寿；端午到，粽传情，小小的粽子真玲珑，祝你小本经营，多赚钱，小试锋芒，本领显，小。,小本经营,running a small business with limited capital and resources,Translate this sentence to English: '端午到，粽子香，大大的粽子送你尝，祝你事业发达，赚大钱，生活富裕，享大福，身体健康，有大寿；端午到，粽传情，小小的粽子真玲珑，祝你小本经营，多赚钱，小试锋芒，本领显，小。',"Dragon Boat Festival arrives, with fragrant zongzi, sending you big zongzi to taste, wishing you success in your career, make big money, live a prosperous life, enjoy great fortune, be healthy, and have a long life; Dragon Boat Festival arrives, with zongzi conveying affection, the small zongzi is delicately made, wishing you to run a small business, earn more money, show your skills, and shine brightly.","Dragon Boat Festival is here, the fragrance of zongzi fills the air. I'm sending you a big zongzi to taste, wishing you a thriving career, great wealth, a prosperous life, great happiness, good health, and longevity; Dragon Boat Festival is here, zongzi conveys emotions, the small zongzi is truly exquisite. Wishing you success in small businesses, more earnings, a chance to show your talents, and the ability to shine in small ways.",3,3,2,2
他整天三朋四友，花天酒地，不务正业地鬼混，如何能有成就？,花天酒地,"living a life of luxury and indulgence, engaging in excessive pleasure-seeking activities such as partying and drinking",Translate this sentence to English: '他整天三朋四友，花天酒地，不务正业地鬼混，如何能有成就？',"He spends his days socializing and indulging in pleasure-seeking activities, neglecting his work. How can he achieve success?","He spends all day with various friends, indulging in debauchery and not engaging in any proper work; how can he achieve anything?",3,3,1,3
3月8日上午，记者随便衣民警先来到市区某大医院，经盗窃嫌疑人徐某辨认，在儿童门诊附近看车的一个保安就是为其通风报信的人。,通风报信,to leak information or pass on messages secretly,Translate this sentence to English: '3月8日上午，记者随便衣民警先来到市区某大医院，经盗窃嫌疑人徐某辨认，在儿童门诊附近看车的一个保安就是为其通风报信的人。',"On the morning of March 8th, the reporter accompanied plainclothes police officers to a certain large hospital in the city. Suspect Xu identified a security guard near the children's outpatient department as the person who had tipped him off.","On the morning of March 8, the reporter, along with plainclothes police officers, first went to a major hospital in the city. According to the identification by the theft suspect Xu, the security guard watching the cars near the children's clinic was the person who tipped him off.",3,3,3,3
即使他绞尽脑汁，到最后仍是枉费心机。,枉费心机,wasting one's effort and scheming in vain,Translate this sentence to English: '即使他绞尽脑汁，到最后仍是枉费心机。',"Even though he racked his brains, in the end it was all in vain.","""Even though he racked his brains, it was all in vain in the end.""",3,3,3,3
潜意识顾名思义就你自己不想要意识到的东西。,顾名思义,"as the name implies, as the name suggests",Translate this sentence to English: '潜意识顾名思义就你自己不想要意识到的东西。',The subconscious refers to things that you do not want to consciously acknowledge.,"""The subconscious, as the name implies, refers to things you don't want to be aware of.""",3,3,1,2
在求新求变的潮流中，我们绝不能刻舟求剑，食古不化。,刻舟求剑,holding onto an outdated belief or strategy despite changes in circumstances,Translate this sentence to English: '在求新求变的潮流中，我们绝不能刻舟求剑，食古不化。',"In the trend of seeking innovation and change, we must not cling to outdated methods and refuse to adapt.","""In the trend of seeking innovation and change, we must not stubbornly cling to outdated practices and fail to adapt.""",3,3,3,3
古往今来的中国人总在权势面前屈膝，毁掉了自己的尊严，也毁掉了自己的聪明才智。,古往今来,from ancient times to the present; throughout history,Translate this sentence to English: '古往今来的中国人总在权势面前屈膝，毁掉了自己的尊严，也毁掉了自己的聪明才智。',"Throughout history, the Chinese have always bent the knee before power, destroying their own dignity as well as their own intelligence and wisdom.","""Chinese people throughout history have always knelt before power, destroying their own dignity and their own intelligence.""",3,3,3,3
我们应该把眼光放远点，不要搞急功近利的那些事情。,急功近利,seeking immediate benefits and disregarding long-term gains,Translate this sentence to English: '我们应该把眼光放远点，不要搞急功近利的那些事情。',We should broaden our horizons and not focus on quick and easy gains.,We should set our sights farther and not pursue short-term gains.,3,3,3,3
缺陷是事情必经的一个过程，有许多的缺陷。到最后回想起来，只不过是茶余饭后的回忆罢了。,茶余饭后,"after a meal or during leisure time, in a relaxed and comfortable setting",Translate this sentence to English: '缺陷是事情必经的一个过程，有许多的缺陷。到最后回想起来，只不过是茶余饭后的回忆罢了。',"Flaws are an inevitable part of the process, and there are many flaws. Looking back in the end, it's just a memory after a meal.","""Imperfections are an inevitable part of the process, and there are many imperfections. In the end, looking back, they are merely memories to be reminisced over during tea and meals.""",2,3,1,2
虽然说他是一个笑容可掬的男生，但他发起火来还是让人有些吃惊。,笑容可掬,wearing a smile on one's face that is genuine and welcoming,Translate this sentence to English: '虽然说他是一个笑容可掬的男生，但他发起火来还是让人有些吃惊。',"Although he is a smiling young man, it is still somewhat surprising when he gets angry.","Although he is a boy with a friendly smile, it is still surprising when he gets angry.",2,3,1,2
他是盖世无双的好拳手。,盖世无双,unrivaled in the world,Translate this sentence to English: '他是盖世无双的好拳手。',He is an unparalleled boxer.,He is an unparalleled great boxer.,3,3,3,2
他刚才都笑口常开，现在却一反常态。,一反常态,to act contrary to one's usual behavior,Translate this sentence to English: '他刚才都笑口常开，现在却一反常态。',"He was all smiles just now, but now he's acting out of character.","He was all smiles just now, but now he's completely different.",3,3,3,1
他们不愿意“蓄水”，藏富于民，而是透支财政，劳民伤财，甚至吃子孙饭，只顾眼前利益，竭泽而渔。,劳民伤财,to cause physical and financial harm to the people,Translate this sentence to English: '他们不愿意“蓄水”，藏富于民，而是透支财政，劳民伤财，甚至吃子孙饭，只顾眼前利益，竭泽而渔。',"They are unwilling to ""store water,"" hoard wealth for the people, instead they are running deficits, depleting the finances, and even eating away at the future of their descendants, only concerned with immediate benefits, exploiting resources to the fullest.","They are unwilling to ""store water"" and let the wealth remain with the people; instead, they overspend the budget, exhaust the people and resources, and even consume future generations' resources, focusing only on immediate benefits and depleting the pond to catch all the fish.",2,3,2,3
前辈再造之恩，飞云没齿不忘，有生之年，终当以师礼侍之。,没齿不忘,never forget as long as one's teeth still exist; refers to having an excellent memory and never forgetting a favor or a grudge,Translate this sentence to English: '前辈再造之恩，飞云没齿不忘，有生之年，终当以师礼侍之。',"In gratitude for the kindness of my predecessors, I will never forget the debt of gratitude, and in my lifetime, I will ultimately serve them with the respect due to a teacher.","""The grace of my predecessor's guidance, I, Feiyun, will never forget. For the rest of my life, I shall serve them with the respect due to a teacher.""",3,3,2,3
我有一个梦想，有一天在北极白色的冰原上，我能和爱斯基摩人席地而坐，亲如手足。,席地而坐,to sit on the ground,Translate this sentence to English: '我有一个梦想，有一天在北极白色的冰原上，我能和爱斯基摩人席地而坐，亲如手足。',"I have a dream that one day, I can sit side by side with the Inuit people on the white ice sheet of the Arctic, as close as brothers.","I have a dream that one day, on the white ice fields of the Arctic, I can sit on the ground with the Eskimos, as close as brothers.",3,3,3,3
我们是骨肉相连的同胞兄弟，应患难与共。,骨肉相连,blood is thicker than water,Translate this sentence to English: '我们是骨肉相连的同胞兄弟，应患难与共。',"We are brothers who are closely connected by blood, and we should share both the good times and the bad.",We are brothers connected by blood and should share weal and woe.,3,3,3,3
郭录本是个好色之徒，他看见周月仙的美貌，馋涎欲滴，就上前风言风语地调戏。,风言风语,rumors or gossip circulating among people,Translate this sentence to English: '郭录本是个好色之徒，他看见周月仙的美貌，馋涎欲滴，就上前风言风语地调戏。',"Guo Luben is a lecherous person. When he saw the beauty of Zhou Yuexian, he couldn't help but be tempted and began to flirt with her.","""Guo Lu was a lecherous person. When he saw Zhou Yuexian's beauty, he was so tempted that he approached her with flirtatious and lewd remarks.""",2,3,1,2
一草一木皆生命，一枝一叶总关情。,一草一木,every plant and tree; every little thing; every detail,Translate this sentence to English: '一草一木皆生命，一枝一叶总关情。',"Every plant and tree is a life, every branch and leaf is related.","""Every plant and tree has life, and every branch and leaf is full of emotion.""",2,3,1,2
失道寡助，这是一条颠扑不破的真理。,颠扑不破,unassailable and irrefutable; unable to be disproven or refuted,Translate this sentence to English: '失道寡助，这是一条颠扑不破的真理。',"""Without the right path, one will have few allies; this is an unshakable truth.""","""Those who lose their way will have few supporters; this is an irrefutable truth.""",3,3,3,3
若非不得已，极少有中原人愿意和那些未开化的蛮族人打交道，一个弄不好就是人财两空的结局。,人财两空,losing both money and people,Translate this sentence to English: '若非不得已，极少有中原人愿意和那些未开化的蛮族人打交道，一个弄不好就是人财两空的结局。',"If not absolutely necessary, very few people from the Central Plains would be willing to deal with those uncivilized barbarians, as it could easily result in both loss of life and money.","""Unless absolutely necessary, very few people from the Central Plains are willing to deal with those uncivilized barbarians, as one misstep could lead to a loss of both life and property.""",3,3,3,3
美中不足的是文章后半显得较仓促，但仍是一篇考场佳作。,美中不足,a flaw or shortcoming in an otherwise good situation,Translate this sentence to English: '美中不足的是文章后半显得较仓促，但仍是一篇考场佳作。',"The only downside is that the second half of the article appears rushed, but it is still an excellent piece for the exam.","""The only flaw is that the latter part of the article appears somewhat rushed, but it is still an excellent exam piece.""",3,3,3,3
这些花花绿绿的商品，使我眼花缭乱。,眼花缭乱,"dazzling, overwhelming, or confusing",Translate this sentence to English: '这些花花绿绿的商品，使我眼花缭乱。',These colorful products are making me dizzy.,These brightly colored products dazzle my eyes.,3,3,1,2
美国公共危机管理制度一直被西方世界奉为楷模，其安全管理制度历史虽然并不悠久，但却相当完善。,奉为楷模,"regard as a role model, hold in high esteem",Translate this sentence to English: '美国公共危机管理制度一直被西方世界奉为楷模，其安全管理制度历史虽然并不悠久，但却相当完善。',"The United States public crisis management system has always been regarded as a role model in the Western world, and although its security management system has a relatively short history, it is quite comprehensive.","The United States' public crisis management system has long been regarded as a model by the Western world; although its safety management system does not have a long history, it is quite well-developed.",3,3,3,3
国家兴亡，。每一个炎黄子孙都应当为祖国的腾飞出力。,炎黄子孙,descendants of the Chinese nation,Translate this sentence to English: '国家兴亡，。每一个炎黄子孙都应当为祖国的腾飞出力。',"The rise and fall of a nation, every descendant of the Yan and Huang should contribute to the country's prosperity.","The rise and fall of a nation concern every descendant of Yan and Huang, and each should contribute to the prosperity of the motherland.",3,3,1,2
我就认识这么一对。丈夫身材魁梧，曾是一名运动员，而她却是一位娇弱文静的小家碧玉，甚至不愿意出门上饭馆。,小家碧玉,Small and delicate family,Translate this sentence to English: '我就认识这么一对。丈夫身材魁梧，曾是一名运动员，而她却是一位娇弱文静的小家碧玉，甚至不愿意出门上饭馆。',"I only know of this one couple. The husband is robust in stature, used to be an athlete, while she is a delicate and quiet beauty, even unwilling to go out to eat in restaurants.","I know only this one couple. The husband is tall and burly, once an athlete, while she is a delicate and quiet young lady, so shy that she even hesitates to go out to restaurants.",3,3,1,2
让成年后的虞松远始终不解的是，爱憎分明的父亲和小爷，为什么没有加入GCD呢，这成了虞松远后来的一块心病，一直想搞个明白。,爱憎分明,"having clear and distinct feelings of love and hate, not being ambiguous or indecisive",Translate this sentence to English: '让成年后的虞松远始终不解的是，爱憎分明的父亲和小爷，为什么没有加入GCD呢，这成了虞松远后来的一块心病，一直想搞个明白。',"What has always puzzled Yu Songyuan since he was an adult is why his father and uncle, who are clear about love and hatred, did not join the GCD. This became a concern for Yu Songyuan later on, and he has always wanted to figure it out.","What puzzled Yu Songyuan throughout his adulthood was why his father and uncle, who had a clear sense of love and hate, did not join the Communist Party, which became a lingering concern for him that he always wanted to understand.",3,3,1,2
最初，他们汗流浃背，从汗水流失大量盐分，苦不堪言。,汗流浃背,drenched in sweat,Translate this sentence to English: '最初，他们汗流浃背，从汗水流失大量盐分，苦不堪言。',"At first, they were sweating profusely, losing a lot of salt through their sweat, and the hardship was beyond words.","""At first, they were drenched in sweat, losing a large amount of salt through perspiration, and found it unbearable.""",3,3,2,2
天下兴亡，，有亡国，有亡天下，亡国与亡天下奚辩?曰：易姓改号，谓之亡国；仁义充塞而至于率兽食人，人将相食，谓之亡天下……保国者，其君其臣、肉食者谋之；保天下者，匹夫之贱，与有责焉耳矣! #顾炎武#,率兽食人,to indulge in the same wrongdoing as others,Translate this sentence to English: '天下兴亡，，有亡国，有亡天下，亡国与亡天下奚辩?曰：易姓改号，谓之亡国；仁义充塞而至于率兽食人，人将相食，谓之亡天下……保国者，其君其臣、肉食者谋之；保天下者，匹夫之贱，与有责焉耳矣! #顾炎武#',"The rise and fall of a nation is determined by the actions of its rulers and people, with the loss of a nation and the loss of the world being closely related. The loss of a nation is when the rulers change their names and titles, while the loss of the world is when righteousness is abandoned and chaos ensues. Those who protect the nation are the rulers and officials who seek personal gain, while those who protect the world are the common people who fulfill their responsibilities.","""The rise and fall of the world, there is the fall of a nation, and there is the fall of the world. What is the difference between the fall of a nation and the fall of the world? It is said: A change in dynasty or name is called the fall of a nation; the obstruction of benevolence and righteousness leading to a state where beasts devour humans and humans cannibalize each other is called the fall of the world... The preservation of a nation is the responsibility of its rulers and ministers; the preservation of the world is the responsibility of every common person."" #GuYanwu#",3,3,2,3
诗情画意误己误人，纸醉金迷玩物丧志，阳春白雪自甘堕落，人在江湖身不由己，枫叶纷飞唯美心醉，杯盘狼藉曲终人散，平安夜去欢迎圣诞！,阳春白雪,"a plain and simple style of writing or speech, without any embellishments or artistic flourishes",Translate this sentence to English: '诗情画意误己误人，纸醉金迷玩物丧志，阳春白雪自甘堕落，人在江湖身不由己，枫叶纷飞唯美心醉，杯盘狼藉曲终人散，平安夜去欢迎圣诞！',"Poetic and artistic sentiments mislead oneself and others, leading to a loss of ambition in the pursuit of material pleasures. Succumbing willingly to decadence amidst the changing seasons, one finds oneself unable to control one's own actions in the world. Amidst the falling maple leaves, one's heart is intoxicated by beauty, but as the party ends and the guests disperse, one is left in a state of chaos. Farewell to the peaceful night, welcome Christmas!","""Romanticism and artistic beauty can mislead oneself and others, indulgence in luxury can ruin ambitions, highbrow pursuits can lead to self-destruction, life in society is often beyond one's control, falling maple leaves are mesmerizing, the aftermath of a feast is chaotic, and on Christmas Eve, we welcome Christmas!""",3,3,2,2
爷爷的病日重一日，春兰于是日夜心烦意乱，寝食不安，她经常梦见爷爷突然间死了，她披麻戴孝守在爷爷坟前。,寝食不安,unable to sleep or eat peacefully,Translate this sentence to English: '爷爷的病日重一日，春兰于是日夜心烦意乱，寝食不安，她经常梦见爷爷突然间死了，她披麻戴孝守在爷爷坟前。',"Grandfather's illness worsened day by day, causing Chunlan to feel restless day and night, unable to eat or sleep well. She often dreamt that grandfather suddenly passed away, and she would wear mourning clothes and kneel in front of his grave.","Grandfather's illness grew worse by the day, and Chunlan became increasingly agitated and restless, unable to eat or sleep well. She often dreamed of her grandfather suddenly dying, and herself in mourning clothes, keeping vigil at his grave.",3,3,2,3
这项工程预算十多个亿，我们在设计上必须一丝不苟，否则谬以千里，后果不堪设想。,一丝不苟,meticulous and paying attention to every detail,Translate this sentence to English: '这项工程预算十多个亿，我们在设计上必须一丝不苟，否则谬以千里，后果不堪设想。',"This project has a budget of over ten billion, so we must be meticulous in our design, otherwise it will be a huge mistake with unimaginable consequences.","""This project has a budget of over one billion, so we must be meticulous in our design; otherwise, a small mistake could lead to a huge error, and the consequences would be unimaginable.""",3,3,2,3
就在投票之前，野田那篇15分钟慷慨激昂的演讲令对手相形见绌，而这一点和其他任何成就一样值得肯定。,慷慨激昂,passionate and enthusiastic,Translate this sentence to English: '就在投票之前，野田那篇15分钟慷慨激昂的演讲令对手相形见绌，而这一点和其他任何成就一样值得肯定。',"Just before the vote, the passionate and inspiring 15-minute speech by Noda left his opponents in the dust, a feat worthy of recognition like any other.","Just before the vote, Noda's impassioned 15-minute speech made his opponents pale in comparison, and this is as commendable as any other achievement.",3,3,3,3
家长让孩子们上太多补习班，这是在拔苗助长，结果就会破坏他们的学习兴趣。,拔苗助长,to spoil things by excessive enthusiasm or haste; to hinder progress by trying to expedite it,Translate this sentence to English: '家长让孩子们上太多补习班，这是在拔苗助长，结果就会破坏他们的学习兴趣。',"Parents sending children to too many tutoring classes is like pulling up seedlings to help them grow, which ultimately destroys their interest in learning.","Parents are making their children attend too many tutoring classes; this is like pulling seedlings to help them grow, and the result will be ruining their interest in learning.",3,3,1,1
我不愿耽溺于海市蜃楼般的荣华富贵中，那是虚幻不足恃的！,荣华富贵,wealth and prosperity,Translate this sentence to English: '我不愿耽溺于海市蜃楼般的荣华富贵中，那是虚幻不足恃的！',"I am unwilling to indulge in the illusory glory and wealth of mirages in the sea city, as they are insubstantial and unreliable!","I am unwilling to indulge in the mirage of wealth and glory, for it is an illusion that cannot be relied upon!",3,3,1,3
到达目的地后安营扎寨，支起帐篷，烹调饭菜可真带劲，里里外外你忙个不停，可与大自然朝夕相处。,安营扎寨,to settle down and establish a camp,Translate this sentence to English: '到达目的地后安营扎寨，支起帐篷，烹调饭菜可真带劲，里里外外你忙个不停，可与大自然朝夕相处。',"After arriving at the destination, setting up camp, pitching tents, cooking meals is really exciting, inside and out you are busy nonstop, but you can spend time with nature day and night.","""After arriving at the destination, setting up camp, pitching the tent, and cooking meals is really enjoyable; you're busy inside and out, but you get to be in close contact with nature all day long.""",3,3,2,2
一种面对假想的敌人的张牙舞爪成了真实的崇高，而一种面对真实的邪恶所发出的激烈批判，却成了不合时宜的虚张声势，这真是耐人寻味的很。,虚张声势,"make a show of strength, deliberately exaggerating one's capabilities or resources",Translate this sentence to English: '一种面对假想的敌人的张牙舞爪成了真实的崇高，而一种面对真实的邪恶所发出的激烈批判，却成了不合时宜的虚张声势，这真是耐人寻味的很。',"One kind of baring one's fangs and brandishing one's claws at an imaginary enemy has become noble reality, while another kind of fierce criticism against real evil has become untimely posturing, which is truly thought-provoking.","""A kind of fierce posturing against an imaginary enemy has become a genuine form of nobility, whereas intense criticism against real evil has become an untimely bluff; this is truly thought-provoking.""",3,3,2,3
其实，早在五百多年前，蒙田就已经警告我们，他说：“……探测内心深处，检查是哪些弹簧引起的反弹;但这是一件高深莫测的工作，我希望尝试的人愈少愈好。”。 #余华#,高深莫测,profound and unfathomable; mysterious and unpredictable,Translate this sentence to English: '其实，早在五百多年前，蒙田就已经警告我们，他说：“……探测内心深处，检查是哪些弹簧引起的反弹;但这是一件高深莫测的工作，我希望尝试的人愈少愈好。”。 #余华#',"In fact, more than five hundred years ago, Montaigne already warned us, he said: ""...probing the depths of the heart, examining which springs cause the rebound; but this is a profound and unpredictable task, I hope fewer people will try."" #YuHua#","In fact, more than five hundred years ago, Montaigne had already warned us, saying: ""...probe deep within the heart, examine which springs cause the reactions; but this is an unfathomable task, and I hope the fewer people who attempt it, the better.""",3,3,2,3
南京大屠杀，日本军队惨无人道地杀死了我30万同胞。,惨无人道,extremely cruel or inhumane,Translate this sentence to English: '南京大屠杀，日本军队惨无人道地杀死了我30万同胞。',"The Nanjing Massacre, where the Japanese military brutally killed 300,000 of my compatriots in an inhumane manner.","The Nanjing Massacre, during which Japanese troops brutally killed 300,000 of my compatriots.",3,3,3,3
人小鬼大!自然是先人后己，先问候你家人，才问及我最关心的人了。,先人后己,considering others before oneself,Translate this sentence to English: '人小鬼大!自然是先人后己，先问候你家人，才问及我最关心的人了。',"""People are small but their ideas are big! Naturally, it is important to ask about your family first before inquiring about the person I care most about.""","'Though small in stature, you're quite clever! Naturally, you put others before yourself, asking about my family first before inquiring about the person I care most about.'",1,3,1,3
这个人竟然剽窃别人尚未发表的作品，还大言不惭地反诬别人抄袭，真是恬不知耻！,恬不知耻,shamelessly unaware or unconcerned about one's inappropriate behavior,Translate this sentence to English: '这个人竟然剽窃别人尚未发表的作品，还大言不惭地反诬别人抄袭，真是恬不知耻！',"This person actually plagiarized someone else's unpublished work, and shamelessly accused others of plagiarism. It's truly shameless!",This person actually plagiarized someone else's unpublished work and shamelessly accused others of plagiarism; truly brazen and shameless!,3,3,2,3
因此失去了放松及安步当车的学习空间.,安步当车,to adopt a conservative and cautious approach; to proceed slowly and steadily,Translate this sentence to English: '因此失去了放松及安步当车的学习空间.',"Therefore, the learning space for relaxation and slow learning was lost.","""Thus, they lost the opportunity for relaxation and leisurely study.""",2,2,1,1
水至清而无鱼，用在乐音上有些不适，但用在音境上却恰如其分。若一位乐师只能弹奏风花雪月那他只是音匠，正如一位文人若只会悦目娱心就只配当个字奴。 #周梦#,风花雪月,romantic and beautiful scenery,Translate this sentence to English: '水至清而无鱼，用在乐音上有些不适，但用在音境上却恰如其分。若一位乐师只能弹奏风花雪月那他只是音匠，正如一位文人若只会悦目娱心就只配当个字奴。 #周梦#',"Water is clear and fishless, it may be inappropriate in music, but it is just right in context. If a musician can only play light and pleasant music, then he is just a craftsman; just like a literati who can only please the eyes and entertain, he is only fit to be a word slave. #Zhou Meng#","'If water is too clear, no fish will be found; this idiom may not be suitable for describing music, but it fits perfectly when talking about the atmosphere created by sound. If a musician can only play pretty tunes, then he is merely a craftsman; just as a writer who only composes pleasing and entertaining works is only fit to be a word servant. #ZhouMeng#'",2,3,1,2
这是性命攸关的大事，千万不能等闲视之。,等闲视之,to treat or view something casually and indifferently,Translate this sentence to English: '这是性命攸关的大事，千万不能等闲视之。',"This is a matter of life and death, we must not take it lightly.","""This is a matter of life and death, and must not be taken lightly.""",3,3,3,3
在酒馆里要酒喝，简直是鬼迷心窍.,鬼迷心窍,be confused or misled; be under evil influence; be bewitched,Translate this sentence to English: '在酒馆里要酒喝，简直是鬼迷心窍.',Drinking alcohol in a tavern is simply bewitching.,'Asking for free drinks in a bar is sheer madness.',2,2,1,2
退热药副作用大，非万不得已不用。,万不得已,as a last resort; only when there is no other choice,Translate this sentence to English: '退热药副作用大，非万不得已不用。',"The side effects of fever-reducing medication are significant, so it should only be used as a last resort.","""The side effects of the antipyretic are severe, so it should not be used unless absolutely necessary.""",3,3,3,3
南哥和一众面色如土的混混顿时是如释重负，屁滚尿流的抱头鼠窜，所幸还没忘了南哥和其他受伤的混混。,面色如土,pale and sickly complexion,Translate this sentence to English: '南哥和一众面色如土的混混顿时是如释重负，屁滚尿流的抱头鼠窜，所幸还没忘了南哥和其他受伤的混混。',"Nan Ge and a group of pale-faced thugs immediately felt relieved, fleeing in panic, but fortunately not forgetting Nan Ge and the other injured thugs.","""Brother Nan and a group of thugs, whose faces were ashen, were instantly relieved, scrambling away in panic, but fortunately, they didn't forget Brother Nan and the other injured thugs.""",2,2,1,2
可满山只这一眼山泉，眼见得一车车白酒从山里运出，大把大把的银子揣进了骑山虎的腰包，养命泉流出的只是污泥浊水，又黑又臭地淌下山去。,污泥浊水,"""muddy water"" or ""dirty water""",Translate this sentence to English: '可满山只这一眼山泉，眼见得一车车白酒从山里运出，大把大把的银子揣进了骑山虎的腰包，养命泉流出的只是污泥浊水，又黑又臭地淌下山去。',"Only this one spring in the whole mountain, one can see cartloads of white liquor being transported out of the mountain, with heaps of silver coins being stuffed into the waist pouch of the mountain tiger. The spring that sustains life is only flowing with muddy and turbid water, flowing down the mountain black and smelly.","""But with only this one mountain spring in the whole area, one could see carts of white liquor being transported out of the mountains, large sums of money being stuffed into Qishanhu's pockets, while the life-sustaining spring produced only filthy, foul-smelling sludge that flowed down the mountain.""",2,3,1,2
为此，在家庭生活中，争风吃醋，拨弄是非，纵横捭阖，勃奚谷斗法，撒拨放刁，等等，便成了她的全副本事和家常便饭。,家常便饭,something that is very familiar or common; something that happens frequently or is done regularly,Translate this sentence to English: '为此，在家庭生活中，争风吃醋，拨弄是非，纵横捭阖，勃奚谷斗法，撒拨放刁，等等，便成了她的全副本事和家常便饭。',"Therefore, in her family life, competing for attention, being jealous, stirring up trouble, maneuvering and scheming, and using all sorts of tricks and manipulations have become her daily routine.","Therefore, in family life, competing for favor, stirring up trouble, scheming and maneuvering, engaging in conflicts, and causing mischief became her full range of skills and everyday routine.",2,3,2,2
高渐离开动着自己的思维，条分缕析的解说着。,条分缕析,"detailed and systematic analysis, breaking down a complex issue into its constituent parts",Translate this sentence to English: '高渐离开动着自己的思维，条分缕析的解说着。',"Gao gradually left, moving his own thoughts, explaining in a detailed and analytical manner.","""Gao Jianli engaged his own thinking, explaining in a methodical and detailed manner.""",2,3,1,2
他满脸涨红，气喘吁吁，脸上淌着泪水，一溜溜地闪着光。,气喘吁吁,"""out of breath"" or ""panting heavily""",Translate this sentence to English: '他满脸涨红，气喘吁吁，脸上淌着泪水，一溜溜地闪着光。',"His face was flushed, he was gasping for breath, tears were streaming down his face, and his eyes were shining brightly.","His face was flushed red, he was panting heavily, and tears streamed down his face, glistening in streaks.",2,3,1,3
想你，总是缠缠绵绵；梦你，总是甜甜蜜蜜；为你，总是牵肠挂肚；有你，总是心花怒放；念你，总想天长地久。,牵肠挂肚,to be extremely worried or concerned about someone or something,Translate this sentence to English: '想你，总是缠缠绵绵；梦你，总是甜甜蜜蜜；为你，总是牵肠挂肚；有你，总是心花怒放；念你，总想天长地久。',"Thinking of you is always lingering; dreaming of you is always sweet; for you, I always worry; having you makes my heart blossom; missing you, I always want eternity.","""Missing you, always lingering; dreaming of you, always sweet; for you, always worried; with you, always overjoyed; thinking of you, always wishing for eternity.""",2,3,2,2
兄弟我这几年除养得这脑满肠肥的丑样外，其它就没啥出息了。,脑满肠肥,having a well-fed body but lacking in intelligence or creativity,Translate this sentence to English: '兄弟我这几年除养得这脑满肠肥的丑样外，其它就没啥出息了。',I have not achieved much besides growing fat and lazy in recent years.,"""Brother, in these past few years, aside from growing this plump and ugly appearance, I haven't achieved much else.""",3,2,3,3
