Idiomatic_Sent,Original_Idiom,en_meaning,ai_generated_idioms,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
你取信于人的唯一方法就是改过自新。,取信于人,gaining trust and credibility from others,"{
  ""Chinese idiom"": ""取信于人"",
  ""English definition"": ""To gain trust or credibility from others"",
  ""English idiom 1"": ""Earn someone's trust"",
  ""English idiom 2"": ""Win over someone's confidence"",
  ""English idiom 3"": ""Gain credibility""
}",Earn someone's trust,'取信于人' means 'Earn someone's trust'. Given the above knowledge translate this sentence to English: '你取信于人的唯一方法就是改过自新。',The only way to earn someone's trust is to turn over a new leaf.,The only way for you to earn someone's trust is to correct your mistakes and reform yourself.,3,3,3,2
李刚舍己为人的行为值得大家学习。,舍己为人,to put others before oneself; to sacrifice one's own interests for the sake of others,"```json
{
  ""Chinese idiom"": ""舍己为人"",
  ""English definition"": ""To sacrifice oneself for the benefit of others."",
  ""English idiom 1"": ""Go the extra mile"",
  ""English idiom 2"": ""Take a bullet for someone"",
  ""English idiom 3"": ""Bite the bullet""
}
```",Take a bullet for someone,'舍己为人' means 'Take a bullet for someone'. Given the above knowledge translate this sentence to English: '李刚舍己为人的行为值得大家学习。',Li Gang's selfless act of taking a bullet for someone is worth everyone's study.,Li Gang's self-sacrificing behavior is worth learning from by everyone.,1,3,1,2
即使德瑞克方程式是真的，确实存在着数百万的文明，但要找到他们就像大海捞针。,大海捞针,"finding a needle in a haystack, attempting to find something extremely difficult or rare","```json
{
  ""Chinese idiom"": ""大海捞针"",
  ""English definition"": ""To search for a needle in a haystack."",
  ""English idiom 1"": ""Needle in a haystack"",
  ""English idiom 2"": ""Finding a needle in a haystack"",
  ""English idiom 3"": null
}
```",Finding a needle in a haystack,'大海捞针' means 'Finding a needle in a haystack'. Given the above knowledge translate this sentence to English: '即使德瑞克方程式是真的，确实存在着数百万的文明，但要找到他们就像大海捞针。',"Even if the Drake equation is true, there are indeed millions of civilizations out there, but finding them is like finding a needle in a haystack.","""Even if the Drake Equation is correct and millions of civilizations do exist, finding them would be like finding a needle in a haystack.""",3,3,3,3
儒生都爱吹捧上古‘大同时代’，说什么那时候‘大道之行也，天下为公，选贤与能，讲信修睦。,讲信修睦,keeping promises and cultivating harmony in relationships,"```json
{
  ""Chinese idiom"": ""讲信修睦"",
  ""English definition"": ""To uphold trust and cultivate harmony"",
  ""English idiom 1"": ""Keep the peace"",
  ""English idiom 2"": ""Bury the hatchet"",
  ""English idiom 3"": ""Live and let live""
}
```",Keep the peace,'讲信修睦' means 'Keep the peace'. Given the above knowledge translate this sentence to English: '儒生都爱吹捧上古‘大同时代’，说什么那时候‘大道之行也，天下为公，选贤与能，讲信修睦。',"Confucian scholars all love to praise the ancient 'Great Unity' era, saying that at that time 'the way of conduct was also great, the world was shared by all, the virtuous and able were selected, and peace was kept'.","""Scholars love to extol the ancient 'Great Unity Era,' saying that during that time 'when the Grand Way prevailed, the world was for everyone, the worthy and capable were selected, and peace was maintained.'""",3,3,1,3
老翁稳坐钓鱼台，斜风细雨，昂然自得。,斜风细雨,a gentle wind and light rain,"```json
{
  ""Chinese idiom"": ""斜风细雨"",
  ""English definition"": ""Light wind and fine rain; describes a gentle, drizzling rain accompanied by a slanting wind, often evoking a poetic and tranquil atmosphere."",
  ""English idiom 1"": ""April showers bring May flowers"",
  ""English idiom 2"": ""Raining cats and dogs"",
  ""English idiom 3"": ""Rain on one's parade""
}
```",April showers bring May flowers,'斜风细雨' means 'April showers bring May flowers'. Given the above knowledge translate this sentence to English: '老翁稳坐钓鱼台，斜风细雨，昂然自得。',"The old man sat steadily on the fishing platform, enjoying the April showers with a sense of contentment.","""The old man sits steadily on his fishing terrace, amidst the gentle wind and light rain, looking content and proud.""",2,3,1,1
但是德国民众仍然瞠目结舌于他最后行为的明目张胆与玩世不恭。,明目张胆,being bold and blatant; showing no shame or fear,"```json
{
  ""Chinese idiom"": ""明目张胆"",
  ""English definition"": ""To do something openly and without fear of being caught, typically something bad or wrong."",
  ""English idiom 1"": ""Brazenly"",
  ""English idiom 2"": ""In broad daylight"",
  ""English idiom 3"": ""With a bold face""
}
```",In broad daylight,'明目张胆' means 'In broad daylight'. Given the above knowledge translate this sentence to English: '但是德国民众仍然瞠目结舌于他最后行为的明目张胆与玩世不恭。',"However, the German people were still shocked and speechless at his blatant and nonchalant behavior in his final act in broad daylight.","""However, the German public was still astounded by the blatantness and cynicism of his final actions.""",3,3,1,3
听了他的话，小胖和大个子面面相觑，不知怎么办才好。,面面相觑,to look at each other in astonishment or confusion,"{
  ""Chinese idiom"": ""面面相觑"",
  ""English definition"": ""To look at each other in dismay, not knowing what to do"",
  ""English idiom 1"": ""Look at each other with blank faces"",
  ""English idiom 2"": ""Exchange puzzled glances"",
  ""English idiom 3"": ""Be at a loss""
}",Exchange puzzled glances,'面面相觑' means 'Exchange puzzled glances'. Given the above knowledge translate this sentence to English: '听了他的话，小胖和大个子面面相觑，不知怎么办才好。',"After hearing what he said, Xiao Pang and the tall guy exchanged puzzled glances, not knowing what to do.","Hearing his words, Little Fatty and the tall guy exchanged puzzled glances, not knowing what to do.",3,3,3,3
此人表里如一，说话出口成章，做事别出心裁，他短小精悍和我志同道合。,志同道合,"share the same goals and ideals, have the same values and principles","```json
{
  ""Chinese idiom"": ""志同道合"",
  ""English definition"": ""Two or more people sharing the same aspirations and following the same path."",
  ""English idiom 1"": ""Like-minded"",
  ""English idiom 2"": ""Birds of a feather flock together"",
  ""English idiom 3"": ""On the same wavelength""
}
```",Like-minded,'志同道合' means 'Like-minded'. Given the above knowledge translate this sentence to English: '此人表里如一，说话出口成章，做事别出心裁，他短小精悍和我志同道合。',"This person is consistent in thoughts and actions, articulate in speech, and creative in his approaches, he is short but efficient and we are like-minded.","""This person is consistent inside and out, speaks eloquently, works creatively, is short and capable, and is like-minded with me.""",3,3,1,1
就在这节骨眼儿上，董震的母亲积劳成疾，一病不起。,一病不起,unable to recover from an illness,"{
  ""Chinese idiom"": ""一病不起"",
  ""English definition"": ""To fall seriously ill and never recover"",
  ""English idiom 1"": ""Down for the count"",
  ""English idiom 2"": ""Laid up"",
  ""English idiom 3"": ""On one's last legs""
}",On one's last legs,'一病不起' means 'On one's last legs'. Given the above knowledge translate this sentence to English: '就在这节骨眼儿上，董震的母亲积劳成疾，一病不起。',"At this critical moment, Dong Zhen's mother fell ill and was on her last legs.","At this critical moment, Dong Zhen's mother fell ill from overwork and was on her last legs.",3,3,3,3
等待这种东西并不如我们所想，一定要有目的，一定要有等到的那一天。这种植物执迷不悟地生长，等待就是它本身的目的。不一定等到什么，只要等，联系就在。,执迷不悟,persisting in one's mistakes and refusing to wake up to reality,"```json
{
  ""Chinese idiom"": ""执迷不悟"",
  ""English definition"": ""To obstinately persist in going about things the wrong way; to refuse to see the truth"",
  ""English idiom 1"": ""Stubborn as a mule"",
  ""English idiom 2"": ""Set in one's ways"",
  ""English idiom 3"": ""Blind to reason""
}
```",Stubborn as a mule,'执迷不悟' means 'Stubborn as a mule'. Given the above knowledge translate this sentence to English: '等待这种东西并不如我们所想，一定要有目的，一定要有等到的那一天。这种植物执迷不悟地生长，等待就是它本身的目的。不一定等到什么，只要等，联系就在。',"Waiting for this kind of thing is not as we think, we must have a purpose, we must wait for that day. This plant stubbornly grows, waiting is its purpose. It doesn't necessarily wait for anything, as long as we wait, the connection is there.","""Waiting is not what we think it is; it must have a purpose, and there must be a day when the waiting ends. This plant stubbornly grows; waiting is its purpose in itself. It doesn't necessarily have to wait for something; as long as it waits, the connection exists.""",2,3,1,2
这样虽然不错，但感觉还是有点不治本，正所谓‘扬汤止沸，不如绝薪止火’，先生以为呢?,扬汤止沸,to resolve a conflict or calm a situation by taking timely and effective measures,"```json
{
  ""Chinese idiom"": ""扬汤止沸"",
  ""English definition"": ""To ladle out water to stop it from boiling; a temporary solution that does not address the root cause of a problem."",
  ""English idiom 1"": ""Band-Aid solution"",
  ""English idiom 2"": ""Rearranging deck chairs on the Titanic"",
  ""English idiom 3"": ""Treating the symptoms, not the cause""
}
```",Band-Aid solution,'扬汤止沸' means 'Band-Aid solution'. Given the above knowledge translate this sentence to English: '这样虽然不错，但感觉还是有点不治本，正所谓‘扬汤止沸，不如绝薪止火’，先生以为呢?',"Although this is good, it still feels like just a Band-Aid solution. What do you think about the saying 'Band-Aid solution is not as good as cutting off the fuel to stop the fire'?","""This is not bad, but it still feels like a Band-Aid solution. As they say, 'Stopping boiling by scooping water is not as effective as cutting off the firewood.' What do you think, sir?""",2,3,1,2
班长一本正经的告诉我，我的语文成绩在年级得了第一。,一本正经,to be serious and earnest,"```json
{
  ""Chinese idiom"": ""一本正经"",
  ""English definition"": ""To be very serious or earnest, often excessively so."",
  ""English idiom 1"": ""Dead serious"",
  ""English idiom 2"": ""Straight as an arrow"",
  ""English idiom 3"": ""All business""
}
```",Dead serious,'一本正经' means 'Dead serious'. Given the above knowledge translate this sentence to English: '班长一本正经的告诉我，我的语文成绩在年级得了第一。',The monitor dead serious told me that I got the highest score in Chinese in the grade.,"""The class monitor told me dead serious that I got the first place in the grade for my Chinese language score.""",3,3,1,2
若长驱深入明境，攻城略地，又恐怕叶赫抄其后路，难于收拾，颇有后顾之忧。,后顾之忧,concerns about the future or potential problems that may arise,"```json
{
  ""Chinese idiom"": ""后顾之忧"",
  ""English definition"": ""Worries or concerns about future problems or troubles that might arise, often related to matters left behind."",
  ""English idiom 1"": ""Sword of Damocles"",
  ""English idiom 2"": ""No"",
  ""English idiom 3"": ""No""
}
```",Sword of Damocles,'后顾之忧' means 'Sword of Damocles'. Given the above knowledge translate this sentence to English: '若长驱深入明境，攻城略地，又恐怕叶赫抄其后路，难于收拾，颇有后顾之忧。',"If we advance deep into enemy territory to conquer cities and seize land, we may also be worried that the enemy may cut off our retreat, making it difficult to regroup, and leaving us with the Sword of Damocles hanging over us.","""If we penetrate deeply into Ming territory, capturing cities and lands, we fear that Yehe might cut off our retreat, making it difficult to manage and creating a Sword of Damocles situation.""",3,3,1,1
周律师学识渊博，能言善辩，一定能胜任这件案子的辩护工作。,能言善辩,"skilled in speech and argumentation, able to eloquently express oneself","```json
{
  ""Chinese idiom"": ""能言善辩"",
  ""English definition"": ""To be eloquent and persuasive in speech"",
  ""English idiom 1"": ""Gift of the gab"",
  ""English idiom 2"": ""Silver-tongued"",
  ""English idiom 3"": ""Smooth talker""
}
```",Silver-tongued,'能言善辩' means 'Silver-tongued'. Given the above knowledge translate this sentence to English: '周律师学识渊博，能言善辩，一定能胜任这件案子的辩护工作。',"Lawyer Zhou is knowledgeable and silver-tongued, and surely able to handle the defense work for this case.","""Lawyer Zhou is knowledgeable and silver-tongued; he will certainly be able to handle the defense work for this case.""",3,3,3,3
樱花开了，樱花也会落，像雪一样，纷纷扬扬。樱花开的时候，我爱你，樱花落的时候，我知道，我依然爱你。真的要问我爱你的理由，那么，就只是因为樱花开了吧。至于你满不满意这个答案，我想，我也只能莞尔一笑了。,纷纷扬扬,"abundance, numerous, in great quantities","```json
{
  ""Chinese idiom"": ""纷纷扬扬"",
  ""English definition"": ""Describes something falling or scattering in large quantities, often used for snow, leaves, or confetti."",
  ""English idiom 1"": ""Thick and fast"",
  ""English idiom 2"": ""In a flurry"",
  ""English idiom 3"": ""Shower down""
}
```",In a flurry,'纷纷扬扬' means 'In a flurry'. Given the above knowledge translate this sentence to English: '樱花开了，樱花也会落，像雪一样，纷纷扬扬。樱花开的时候，我爱你，樱花落的时候，我知道，我依然爱你。真的要问我爱你的理由，那么，就只是因为樱花开了吧。至于你满不满意这个答案，我想，我也只能莞尔一笑了。',"The cherry blossoms bloom, the cherry blossoms will also fall, like snow, in a flurry. When the cherry blossoms bloom, I love you, when the cherry blossoms fall, I know, I still love you. If you really want to ask me why I love you, then it's just because the cherry blossoms are blooming. As for whether you are satisfied with this answer, I think, I can only smile faintly.","""The cherry blossoms bloom, and they will also fall, like snow, in a flurry. When the cherry blossoms bloom, I love you; when the cherry blossoms fall, I know that I still love you. If you really want to know the reason I love you, then it's just because the cherry blossoms have bloomed. As for whether you are satisfied with this answer, I think I can only smile in response.""",3,3,2,2
他才读了几本古书，说起话来就老是咬文嚼字，拾人牙慧，真让人受不了。,拾人牙慧,to learn from others' wisdom or knowledge,"```json
{
  ""Chinese idiom"": ""拾人牙慧"",
  ""English definition"": ""To parrot other people's ideas or to use secondhand ideas"",
  ""English idiom 1"": ""Parrot someone"",
  ""English idiom 2"": ""Secondhand opinion"",
  ""English idiom 3"": ""Not an original thought""
}
```",Parrot someone,'拾人牙慧' means 'Parrot someone'. Given the above knowledge translate this sentence to English: '他才读了几本古书，说起话来就老是咬文嚼字，拾人牙慧，真让人受不了。',"He has only read a few ancient books, but always speaks in a pedantic and imitative manner, which is really annoying.","""He has only read a few ancient books, but he always uses bombastic language and parrots others, which is really unbearable.""",3,3,2,3
如果你迟疑不决，徘徊在人生的十字路口，那么，拿起你的画笔，描绘海天一色的壮观，那席卷海浪的海燕，将会给你勇气。看吧，鸟都能飞越风雨，你还有什么不可以跨越，还有什么怯懦？,十字路口,"a crossroads, a point where one must make a decision or choose a direction to go","```json
{
    ""Chinese idiom"": ""十字路口"",
    ""English definition"": ""At a crossroads"",
    ""English idiom 1"": ""At a crossroads"",
    ""English idiom 2"": ""At a turning point"",
    ""English idiom 3"": ""At a juncture""
}
```",At a crossroads,'十字路口' means 'At a crossroads'. Given the above knowledge translate this sentence to English: '如果你迟疑不决，徘徊在人生的十字路口，那么，拿起你的画笔，描绘海天一色的壮观，那席卷海浪的海燕，将会给你勇气。看吧，鸟都能飞越风雨，你还有什么不可以跨越，还有什么怯懦？',"If you hesitate and linger at the crossroads of life, then pick up your paintbrush and depict the magnificent expanse of the sea and sky, the sweeping sea swallows will give you courage. Look, if birds can fly through the storm, what can't you overcome, what fear do you have?","""If you hesitate and wander at the crossroads of life, then pick up your paintbrush and depict the magnificent scene where the sea meets the sky. The swallow sweeping through the waves will give you courage. See, if birds can fly through storms, what can you not overcome, what fear can you still have?""",3,3,2,2
周万寿，原来你是魏忠贤的狐群狗党，可谓天网恢恢!,狐群狗党,A group of sly and untrustworthy people,"```json
{
  ""Chinese idiom"": ""狐群狗党"",
  ""English definition"": ""A gang of scoundrels or a group of bad characters who band together for mutual benefit."",
  ""English idiom 1"": ""A pack of knaves"",
  ""English idiom 2"": ""A band of rogues"",
  ""English idiom 3"": ""A gang of ruffians""
}
```",A pack of knaves,'狐群狗党' means 'A pack of knaves'. Given the above knowledge translate this sentence to English: '周万寿，原来你是魏忠贤的狐群狗党，可谓天网恢恢!',"Zhou Wanshou, it turns out you are a pack of knaves for Wei Zhongxian, truly the wheels of justice turn!","""Zhou Wanshou, so you are a pack of knaves of Wei Zhongxian; indeed, the net of heaven has wide meshes, but nothing escapes it!""",3,3,1,3
在完璧归赵的故事中蔺相如平易近人的品格让人赞叹不已，也赢得了廉颇的尊重，最后，在他们的同心协力下，度过了赵国千钧一发的难关。,同心协力,working together with one heart and one mind; united in purpose and effort,"```json
{
  ""Chinese idiom"": ""同心协力"",
  ""English definition"": ""To work together with one heart and one mind, to collaborate closely towards a common goal."",
  ""English idiom 1"": ""All hands on deck"",
  ""English idiom 2"": ""Pull together"",
  ""English idiom 3"": ""Team up""
}
```",All hands on deck,'同心协力' means 'All hands on deck'. Given the above knowledge translate this sentence to English: '在完璧归赵的故事中蔺相如平易近人的品格让人赞叹不已，也赢得了廉颇的尊重，最后，在他们的同心协力下，度过了赵国千钧一发的难关。',"In the story of returning lost jade to Zhao, Lin Xiangru's approachable character was greatly admired, earning the respect of Lian Po. In the end, with their all hands on deck efforts, they successfully navigated through a critical situation for the state of Zhao.","""In the story of 'Returning the Jade to Zhao', Lin Xiangru's amiable character won everyone's admiration and also earned the respect of Lian Po. Finally, with their combined efforts, they helped Zhao State overcome its critical crisis.""",3,3,1,2
我们一致谴责这种灭绝人性的摧残儿童的罪行.,灭绝人性,losing all sense of humanity,"```json
{
  ""Chinese idiom"": ""灭绝人性"",
  ""English definition"": ""To be completely inhuman or devoid of humanity; to act in a way that is utterly cruel and heartless."",
  ""English idiom 1"": ""Cold-blooded"",
  ""English idiom 2"": ""Heart of stone"",
  ""English idiom 3"": ""Cruel to the bone""
}
```",Cold-blooded,'灭绝人性' means 'Cold-blooded'. Given the above knowledge translate this sentence to English: '我们一致谴责这种灭绝人性的摧残儿童的罪行.',We all condemn the heinous crimes of cold-blooded child abuse.,We unanimously condemn this cold-blooded crime of abusing children.,2,2,2,1
最近我喜从天降，可让我喜上眉梢了，现在喜出望外的盼你这只“喜羊羊”能来，那将更加喜气洋洋，结婚才能喜笑颜开，愿你来为我喜上加喜啊！,喜笑颜开,"wearing a big smile on one's face, extremely happy","```json
{
  ""Chinese idiom"": ""喜笑颜开"",
  ""English definition"": ""Beaming with joy and laughter"",
  ""English idiom 1"": ""Grinning from ear to ear"",
  ""English idiom 2"": ""On cloud nine"",
  ""English idiom 3"": ""Walking on air""
}
```",Grinning from ear to ear,'喜笑颜开' means 'Grinning from ear to ear'. Given the above knowledge translate this sentence to English: '最近我喜从天降，可让我喜上眉梢了，现在喜出望外的盼你这只“喜羊羊”能来，那将更加喜气洋洋，结婚才能喜笑颜开，愿你来为我喜上加喜啊！',"Recently, I have been overjoyed, which has brought a smile to my face. Now, eagerly anticipating your arrival, like the joyful ""Happy Goat"", will make the atmosphere even more festive. Only after marriage can one be truly grinning from ear to ear, so I hope you can come to bring even more joy to me!","""Recently, I've been overjoyed with unexpected happiness, which has made me beam with joy. Now, I'm eagerly looking forward to you, my 'Happy Sheep', coming here, which will make the atmosphere even more joyous. Only then can we be grinning from ear to ear at our wedding. I hope you come to add to my happiness!""",3,3,2,2
禁不起任何的风吹草动和考验的爱情，我有些厌倦。,风吹草动,"any slight change or movement, usually implying a sense of alertness or sensitivity","```json
{
  ""Chinese idiom"": ""风吹草动"",
  ""English definition"": ""A sign of trouble or disturbance; the slightest hint of a change or danger."",
  ""English idiom 1"": ""When the cat's away, the mice will play."",
  ""English idiom 2"": ""A tempest in a teapot."",
  ""English idiom 3"": ""A storm in a teacup.""
}
```","**None of the provided options perfectly match the meaning of 风吹草动.**

Here is why each option does not match","'风吹草动' means '**None of the provided options perfectly match the meaning of 风吹草动.**

Here is why each option does not match'. Given the above knowledge translate this sentence to English: '禁不起任何的风吹草动和考验的爱情，我有些厌倦。'","I can't stand any slight disturbance or test in love, I'm a bit tired.",'I'm a bit tired of a love that cannot withstand any disturbance or trial.',2,3,1,2
他不善交际，大智如愚，比起夸夸其谈之辈，强过百倍。,大智如愚,acting foolishly to appear wise,"{
  ""Chinese idiom"": ""大智如愚"",
  ""English definition"": ""Great wisdom often appears foolish"",
  ""English idiom 1"": ""Still waters run deep"",
  ""English idiom 2"": ""A fool thinks himself to be wise, but a wise man knows himself to be a fool"",
  ""English idiom 3"": ""Wisdom is knowing how little we know""
}",Still waters run deep,'大智如愚' means 'Still waters run deep'. Given the above knowledge translate this sentence to English: '他不善交际，大智如愚，比起夸夸其谈之辈，强过百倍。',"He is not good at socializing, still waters run deep, far superior to those who boast and brag.","""He is not good at socializing, but still waters run deep; he is a hundred times better than those who boast.""",3,3,3,3
他们是红色的象征，他们是希望的象征，他们就是勇敢无畏的消防队员！哪儿有环保者，哪儿就一干二净，不管他们自己多累，不管多么辛苦，总是为了祖国而默默奉献着，为了环保，永远奋斗。,一干二净,completely and thoroughly,"```json
{
  ""Chinese idiom"": ""一干二净"",
  ""English definition"": ""completely; thoroughly; without leaving a trace"",
  ""English idiom 1"": ""clean as a whistle"",
  ""English idiom 2"": ""spotless"",
  ""English idiom 3"": """"
}
```",clean as a whistle,'一干二净' means 'clean as a whistle'. Given the above knowledge translate this sentence to English: '他们是红色的象征，他们是希望的象征，他们就是勇敢无畏的消防队员！哪儿有环保者，哪儿就一干二净，不管他们自己多累，不管多么辛苦，总是为了祖国而默默奉献着，为了环保，永远奋斗。',"Where there are environmentalists, everything is clean as a whistle, no matter how tired or how hard they work, always silently dedicating themselves for the motherland, for environmental protection, and forever striving.","""They are the symbol of red, they are the symbol of hope, they are the brave and fearless firefighters! Wherever there are environmental protectors, it is as clean as a whistle, no matter how tired they are, no matter how hard it is, they always silently dedicate themselves for the motherland, forever striving for environmental protection.""",2,2,2,2
你如果不想自己的股票变得分文不值的话，最好听我说下去!,分文不值,not worth a cent,"```json
{
    ""Chinese idiom"": ""分文不值"",
    ""English definition"": ""Worthless, not worth a cent"",
    ""English idiom 1"": ""Not worth a dime"",
    ""English idiom 2"": ""Not worth a penny"",
    ""English idiom 3"": ""Not worth the paper it's printed on""
}
```",Not worth a dime,'分文不值' means 'Not worth a dime'. Given the above knowledge translate this sentence to English: '你如果不想自己的股票变得分文不值的话，最好听我说下去!',"If you don't want your stocks to become worthless, you better listen to me!","""If you don't want your stocks to become worthless, you'd better listen to what I have to say!""",3,3,2,3
坐在另一边，一个贼眉鼠眼，小头小脑地家伙尖声说道。,贼眉鼠眼,"having shifty and suspicious eyes, behaving like a thief","{
    ""Chinese idiom"": ""贼眉鼠眼"",
    ""English definition"": ""To have a sly and sneaky appearance, often implying suspicion and untrustworthiness."",
    ""English idiom 1"": ""Shifty-eyed"",
    ""English idiom 2"": ""Sly as a fox"",
    ""English idiom 3"": ""Look like a cat that swallowed the canary""
}",Shifty-eyed,'贼眉鼠眼' means 'Shifty-eyed'. Given the above knowledge translate this sentence to English: '坐在另一边，一个贼眉鼠眼，小头小脑地家伙尖声说道。',"Sitting on the other side, a shifty-eyed, small-minded person spoke loudly.","""Sitting on the other side, a shifty-eyed, timid-looking fellow spoke in a sharp voice.""",2,2,1,3
亲爱的谢谢你陪伴安慰，不管是春风得意或绝望颓废，晓得了人言可畏，好像才三十岁却聪明了三十倍。 #李宇春#,人言可畏,Being afraid of what others say or think,"{
  ""Chinese idiom"": ""人言可畏"",
  ""English definition"": ""Public opinion is powerful and can be intimidating."",
  ""English idiom 1"": ""Sticks and stones may break my bones, but words can never hurt me"",
  ""English idiom 2"": ""The pen is mightier than the sword"",
  ""English idiom 3"": ""Idle hands are the devil's workshop""
}",The pen is mightier than the sword,'人言可畏' means 'The pen is mightier than the sword'. Given the above knowledge translate this sentence to English: '亲爱的谢谢你陪伴安慰，不管是春风得意或绝望颓废，晓得了人言可畏，好像才三十岁却聪明了三十倍。 #李宇春#',"Dear thank you for your company and comfort, whether in times of success or despair, I have come to understand that the pen is mightier than the sword, it's like I've gained thirty times more wisdom at the age of thirty. #LiYuchun#","Dear, thank you for your company and comfort. Whether in the pride of spring or in utter despair, knowing that the pen is mightier than the sword, it feels like being thirty but becoming thirty times wiser. #Li Yuchun#",2,2,1,1
每个人的性格都有两面性，即刚柔相济，再刚强的人也有柔和的一面，再柔和的人也有刚强的表现。,刚柔相济,"a combination of firmness and flexibility, balancing strength and gentleness","```json
{
  ""Chinese idiom"": ""刚柔相济"",
  ""English definition"": ""The idiom '刚柔相济' means to strike a balance between being firm and being gentle, combining hardness with softness, or using both strength and gentleness to achieve a harmonious outcome."",
  ""English idiom 1"": ""Iron fist in a velvet glove"",
  ""English idiom 2"": ""Walk softly and carry a big stick"",
  ""English idiom 3"": ""A blend of steel and velvet""
}
```",Iron fist in a velvet glove,'刚柔相济' means 'Iron fist in a velvet glove'. Given the above knowledge translate this sentence to English: '每个人的性格都有两面性，即刚柔相济，再刚强的人也有柔和的一面，再柔和的人也有刚强的表现。',"Everyone's personality has two sides, with an iron fist in a velvet glove - even the toughest person has a gentle side, and the most gentle person has moments of strength.","Every person's character has two sides, which means an iron fist in a velvet glove. Even the strongest person has a gentle side, and even the gentlest person can show strength.",3,3,3,2
谁都有个性，谁也不是生下来就适应社会，环境像是一条河，咱都是河里的石头，一开始各有各形状，头上长角、身上生刺，天长日久被河水冲刷，角啊，刺啊的就都磨成圆的了。,天长日久,over a long period of time,"```json
{
  ""Chinese idiom"": ""天长日久"",
  ""English definition"": ""A long period of time; enduring and lasting through the ages"",
  ""English idiom 1"": ""For ages and ages"",
  ""English idiom 2"": ""Till the end of time"",
  ""English idiom 3"": ""Since time immemorial""
}
```",For ages and ages,'天长日久' means 'For ages and ages'. Given the above knowledge translate this sentence to English: '谁都有个性，谁也不是生下来就适应社会，环境像是一条河，咱都是河里的石头，一开始各有各形状，头上长角、身上生刺，天长日久被河水冲刷，角啊，刺啊的就都磨成圆的了。',"Everyone has a personality, no one is born to fit into society, the environment is like a river, we are all stones in the river, each with our own shape at first, horns on our heads, thorns on our bodies, over time being washed by the river water, the horns, the thorns all smooth out into roundness.","""Everyone has their own personality, and no one is born adapted to society. The environment is like a river, and we are all stones in it. At first, each stone has its own shape, with horns and spikes, but after being washed by the river for ages and ages, the horns and spikes are all smoothed out.""",3,3,2,3
一者妄言，谓口是心非，欺诳不实;二者绮语，花言巧语，伤风败俗;三者恶口，辱骂毁谤，恶语伤人;四者两舌，向此说彼，挑拨是非。,花言巧语,using sweet words and flattery,"```json
{
  ""Chinese idiom"": ""花言巧语"",
  ""English definition"": ""Flowery and insincere words; sweet talk intended to deceive or flatter."",
  ""English idiom 1"": ""Sweet talk"",
  ""English idiom 2"": ""Smooth talk"",
  ""English idiom 3"": ""Honeyed words""
}
```",Sweet talk,'花言巧语' means 'Sweet talk'. Given the above knowledge translate this sentence to English: '一者妄言，谓口是心非，欺诳不实;二者绮语，花言巧语，伤风败俗;三者恶口，辱骂毁谤，恶语伤人;四者两舌，向此说彼，挑拨是非。',"One is falsehood, saying one thing while meaning another, deceitful and insincere; two is empty talk, sweet talk, harming tradition and customs; three is foul language, insults and defamation, hurtful words; four is speaking with a double tongue, saying one thing to one person and another to another, sowing discord.","""First, false speech, which means saying one thing and meaning another, making deceitful and untruthful statements; second, flowery language, sweet talk, and indecent speech; third, harsh words, insults, slander, and words that hurt people; fourth, double-tongued, speaking one way here and another way there, stirring up trouble.""",3,3,2,2
"妈妈让我认，我答应了，可我却一直不用心写，妈妈批评我：""你口口声声说要认真，却做不到，到头来一事无成！""。",口口声声,repeatedly emphasizing or insisting on something,"```json
{
  ""Chinese idiom"": ""口口声声"",
  ""English definition"": ""Repeatedly or insistently saying something"",
  ""English idiom 1"": ""Harp on"",
  ""English idiom 2"": ""Bang on about"",
  ""English idiom 3"": ""Drum into someone's head""
}
```",Harp on,"'口口声声' means 'Harp on'. Given the above knowledge translate this sentence to English: '妈妈让我认，我答应了，可我却一直不用心写，妈妈批评我：""你口口声声说要认真，却做不到，到头来一事无成！""。'","My mom asked me to be diligent, I agreed, but I have been neglectful in writing, my mom criticized me: ""You harp on about being serious, but can't follow through, in the end you achieve nothing!""","""Mom asked me to write, and I agreed, but I didn't put my heart into it. Mom criticized me: 'You keep saying you'll be serious, but you can't do it, and in the end, you accomplish nothing!'""",3,3,2,3
烽火连天、狼烟四起，亦是众侠客初试锋芒、建功立业的好时机。,初试锋芒,showing one's initial talent and potential,"{
  ""Chinese idiom"": ""初试锋芒"",
  ""English definition"": ""To display one's talent or ability for the first time, often in a way that impresses others."",
  ""English idiom 1"": ""Show one's mettle"",
  ""English idiom 2"": ""Come out swinging"",
  ""English idiom 3"": ""Make a splash""
}",Show one's mettle,'初试锋芒' means 'Show one's mettle'. Given the above knowledge translate this sentence to English: '烽火连天、狼烟四起，亦是众侠客初试锋芒、建功立业的好时机。',"The flames rising and the smoke filling the sky, it is also a good opportunity for all heroes to show their mettle and make great achievements.","""With the flames of war raging and smoke signals rising, it is also a good opportunity for heroes to show their mettle and achieve great success.""",3,3,2,3
