Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,high_similarity_english_idioms,Most_Relevant_English_Idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
मुँह से आग उगलना,बहुत क्रोध में होना,Spitting fire,उसकी बेईमानी पर मैंने मुँह से आग उगल दी।,,,"'मुँह से आग उगलना' means 'Spitting fire'. Given the above knowledge, translate this sentence to English: 'उसकी बेईमानी पर मैंने मुँह से आग उगल दी।'",I spat fire at his dishonesty.,"""I spitted fire at his dishonesty.""",3,3,2,1
मुँह सूखना,भय या घबराहट के कारण गला सूख जाना,Mouth drying up,परीक्षा के परिणाम सुनने के समय उसका मुँह सूख गया।,,,"'मुँह सूखना' means 'Mouth drying up'. Given the above knowledge, translate this sentence to English: 'परीक्षा के परिणाम सुनने के समय उसका मुँह सूख गया।'","During the announcement of the exam results, his mouth dried up.","""His mouth dried up when he heard the exam results.""",3,1,3,1
मुँह पर पानी फेरना,मेहनत को बेकार करना,To ruin something.,उसकी एक गलती ने सबकी मेहनत पर पानी फेर दिया।,"cook someone's goose (0.79), screw up (0.74)",cook someone's goose,"'मुँह पर पानी फेरना' means 'cook someone's goose'. Given the above knowledge, translate this sentence to English: 'उसकी एक गलती ने सबकी मेहनत पर पानी फेर दिया।'",One mistake of hers cooked everyone's goose.,'One mistake of his cooked everyone's goose.',2,1,2,1
मुँह पर थूक देना,बहुत अपमानित करना,To insult someone directly,उसकी बदतमीजी ने मुझे मुँह पर थूक देने जैसा महसूस कराया।,"bite someone's head off (0.73), call _ names (0.76), call names (0.78), call someone names (0.86), snap someone's head off (0.74)",bite someone's head off,"'मुँह पर थूक देना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'उसकी बदतमीजी ने मुझे मुँह पर थूक देने जैसा महसूस कराया।'",Her rudeness made me feel like she was biting my head off.,"""His rudeness made me feel like biting his head off.""",2,1,1,1
मुँह पर सिक्कड़ बाँधना,चुप कराना,To sulk or pout,उसने उसकी बातों पर मुँह पर सिक्कड़ बाँध दिया।,,,"'मुँह पर सिक्कड़ बाँधना' means 'To sulk or pout'. Given the above knowledge, translate this sentence to English: 'उसने उसकी बातों पर मुँह पर सिक्कड़ बाँध दिया।'",He sulked at her words.,"""He pouted at his words.""",2,2,1,1
मुँह से निकलना,अनजाने में कुछ बोल देना,Slip of the tongue,उसके मुँह से सच्चाई निकल गई।,,,"'मुँह से निकलना' means 'Slip of the tongue'. Given the above knowledge, translate this sentence to English: 'उसके मुँह से सच्चाई निकल गई।'",The truth slipped out of his mouth.,The truth slipped from his tongue.,3,3,3,3
बड़ी मछली छोटी मछली को निगल जाती है,शक्तिशाली कमजोर को दबा देता है,The big fish eats the small fish.,राजनीति में बड़ी मछली हमेशा छोटी मछली को निगल जाती है।,,,"'बड़ी मछली छोटी मछली को निगल जाती है' means 'The big fish eats the small fish.'. Given the above knowledge, translate this sentence to English: 'राजनीति में बड़ी मछली हमेशा छोटी मछली को निगल जाती है।'","In politics, the big fish always eats the small fish.","In politics, the big fish always eats the small fish.",3,3,3,3
मुँह का गंधाना,बुरी बातें करना,To be embarrassed,उसकी बकवास ने सबका मुँह गंधा दिया।,have egg on one's face (0.73),have egg on one's face,"'मुँह का गंधाना' means 'have egg on one's face'. Given the above knowledge, translate this sentence to English: 'उसकी बकवास ने सबका मुँह गंधा दिया।'",His nonsense made everyone have egg on their face.,"""His nonsense made everyone have egg on their face.""",1,3,1,1
मुँह से बोलती बंद हो जाना,चुप हो जाना,To be at a loss for words,सच सामने आते ही उसकी मुँह से बोलती बंद हो गई।,,,"'मुँह से बोलती बंद हो जाना' means 'To be at a loss for words'. Given the above knowledge, translate this sentence to English: 'सच सामने आते ही उसकी मुँह से बोलती बंद हो गई।'","As soon as the truth came out, she was at a loss for words.","As soon as the truth came out, he was at a loss for words.",3,3,3,3
मुँह में चने चबाना,कठिनाई सहना,To be speechless,उसकी समस्याओं ने मुझे मुँह में चने चबाने पर मजबूर कर दिया।,,,"'मुँह में चने चबाना' means 'To be speechless'. Given the above knowledge, translate this sentence to English: 'उसकी समस्याओं ने मुझे मुँह में चने चबाने पर मजबूर कर दिया।'",His problems left me speechless.,"""His problems rendered me speechless.""",3,1,3,1
मुँह से उगलना,बताना,To confess,पुलिस ने सख्ती से पूछताछ की तो उसने सब मुँह से उगल दिया।,"come clean (0.76), eat humble pie (0.74), make a clean breast of (0.77)",come clean,"'मुँह से उगलना' means 'come clean'. Given the above knowledge, translate this sentence to English: 'पुलिस ने सख्ती से पूछताछ की तो उसने सब मुँह से उगल दिया।'","When the police questioned him rigorously, he came clean about everything.","""When the police interrogated him strictly, he came clean about everything.""",3,3,3,3
मुँह में उँगली डालना,किसी को उकसाना,To deceive someone.,उसे गुस्सा दिलाने के लिए उसने मुँह में उँगली डाली।,"con artist (0.75), fall for it (0.83), lead someone up the garden path (0.86), lie like a rug (0.80), mince pies (0.78), pull _ wool over _ eyes (0.80), pull a fast one (0.79), pull the wool over eyes (0.86), pull the wool over someone's eyes (0.80), pull the wool over someones eyes (0.80), stab in the back (0.75), take for a ride (0.74), take someone for a ride (0.73), throw a curve (0.80), wipe someone's eye (0.88)",con artist,"'मुँह में उँगली डालना' means 'con artist'. Given the above knowledge, translate this sentence to English: 'उसे गुस्सा दिलाने के लिए उसने मुँह में उँगली डाली।'",He provoked him by putting his finger in his mouth.,"""To make him angry, he acted like a con artist.""",1,1,1,1
मुँह में आग लगाना,बहुत क्रोधित होना,Set one's mouth on fire.,उसकी अपमानजनक बातों ने मेरे मुँह में आग लगा दी।,,,"'मुँह में आग लगाना' means 'Set one's mouth on fire.'. Given the above knowledge, translate this sentence to English: 'उसकी अपमानजनक बातों ने मेरे मुँह में आग लगा दी।'",His disrespectful words set my mouth on fire.,"""His insulting words set my mouth on fire.""",2,1,2,1
मुँह के बल गिरना,असफल होना,Fall flat on one's face,उसकी योजना बुरी तरह फेल हो गई और वह मुँह के बल गिर गया।,,,"'मुँह के बल गिरना' means 'Fall flat on one's face'. Given the above knowledge, translate this sentence to English: 'उसकी योजना बुरी तरह फेल हो गई और वह मुँह के बल गिर गया।'",His plan failed miserably and he fell flat on his face.,"""His plan failed badly and he fell flat on his face.""",3,3,3,3
मुँह से दही खाना,चुप रहना,To remain silent.,"जब मैंने पूछा, तो उसने मुँह से दही खा ली और कुछ नहीं बोला।","button (up) one's lip (0.82), hold tongue (0.86), hold your tongue (0.84), keep schtum (0.76), silent as the grave (0.78), zip oneâ€™s lip (0.77)",button,"'मुँह से दही खाना' means 'button'. Given the above knowledge, translate this sentence to English: 'जब मैंने पूछा, तो उसने मुँह से दही खा ली और कुछ नहीं बोला।'","When I asked, she buttoned her lip and didn't say anything.","When I asked, he buttoned up and said nothing.",2,3,2,3
आँख का तारा।,अत्यन्त प्यारा।,Apple of one's eye.,प्रत्येक सुपुत्र अपने माता-पिता की आँखों का तारा होता है।,,,"'आँख का तारा।' means 'Apple of one's eye.'. Given the above knowledge, translate this sentence to English: 'प्रत्येक सुपुत्र अपने माता-पिता की आँखों का तारा होता है।'",Every son is the apple of his parents' eyes.,'Every good son is the apple of his parents' eyes.',3,3,3,3
मुँह में ताले लगाना,बोलने से रोकना,To keep one's mouth shut,उसकी कठोर शब्दों ने सबके मुँह में ताले लगा दिए।,,,"'मुँह में ताले लगाना' means 'To keep one's mouth shut'. Given the above knowledge, translate this sentence to English: 'उसकी कठोर शब्दों ने सबके मुँह में ताले लगा दिए।'",His harsh words made everyone keep their mouths shut.,'His harsh words made everyone keep their mouths shut.',3,3,3,3
मुँह की खाना,हार मान लेना,To suffer defeat,मुकाबले में उसने मुँह की खाई।,"bite _ dust (0.90), crash and burn (0.73), go to the wall (0.74), meet your Waterloo (0.83), wipe the floor with (0.75)",bite _ dust,"'मुँह की खाना' means 'bite _ dust'. Given the above knowledge, translate this sentence to English: 'मुकाबले में उसने मुँह की खाई।'",He bit the dust in the competition.,"""In the competition, he bit the dust.""",3,3,3,3
मुँह पर कालिख पोतना,किसी का अपमान करना,To disgrace oneself,उसके झूठ ने मेरे मुँह पर कालिख पोत दी।,,,"'मुँह पर कालिख पोतना' means 'To disgrace oneself'. Given the above knowledge, translate this sentence to English: 'उसके झूठ ने मेरे मुँह पर कालिख पोत दी।'",His lies have disgraced me.,"""His lie disgraced me.""",3,2,3,1
मुँह में उंगली डालना,किसी को बेवकूफ बनाना,To provoke or challenge someone.,तुम मेरे मुँह में उंगली डालकर मुझे बेवकूफ नहीं बना सकते।,"cruising for a bruising (0.79), draw fire (0.74), get a rise out of (0.74), give hell (0.74), give somebody a hard time (0.73), push someone's buttons (0.76), rattle someone's cage (0.76), ruffle someone's feathers (0.74), wind someone up (0.78)",cruising for a bruising,"'मुँह में उंगली डालना' means 'cruising for a bruising'. Given the above knowledge, translate this sentence to English: 'तुम मेरे मुँह में उंगली डालकर मुझे बेवकूफ नहीं बना सकते।'",You can't make a fool out of me by putting your finger in my mouth.,'You can't cruise for a bruising and make a fool out of me.',2,1,1,1
बुरे वक्त में साथी छोड़ना,संकट में साथ न देना,To abandon someone in difficult times.,बुरे वक्त में उसने अपने दोस्त का साथ छोड़ दिया।,"jump ship (0.79), leave someone in the lurch (0.79), turn back on (0.76)",jump ship,"'बुरे वक्त में साथी छोड़ना' means 'jump ship'. Given the above knowledge, translate this sentence to English: 'बुरे वक्त में उसने अपने दोस्त का साथ छोड़ दिया।'","In bad times, he abandoned his friend.","""He jumped ship on his friend in tough times.""",3,1,3,3
बड़ी मछली,ताकतवर व्यक्ति,Big fish,"इस शहर में वही बड़ी मछली है, सब उसी से डरते हैं।",,,"'बड़ी मछली' means 'Big fish'. Given the above knowledge, translate this sentence to English: 'इस शहर में वही बड़ी मछली है, सब उसी से डरते हैं।'","In this city, she is the big fish, everyone is afraid of her.","""In this city, he is the big fish; everyone is afraid of him.""",3,3,3,3
मुँह में पान रखना,चुप रहना,To keep silent,उसकी फटकार सुनकर मैंने मुँह में पान रख लिया।,"button (up) one's lip (0.90), button your lip (0.77), hold tongue (0.85), hold your tongue (0.84), keep mum (0.76), keep schtum (0.81), mum's the word (0.76), silent as the grave (0.78), zip oneâ€™s lip (0.84), zip your lip (0.76)",button,"'मुँह में पान रखना' means 'button'. Given the above knowledge, translate this sentence to English: 'उसकी फटकार सुनकर मैंने मुँह में पान रख लिया।'",I kept buttoning my lips when I heard his scolding.,"""After hearing his scolding, I buttoned my lip.""",2,2,2,3
मुँह बिचकाना,नापसंदगी दिखाना,To make a face.,जब मैंने उसे पुराने कपड़े दिए तो उसने मुँह बिचका लिया।,pull a face (0.75),pull a face,"'मुँह बिचकाना' means 'pull a face'. Given the above knowledge, translate this sentence to English: 'जब मैंने उसे पुराने कपड़े दिए तो उसने मुँह बिचका लिया।'","When I gave him old clothes, he pulled a face.","""When I gave him old clothes, he pulled a face.""",3,3,3,3
मूँछों पर हाथ फेरना,गर्वित होना,To show off or boast.,उसकी तारीफ सुनकर उसने मूँछों पर हाथ फेरा।,,,"'मूँछों पर हाथ फेरना' means 'To show off or boast.'. Given the above knowledge, translate this sentence to English: 'उसकी तारीफ सुनकर उसने मूँछों पर हाथ फेरा।'","After hearing his praise, he started to show off.","""Hearing his praise, he stroked his mustache.""",2,1,3,1
"मुँह में राम, बगल में छुरी",ऊपर से मीठा बोलना और अंदर से बुरा सोचना,"A sweet tongue, but a dagger in the heart.","वह मुँह में राम, बगल में छुरी रखता है।",,,"'मुँह में राम, बगल में छुरी' means 'A sweet tongue, but a dagger in the heart.'. Given the above knowledge, translate this sentence to English: 'वह मुँह में राम, बगल में छुरी रखता है।'","He has a sweet tongue, but keeps a dagger in his heart.","""He has a sweet tongue, but a dagger in the heart.""",2,1,1,1
मुँह पर ताला लगाना,चुप हो जाना,To keep one's mouth shut,उसने इस मुद्दे पर मुँह पर ताला लगा लिया है।,,,"'मुँह पर ताला लगाना' means 'To keep one's mouth shut'. Given the above knowledge, translate this sentence to English: 'उसने इस मुद्दे पर मुँह पर ताला लगा लिया है।'",He has kept his mouth shut on this issue.,'He has kept his mouth shut on this issue.',3,3,3,3
मुँह मुँह करना,बहस करना,Mumbling,उसकी हरकतों पर मैंने मुँह मुँह करना सही समझा।,,,"'मुँह मुँह करना' means 'Mumbling'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह मुँह करना सही समझा।'",I understood mumbling at his actions.,"""I thought it was right to mumble at his actions.""",1,1,1,1
मूँछ का सवाल,प्रतिष्ठा का प्रश्न,A matter of pride,उसके लिए यह मूँछ का सवाल बन गया था।,,,"'मूँछ का सवाल' means 'A matter of pride'. Given the above knowledge, translate this sentence to English: 'उसके लिए यह मूँछ का सवाल बन गया था।'","For him, it had become a matter of pride.","'For him, it had become a matter of pride.'",3,3,3,3
आँखें नीची होना।,लज्जा से गड़ जाना।,To feel ashamed.,छेड़खानी के आरोप में बेटे को हवालात में बन्द देखकर पिता की आँखें नीची हो गईं।,,,"'आँखें नीची होना।' means 'To feel ashamed.'. Given the above knowledge, translate this sentence to English: 'छेड़खानी के आरोप में बेटे को हवालात में बन्द देखकर पिता की आँखें नीची हो गईं।'","Seeing his son being arrested in a case of eve-teasing, the father felt ashamed.","""Seeing his son locked up in the cell on charges of harassment, the father's eyes lowered in shame.""",3,2,3,3
मिट्टी पलीत करना,बदनाम करना,To disgrace,झूठे आरोप लगाकर उसने उसकी मिट्टी पलीत कर दी।,,,"'मिट्टी पलीत करना' means 'To disgrace'. Given the above knowledge, translate this sentence to English: 'झूठे आरोप लगाकर उसने उसकी मिट्टी पलीत कर दी।'",He disgraced him by falsely accusing him.,"""By making false allegations, he disgraced him.""",3,2,3,2
मुँह का दरवाजा खोलना,बोलना शुरू करना,To speak up,उसने अंततः मुँह का दरवाजा खोल ही दिया।,,,"'मुँह का दरवाजा खोलना' means 'To speak up'. Given the above knowledge, translate this sentence to English: 'उसने अंततः मुँह का दरवाजा खोल ही दिया।'",He finally spoke up.,"""He finally spoke up.""",3,3,3,3
मुँह झुलसाना,बहुत गर्म चीज खाने से मुँह जलाना,Burn one's mouth,जल्दबाजी में उसने गरम चाय पी ली और मुँह झुलस गया।,,,"'मुँह झुलसाना' means 'Burn one's mouth'. Given the above knowledge, translate this sentence to English: 'जल्दबाजी में उसने गरम चाय पी ली और मुँह झुलस गया।'",He burnt his mouth by drinking hot tea in haste.,"""In a hurry, he drank hot tea and burned his mouth.""",3,2,3,3
मुँह में गंगा जल देना,किसी को सत्य बोलने के लिए प्रेरित करना,To speak the truth.,उसे मुँह में गंगा जल देने के बाद ही उसने सच्चाई बताई।,,,"'मुँह में गंगा जल देना' means 'To speak the truth.'. Given the above knowledge, translate this sentence to English: 'उसे मुँह में गंगा जल देने के बाद ही उसने सच्चाई बताई।'",After he spoke the truth only after making a vow to speak the truth.,"""She spoke the truth only after taking the holy Ganges water in her mouth.""",2,1,1,1
मोड़ लेना,दिशा बदलना,Take a turn,उसने अपनी जिंदगी का रुख मोड़ लिया।,,,"'मोड़ लेना' means 'Take a turn'. Given the above knowledge, translate this sentence to English: 'उसने अपनी जिंदगी का रुख मोड़ लिया।'",He changed the course of his life.,"""He took a turn in his life.""",3,3,2,2
मुँह पर धूल फेंकना,अपमान करना,To deceive someone,उसकी झूठी बातों ने सबके सामने मेरे मुँह पर धूल फेंक दी।,"con artist (0.75), fall for it (0.84), lead someone up the garden path (0.87), lie like a rug (0.80), mince pies (0.79), pull _ wool over _ eyes (0.80), pull a fast one (0.80), pull the wool over eyes (0.87), pull the wool over someone's eyes (0.80), pull the wool over someones eyes (0.80), stab in the back (0.75), take for a ride (0.74), take someone for a ride (0.74), throw a curve (0.80), wipe someone's eye (0.89)",con artist,"'मुँह पर धूल फेंकना' means 'con artist'. Given the above knowledge, translate this sentence to English: 'उसकी झूठी बातों ने सबके सामने मेरे मुँह पर धूल फेंक दी।'",His false words threw dust on my face in front of everyone.,"""His false words made a fool of me in front of everyone.""",2,1,3,3
मुँह की फटकार सुनना,डाँट सुनना,To get a scolding.,उसने अपनी गलती पर मुँह की फटकार सुनी।,,,"'मुँह की फटकार सुनना' means 'To get a scolding.'. Given the above knowledge, translate this sentence to English: 'उसने अपनी गलती पर मुँह की फटकार सुनी।'",He got a scolding for his mistake.,"""He got a scolding for his mistake.""",3,1,3,1
मुँह उठाना,बिना किसी योजना के काम करना,To show up uninvited,"मुँह उठाकर चल देने से कोई फायदा नहीं होता, योजना बनानी चाहिए।",,,"'मुँह उठाना' means 'To show up uninvited'. Given the above knowledge, translate this sentence to English: 'मुँह उठाकर चल देने से कोई फायदा नहीं होता, योजना बनानी चाहिए।'","Showing up uninvited doesn't help, a plan should be made.","""There's no use in showing up uninvited; one should make a plan.""",1,1,1,1
मुँह चूमना,अत्यधिक खुश होना,Kiss.,सफलता पाकर उसने खुशी के मारे मुँह चूम लिया।,,,"'मुँह चूमना' means 'Kiss.'. Given the above knowledge, translate this sentence to English: 'सफलता पाकर उसने खुशी के मारे मुँह चूम लिया।'","After achieving success, he kissed in joy.","""After achieving success, he kissed out of joy.""",2,1,2,1
मुँह पर ताले लगाना,बोलने से रोकना,To keep one's mouth shut,उसकी कठोर शब्दों ने सबके मुँह पर ताले लगा दिए।,,,"'मुँह पर ताले लगाना' means 'To keep one's mouth shut'. Given the above knowledge, translate this sentence to English: 'उसकी कठोर शब्दों ने सबके मुँह पर ताले लगा दिए।'",His harsh words shut everyone up.,"""His harsh words made everyone keep their mouths shut.""",3,3,3,3
मुँह बंद रखना,चुप रहना,Keep your mouth shut.,उसने सारी बातें सुनकर मुँह बंद रखा।,,,"'मुँह बंद रखना' means 'Keep your mouth shut.'. Given the above knowledge, translate this sentence to English: 'उसने सारी बातें सुनकर मुँह बंद रखा।'",He kept his mouth shut after hearing everything.,He kept his mouth shut after hearing everything.,3,3,3,3
मुँह उठाकर चलना,बिना सोचे समझे कुछ करना,To walk with one's head held high.,मुँह उठाकर चलने से पहले सोच-विचार कर लेना चाहिए।,,,"'मुँह उठाकर चलना' means 'To walk with one's head held high.'. Given the above knowledge, translate this sentence to English: 'मुँह उठाकर चलने से पहले सोच-विचार कर लेना चाहिए।'","Before walking with one's head held high, one should think carefully.",One should think carefully before walking with one's head held high.,2,2,2,1
मुँह में गुलाब लगाना,मीठी बातें करना,To speak sweetly,उसकी मुँह में गुलाब लगाने वाली बातें सभी को भा गईं।,,,"'मुँह में गुलाब लगाना' means 'To speak sweetly'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह में गुलाब लगाने वाली बातें सभी को भा गईं।'",Her sweet words charmed everyone.,"""Everyone loved her sweet-talking.""",3,3,3,2
मुँह में चिराग जलाना,खुश होना,To be extremely cautious with one's words.,उसकी सफलता की खबर सुनकर मेरे मुँह में चिराग जल गया।,"walk on eggs (0.82), walk on eggshells (0.74), watch your back (0.74)",walk on eggs,"'मुँह में चिराग जलाना' means 'walk on eggs'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता की खबर सुनकर मेरे मुँह में चिराग जल गया।'","Upon hearing the news of his success, I walked on eggs.","""Hearing the news of his success made me walk on eggs.""",1,1,1,1
मुँह में मिर्ची लगाना,तीखी बातें करना,To speak harshly.,उसकी हर बात में मुँह में मिर्ची लगी रहती है।,bite someone's head off (0.75),bite someone's head off,"'मुँह में मिर्ची लगाना' means 'bite someone's head off'. Given the above knowledge, translate this sentence to English: 'उसकी हर बात में मुँह में मिर्ची लगी रहती है।'",Every word of his feels like a bite.,She bites everyone's head off with everything she says.,1,1,2,3
मुँह खोलना,सच्चाई बताना,To speak up,पुलिस के दबाव में उसने मुँह खोला और सारी सच्चाई बता दी।,,,"'मुँह खोलना' means 'To speak up'. Given the above knowledge, translate this sentence to English: 'पुलिस के दबाव में उसने मुँह खोला और सारी सच्चाई बता दी।'","Under pressure from the police, he spoke up and revealed all the truth.","Under police pressure, he spoke up and revealed the whole truth.",3,2,3,3
मुँह बंद करना,किसी को चुप कराना,Shut up,उसके कड़वे शब्द सुनकर सबने उसका मुँह बंद कर दिया।,,,"'मुँह बंद करना' means 'Shut up'. Given the above knowledge, translate this sentence to English: 'उसके कड़वे शब्द सुनकर सबने उसका मुँह बंद कर दिया।'","After hearing his harsh words, everyone told him to shut up.","""Everyone shut him up after hearing his bitter words.""",3,2,3,3
मूल रूप से,शुरुआत से या मुख्य रूप से,Essentially,यह विचार मूल रूप से मेरे दादा का था।,,,"'मूल रूप से' means 'Essentially'. Given the above knowledge, translate this sentence to English: 'यह विचार मूल रूप से मेरे दादा का था।'",This idea was essentially my grandfather's.,"""This idea was essentially my grandfather's.""",3,3,3,3
मुँह से बोलना,स्पष्ट रूप से कहना,To speak out,वह मुँह से बोलने में संकोच करता है।,,,"'मुँह से बोलना' means 'To speak out'. Given the above knowledge, translate this sentence to English: 'वह मुँह से बोलने में संकोच करता है।'",He hesitates to speak out.,"""He hesitates to speak out.""",3,2,3,2
मुँह में भरा होना,किसी चीज़ से पूरी तरह से संतुष्ट होना,To be speechless,उसकी बातें सुनकर मेरा मुँह में भरा हुआ है।,,,"'मुँह में भरा होना' means 'To be speechless'. Given the above knowledge, translate this sentence to English: 'उसकी बातें सुनकर मेरा मुँह में भरा हुआ है।'","After hearing his words, I am speechless.","""Hearing his words, I am speechless.""",3,1,3,1
मुँह का मीत,सच्चा दोस्त,Fair-weather friend,"वह मेरा मुँह का मीत है, हर वक्त साथ देता है।",,,"'मुँह का मीत' means 'Fair-weather friend'. Given the above knowledge, translate this sentence to English: 'वह मेरा मुँह का मीत है, हर वक्त साथ देता है।'","He is my fair-weather friend, always there for me.","'He is my fair-weather friend, always stands by me.'",1,1,1,1
मुँह की सूरत देखना,किसी की ओर ध्यान से देखना,To be disappointed,उसने उसकी मुँह की सूरत देखी और पहचान लिया।,sick as a parrot (0.77),sick as a parrot,"'मुँह की सूरत देखना' means 'sick as a parrot'. Given the above knowledge, translate this sentence to English: 'उसने उसकी मुँह की सूरत देखी और पहचान लिया।'",He saw the look on her face and recognized her.,"""He saw his sick as a parrot face and recognized him.""",3,1,1,1
मुँह भराई करना,किसी को तोहफा देना,To give a bribe.,शादी में नई बहू की मुँह भराई की रस्म अदा की गई।,grease someone's palm (0.84),grease someone's palm,"'मुँह भराई करना' means 'grease someone's palm'. Given the above knowledge, translate this sentence to English: 'शादी में नई बहू की मुँह भराई की रस्म अदा की गई।'",The custom of greasing the palm of the new daughter-in-law was performed at the wedding.,"""In the wedding, the ceremony of giving gifts to the new bride was performed.""",1,1,3,2
मुँह में सोना रखना,बहुत अधिक धनवान होना,To remain silent,वह इतना धनी है कि लगता है मुँह में सोना रखा है।,"button (up) one's lip (0.87), hold tongue (0.89), hold your tongue (0.86), keep mum (0.75), keep schtum (0.81), silent as the grave (0.82), zip oneâ€™s lip (0.82)",button,"'मुँह में सोना रखना' means 'button'. Given the above knowledge, translate this sentence to English: 'वह इतना धनी है कि लगता है मुँह में सोना रखा है।'",He is so rich that it seems like he has a golden button in his mouth.,He is so rich that it seems like he has a buttoned mouth.,1,1,1,1
बिना आग धुआं नहीं उठता,हर चीज का कोई न कोई कारण होता है,There is no smoke without fire.,"लोग उसके बारे में यूं ही बातें नहीं कर रहे, बिना आग धुआं नहीं उठता।",,,"'बिना आग धुआं नहीं उठता' means 'There is no smoke without fire.'. Given the above knowledge, translate this sentence to English: 'लोग उसके बारे में यूं ही बातें नहीं कर रहे, बिना आग धुआं नहीं उठता।'","People are not talking about him for no reason, there is no smoke without fire.","""People aren't talking about him for no reason; there is no smoke without fire.""",3,3,3,3
मुँह मोड़ना,ध्यान न देना या किनारा करना,Turn away,"जब उसे मदद की जरूरत थी, सभी ने उससे मुँह मोड़ लिया।",,,"'मुँह मोड़ना' means 'Turn away'. Given the above knowledge, translate this sentence to English: 'जब उसे मदद की जरूरत थी, सभी ने उससे मुँह मोड़ लिया।'","When she needed help, everyone turned away from her.","""When she needed help, everyone turned away from her.""",3,3,3,3
मुँह से लार टपकना,किसी चीज़ के प्रति अत्यधिक इच्छा रखना,Drooling over something,मिठाई देखकर उसकी मुँह से लार टपकने लगी।,,,"'मुँह से लार टपकना' means 'Drooling over something'. Given the above knowledge, translate this sentence to English: 'मिठाई देखकर उसकी मुँह से लार टपकने लगी।'","Upon seeing the sweets, he started drooling.",'His mouth started watering at the sight of the sweets.',3,3,3,3
मुँह पर कालिख पोतना,बदनामी करना,To disgrace oneself,उसकी हरकतों ने परिवार के मुँह पर कालिख पोत दी।,,,"'मुँह पर कालिख पोतना' means 'To disgrace oneself'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों ने परिवार के मुँह पर कालिख पोत दी।'",His actions brought disgrace to the family.,"""His actions disgraced the family.""",3,3,3,2
मुँह पर पानी फेरना,किसी की मेहनत को बेकार करना,To ruin something.,उसकी बेवकूफी ने मेरी पूरी मेहनत पर पानी फेर दिया।,"cook someone's goose (0.79), screw up (0.74)",cook someone's goose,"'मुँह पर पानी फेरना' means 'cook someone's goose'. Given the above knowledge, translate this sentence to English: 'उसकी बेवकूफी ने मेरी पूरी मेहनत पर पानी फेर दिया।'",His foolishness cooked my goose.,His stupidity cooked my goose.,2,1,2,1
मिट्टी में मिलाना,पूरी तरह से नष्ट करना,To ruin completely,उसकी योजनाओं को मिट्टी में मिला दिया।,,,"'मिट्टी में मिलाना' means 'To ruin completely'. Given the above knowledge, translate this sentence to English: 'उसकी योजनाओं को मिट्टी में मिला दिया।'","""He ruined his plans completely.""",'His plans were completely ruined.',3,2,3,2
मूल्य चुकाना,कठिनाई या नुकसान सहना,Pay the price,अपनी गलतियों का उसे भारी मूल्य चुकाना पड़ा।,,,"'मूल्य चुकाना' means 'Pay the price'. Given the above knowledge, translate this sentence to English: 'अपनी गलतियों का उसे भारी मूल्य चुकाना पड़ा।'",He had to pay a heavy price for his mistakes.,'He had to pay a heavy price for his mistakes.',3,3,3,3
मुँह में छाले पड़ना,बहुत अधिक बोलना,To have mouth ulcers.,उसने इतना बोला कि उसके मुँह में छाले पड़ गए।,,,"'मुँह में छाले पड़ना' means 'To have mouth ulcers.'. Given the above knowledge, translate this sentence to English: 'उसने इतना बोला कि उसके मुँह में छाले पड़ गए।'",He spoke so much that he developed mouth ulcers.,"""He talked so much that he got mouth ulcers.""",2,1,3,1
मुँह से बात निकलना,कोई बात कहना,To speak out.,उसकी मुँह से निकली बात सबको अच्छी लगी।,,,"'मुँह से बात निकलना' means 'To speak out.'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह से निकली बात सबको अच्छी लगी।'",Everyone liked what came out of his mouth.,Everyone liked what he spoke out.,3,1,3,1
मुँह में लड्डू रखना,किसी शुभ समाचार की सूचना देना,To keep silent,उसकी शादी की खबर सुनकर सभी ने मुँह में लड्डू रखे।,"button (up) one's lip (0.90), button your lip (0.77), hold tongue (0.85), hold your tongue (0.84), keep mum (0.76), keep schtum (0.81), mum's the word (0.76), silent as the grave (0.78), zip oneâ€™s lip (0.84), zip your lip (0.76)",button,"'मुँह में लड्डू रखना' means 'button'. Given the above knowledge, translate this sentence to English: 'उसकी शादी की खबर सुनकर सभी ने मुँह में लड्डू रखे।'","Upon hearing the news of his marriage, everyone was all smiles.","""Everyone buttoned their lips upon hearing the news of his marriage.""",2,3,1,1
भाग्य को कोसना,अपने दुर्भाग्य का दोष देना,To curse one's fate,उसने अपनी असफलता के लिए हमेशा अपने भाग्य को कोसा।,,,"'भाग्य को कोसना' means 'To curse one's fate'. Given the above knowledge, translate this sentence to English: 'उसने अपनी असफलता के लिए हमेशा अपने भाग्य को कोसा।'",He always cursed his fate for his failures.,'He always cursed his fate for his failure.',3,3,3,3
