id,idiom,en_meaning,zh_meaning,ja_meaning
2795,public enemy number one,The most wanted or despised person or group in a particular context.,公众的头号敌人,大衆の敵とされる一番の存在
2796,pull _ leg,to tease or trick someone in a playful or joking manner,开某人的玩笑；耍某人,冗談を言ってだます、おどかす
2797,pull _ plug,to bring an end to something abruptly or decisively,终止或中止某事物，或者取消某人或某物的活动或计划,（計画やプロジェクトなど）を終了させる
2798,pull _ wool over _ eyes,to deceive or trick someone by hiding the truth or presenting a false impression,欺骗某人,他人をだますこと、騙すこと
2799,pull a face,to make a funny or displeased facial expression,撇嘴、做鬼脸或做出非常不高兴的表情,しかめっ面をする
2800,pull a fast one,to deceive or trick someone in a clever or sneaky way,耍花招，愚弄别人,だます、人を欺く、手品や詐欺でうまくやる
2801,pull a rabbit out of a hat,"To produce something unexpectedly and impressively, often in a challenging or difficult situation",表面上毫不费力地完成令人吃惊的事情,予想外の仕事や目立つ業績を達成する
2802,pull a rabbit out of the hat,"to do something unexpected or impressive, especially in a difficult or challenging situation",突然解决问题或成功做到某事，尤其是在没有预期的情况下,予想外のことを成し遂げる、解決策や驚くべき結果を提供する
2803,pull in one's horns,"to become more cautious, reserved, or moderate in one's actions or behavior",收敛自己的行为或言论，尤其是在面对困难或挑战时变得谦逊或谨慎,自制して行動するようになる
2804,pull leg,"to tease or joke with someone, often in a lighthearted or playful manner",开玩笑，戏弄或愚弄某人,冗談を言ってだます
2805,pull out all the stops,to make a great effort or to use all available resources in order to achieve something,全力以赴，尽力而为,全力を尽くす
2806,pull rank,to use one's position or authority in order to gain an advantage or exercise control over others,以职务或地位压迫、控制或胁迫某人，特别是为了获得权力或特殊待遇,権限を行使する
2807,pull somebody's leg,to tease or deceive someone in a playful way,开某人玩笑，捉弄某人,からかうために嘘をつく
2808,pull someone's leg,To tease or trick someone in a playful way,捉弄某人；开某人的玩笑,冗談を言って人をだます
2809,pull someone's leg,"to tease or joke with someone, often by pretending something that is not true",开某人玩笑；捉弄某人,冗談を言う
2810,pull strings,to use one's influence or connections to manipulate a situation or get what one wants,利用自己的影响力或关系来获得某种利益或产生影响,コネを使って事を成し遂げる、影の力で何かを実現させる
2811,pull the other leg,to express disbelief or skepticism about something that has been said or claimed,没有人相信你说的话（因为它显然是个玩笑或谎言）,嘘をついている、冗談を言っている
2812,pull the other one,to not believe what someone is saying; to think that someone is joking or lying,别想骗我,言っていることを信じるべきではない、または冗談の言葉を使う
2813,pull the plug,"to stop or discontinue something, especially suddenly or abruptly",中止或取消某事物,何かを一時中止または停止すること。何かを終了すること。
2814,pull the wool over eyes,to deceive or mislead someone,欺骗或愚弄某人,他人をだます、欺く、騙すこと。他人を正当な理由もなく欺いたり、間違ったものを信じさせたりすること。
2815,pull the wool over someone's eyes,to deceive or trick someone by hiding the truth or one's true intentions,欺骗或蒙蔽某人,だます、ばかにする、または誤った方向に導くこと、特に他人を騙して自分の利益を得るために
2816,pull the wool over someones eyes,to deceive or trick someone; to make someone believe something that is not true,欺骗某人，使其相信错误的事情,誰かの目をくらませる
2817,pull up stakes,"to leave or move away from a place, usually with the intention of starting fresh elsewhere",收拾行囊，离开一个地方或生活方式，开始一个新的生活,場所を離れ、新しい場所に移動する
2818,pull your horns in,"to become less arrogant, aggressive, or confrontational; to become more modest or restrained in one's behavior",退缩、收敛、克制,慎重になり、控えめに行動する
2819,pull your punches,"to not use full force or effort; to hold back or restrain in some way, particularly in expressing criticism or delivering a blow",控制自己的力量或力量，以免造成伤害；退让或畏缩以避免对某人或某事产生不利影响,控えめに攻撃する;力の入れ方を抑える
2820,pull your weight,to do your fair share of work or contribute equally to a group effort,尽力做自己应尽的责任或工作；尽自己的份额贡献或努力,一人一人が自分の仕事や責任をきちんと果たすこと
2821,pull yourself together,"to regain control of oneself, especially in a difficult or stressful situation",鼓起勇气、恢复镇定、重新集中注意力,落ち着いて行動する、感情を制御する
2822,pulling _ leg,teasing or joking with someone in a playful manner,开某人的玩笑，捉弄某人,冗談でだまし、からかう
2823,pulling my leg,to tease or joke with someone in a playful manner,开玩笑；戏弄我,からかう、冗談を言う、人をだます
2824,pulling your leg,To tease or jokingly deceive someone,欺骗或开玩笑,冗談や冷やかしをする
2825,pump iron,to engage in weightlifting or strength training,进行体力训练,筋力トレーニングする、特にウェイトリフティングをする
2826,puppy love,to describe the intense but shallow romantic feelings that often occur between young people,青春期的初恋，通常是不成熟且短暂的恋爱,初恋（特に若い恋愛）
2827,pure and simple,plain and straightforward; without any additional complexity or hidden motive,纯粹明确地，没有其他复杂因素,単純明快に
2828,push someone's buttons,to intentionally provoke or irritate someone,激怒某人，引起某人的强烈反应,ある人をいらだたせたり、興奮させたりする行動や言葉を使う
2829,push the boat out,to spend a lot of money or make an extravagant effort for a special occasion,豪华地庆祝或招待,贅沢にする、特別な機会を祝うために予算を大いに使う
2830,push the envelope,to go beyond the usual limits or boundaries; to take risks or be innovative in order to achieve a desired outcome,突破界限；挑战极限,既成概念を超えて進む、新しい領域に挑戦する
2831,push the panic button,to react with extreme worry or fear in a situation,触动紧急按钮，感到极度紧张或恐慌,パニックに陥る、慌て惑う
2832,pushing up the daisies,to be dead,去世，死亡,死んでいる、特に墓に埋まっている
2833,put _ cart before _ horse,to do things in the wrong order or sequence; to prioritize or handle things in a way that is illogical or inefficient,把事情的次序搞错了，先做不重要的事情而后做重要的事情；错误地交换两个事情的次序,本末転倒、順序を逆にする
2834,put _ cat among _ pigeons,cause trouble or unrest by introducing a disruptive element or person,制造混乱或麻烦,情勢が混乱し、人々を怒らせる
2835,put _ shoulder to _ wheel,to start working hard and putting in effort to accomplish a task or goal,齐心协力，共同努力，特别是为了达到共同的目标,困難に立ち向かうための全力を尽くす
2836,put a damper on,"to discourage, hinder, or spoil something, usually by suppressing enthusiasm or excitement",扫兴；使兴致低落,何かを台無しにする
2837,put a foot wrong,"to make a mistake or error, especially in a situation where one should be careful or cautious",犯了一个错误，犯了一个失误,ミスを com nする
2838,put a smile on someone's face,to make someone happy or bring them joy,让某人笑容满面,誰かの顔に笑顔を作り出す
2839,put a sock in it,to tell someone to be quiet or stop talking,闭嘴或停止说话,うるさいことをやめるように言われる
2840,put damper on,to dampen or decrease the enthusiasm or excitement surrounding something,使情绪沮丧，使某事变得没有兴趣或失去乐趣,気分をそぐ
2841,put down roots,"To establish oneself in a place or community, typically by settling down and making it one's permanent home.",扎根,根を下ろす、定住する
2842,put money on somebody or something,to make a bet or speculate on the success or victory of someone or something,押注某人或某事,誰かまたは何かに賭けること、特定の結果が起こると確信していること
2843,put on a brave face,to act courageous or confident in the face of adversity or fear,装作勇敢；摆出坚定的面孔,強がって振る舞う
2844,put on the ritz,to dress or behave in an elegant or extravagant manner,摆阔贵族派头；摆出一副富丽堂皇的样子,高級感あるラグジュアリーなスタイルで装う
2845,put one's heart into something,"To exert a lot of effort, passion, or dedication into something",全心全意地投入到某事中,一生懸命に何かに取り組む
2846,put one's mind to it,to focus or concentrate on something with determination or effort,全心全意地致力于某事,しっかりと取り組む、本気で取り組む
2847,put one's shoulder to the wheel,To work hard and with determination towards a goal; to make a strong effort or contribution,努力工作或尽力完成某项任务,一生懸命働く
2848,put paid to,to bring something to an end or to make it impossible,彻底结束；打消；搞定,終わりを迎えさせる; 無効にする
2849,put someone in mind of,to remind someone of someone or something,使某人想起/让某人联想到,誰かに何かを思い起こさせる
2850,put someone on a pedestal,"To greatly admire or idealize someone, often to the point of placing them above criticism or fault",把某人捧在鼻孔里; 过分崇拜或推崇某人,誰かを絶賛して尊敬するほど偉大な存在として見る
2851,put someone out to pasture,to retire someone or remove them from their position of authority or responsibility due to age or incompetence,让（某人）退休；让（某人）离职,引退させる、退職させる、休職させる、または仕事から外す
2852,put something on ice,to postpone or delay something temporarily,将某事搁置或推迟,計画、プロジェクト、またはアイデアを一時停止または延期する
2853,put the boot in,to physically or verbally attack someone when they are already in a vulnerable or weakened state,恶意攻击或批评,容赦なく攻撃する
2854,put the cart before the horse,to do things in the wrong order or with the wrong priorities; to do something before it should be done,本末倒置、弄错顺序,順序を逆にする; 物事や手順を間違って行う
2855,put the cat among the pigeons,To cause a disturbance or create a chaotic situation by introducing something unexpected or controversial.,搞得一团糟，使局势变得混乱或导致麻烦,大問題を引き起こす、困惑や混乱を引き起こすこと
2856,put the kibosh on,to put an end to something or prevent it from happening,阻止或终止某事的发生，使其无法继续进行,終わりを告げる
2857,put the moves on,to make romantic or sexual advances towards someone; to flirt with or show interest in someone,对某人表示浪漫或性兴趣，试图吸引他们的注意力,積極的にアプローチする、好意を示す、恋愛の意味で関係を進める
2858,put the pedal to the metal,to go as fast as possible; to accelerate or increase speed,加快速度，尽全力做某事,全力で進むこと。徹底的にスピードを上げること。
2859,put the screws on,"to apply pressure or coercion to someone, typically in order to get them to do something",施压；逼迫；强迫,圧力をかける
2860,put the wind up,"to cause fear, anxiety, or panic in someone",使某人感到害怕或不安,誰かを怖がらせる、驚かせる
2861,put two and two together,to draw a logical conclusion or figure something out by connecting the dots or clues,将两个事物联系起来，得出合理的结论,合点がいく
2862,put up or shut up,to either take action or stop talking about something,要么实际行动，要么闭嘴,行動するか黙っていてください
2863,put words in somebody's mouth,to falsely attribute words or opinions to someone; to misrepresent what someone has said,替某人捏造话语，冒充某人的意思或说某人原本并未说的话,他人の口から言葉を言っているように仕立てること、他人の発言を勝手に解釈すること
2864,put words in someone's mouth,to attribute words or opinions to someone that they did not actually say or hold,替别人说话或指责别人说过的话，把自己的观点强加给别人,他人の言葉を代弁する、間違って伝える
2865,put years on,to make someone appear older or age quickly,使感到更老或更衰弱,年を取らせる
2866,put your best foot forward,to make a good impression or give your best effort,充分展示自己的才能和优势，尽力做到最好,最善の状態や能力を発揮すること
2867,put your cards on the table,to be honest and open about one's intentions or feelings; to reveal one's true thoughts or motivations,将你的意图或真实想法公开或明确表示出来,本当の意図や目的を明らかにする; 素直に話す
2868,put your foot down,assert yourself or take a firm stance,坚定立场，坚决拒绝或反对某事,断固として行動することまたは意見を主張すること
2869,put your foot in it,To say or do something that accidentally offends or upsets someone,说错话，做出失礼的或尴尬的事情,言ってはいけないことを言ってしまう、または失言する
2870,put your heads together,to collaborate or work together on a problem or task,集思广益，共同解决问题,協力して問題を解決しようとする
2871,put your oar in,"to interfere or meddle in a situation or conversation, often unwelcome or without invitation",插手或干预他人的事务,おせっかいを焼く、余計な口を挟む
2872,put your shoulder to the wheel,to work hard and make a strong effort to achieve something,全力以赴，特别是在面临困难或挑战时努力工作,全力で働く、努力する、尽力する
2873,put yourself in my place/shoes,to imagine oneself in someone else's situation or circumstances in order to understand or empathize with them,设身处地为我着想,私の立場や立場に自分自身を置く
2874,put yourself in someone's shoes,To imagine oneself in someone else's situation in order to understand and empathize with them.,设身处地地理解对方的处境,他人の立場になって考えること、感じること、または理解すること
2875,quake in _ boots,to be extremely scared or frightened,大受惊吓、害怕得不知所措,非常に怖がる
2876,quality time,to spend meaningful and valuable time with someone,质量时间，即与家人或亲密朋友一起度过的有意义的时间,充実した時間
2877,quantum leap,a significant and often sudden advancement or improvement,巨大的飞跃或进步,大幅な進化や飛躍的な進歩
2878,queer pitch,an unusual or strange situation or circumstance,一个奇怪或不寻常的建议或计划,奇妙な状況
2879,queer someone's pitch,to spoil someone's plans or actions,破坏或扰乱某人的计划或企图,誰かの計画や目的を中断するか妨害する
2880,queer street,to be in a difficult or undesirable situation,经历困难或困境的状态,苦難や経済的な問題がある状況
2881,queer the pitch,to spoil or disrupt a plan or situation,破坏计划或干扰其他人的行动,計画や試みをだめにすること、邪魔をすること
2882,question of time,"something that will eventually happen, but it is uncertain when it will occur",只是时间的问题,時間の問題
2883,qui vive,on the lookout; being watchful or vigilant,警惕,徹底的な警戒状態である
2884,quick as a flash,Extremely quick or fast,迅速无比；快得像闪电一样,非常に速く行動すること
2885,quick as a wink,"very fast or quickly, almost instantaneously",非常迅速地；像眨眼一样快速,非常に速い、短時間で行われる
2886,quick one,"a drink consumed quickly, often referring to an alcoholic beverage",极短的时间内完成某事,酒場で飲むためにちょっとした時間を取ること。
2887,quiet as a mouse,very quiet; making little or no noise,像老鼠一样安静,非常に静かで、音や騒ぎがないこと
2888,quote a price,to state or provide a specific price for something,提出一个价格,値段を提示する
2889,rIP,Rest in peace; used as a way to express condolences after someone has died.,睡眠进程,破壊することや壊すこと。または、非常に速い速度で動くこと。
2890,rSVP,Please respond,请回复,返信をお願いします
2891,rabbit and pork,"talk; specifically to chat, babble, or gossip",告诉谎言或谎言，尤其是为了逃避责任,嘘やでたらめの話
2892,rabbit hole,"to delve into a subject or topic, often in a thorough or obsessive manner",進入一個容易迷失或陷入困境的情況或話題,疑問や関心が生じる行動や情報の追求
2893,race against time,to work against a rapidly approaching deadline or limited time period; to attempt to complete a task or achieve a goal in a very short amount of time,与时间赛跑；争分夺秒,時間との競争をする。制限時間内に何かを成し遂げるために必死になる。
2894,rack one's brain,to put a lot of mental effort into trying to remember or solve something,竭尽全力思考某事，尤其是为了解决问题或找到答案,頭を悩ませる、考え込む
2895,rack your brain,to struggle to think of or remember something,费尽心思，苦思冥想,難しい問題を解決しようと必死に頭を使う
2896,rag head,This is a derogatory term used to refer to someone who wears a turban or headscarf.,"Asian person, typically derogatory",イスラム教徒を侮辱的にさす言葉
2897,rags to riches,Going from poverty or a lowly position to wealth or success.,从贫穷到富有,一文無しの状態から富と成功を手にすること
2898,rain cats and dogs,to rain heavily,大雨如注,雨が激しく降ること
2899,rain check,to postpone or reschedule a planned event or activity,下雨时避免做一件事情，暂时搁置,約束の延期
2900,rain on someone's parade,to spoil someone's plans or dampen their excitement,给某人泼冷水，或者扫某人的兴,他人の楽しみや期待に水を差すこと
2901,rain or shine,regardless of the weather conditions; in any circumstances or conditions,无论是晴天还是雨天，表示无论外部条件如何，仍然会坚持做某事,どんな天気でも
2902,raining cats and dogs,to rain very heavily,倾盆大雨,大雨が降っている
2903,raise Cain,to cause a lot of trouble; to create a disturbance,制造麻烦、大吵大闹或引起混乱,大騒ぎする
2904,raise eyebrows,"to cause surprise, shock, or disapproval",引起不满或惊讶，使人瞪大眼睛,驚きや不満を示すために眉を上げること。個人の行動や発言に対して興味深く、驚いたり、不審に思ったりすること。
2905,raise hell,"to cause chaos, create a disturbance, or make a fuss",大发雷霆，制造麻烦或混乱，发出强烈抗议或抱怨,大騒ぎする、騒ぎ立てる
2906,raise the roof,to make a lot of noise or create a lively and energetic atmosphere,大声嚷嚷或喧闹地表达情感，通常是愤怒、兴奋或激动,大いに騒ぐ、盛り上がる
2907,raising eyebrows,"causing surprise, shock, or disapproval",引起注意或不滿的行為或事物,驚きや不満を示すこと
2908,rake over old coals,To bring up or revisit past issues or grievances,揭开已过去的事情，特别是令人不快的事情，重新提起，再次讨论或争论,過去の嫌な思い出を再び話し合う
2909,rake over the coals,"to criticize or reprimand severely; to question or examine closely and thoroughly, particularly with regards to past mistakes or missteps",追究过去的错误或不愉快的经历,過去の失敗や過ちについて非難や批判を受ける
2910,rank and file,members of a group or organization who do ordinary jobs and have no positions of power or authority,普通基层成员或群众,普通の人々、一般のメンバー
2911,rare bird,an unusual or exceptional person or thing; someone or something that is unique or uncommon,稀有的人或事物,稀少な存在、特異な人
2912,rat race,a competitive and demanding world or situation in which people are constantly striving to get ahead,竞争激烈的工作环境,過度な競争やストレスのある忙しい社会生活
2913,rattle someone's cage,to provoke or irritate someone intentionally,惹恼或激怒某人,誰かを怒らせたりいら立たせたりする
2914,raw deal,an unfair or unfavorable treatment or situation,不公正待遇或不公平交易,不公平な扱い
2915,ray of sunshine,someone who brings happiness or joy into a situation,一个带来希望、快乐或积极气息的人或事物,明るい光明、希望、喜びをもたらす人や物
2916,reach for the stars,to set ambitious goals or strive for great success,追求雄心壮志或采取大胆行动，追求高于平凡的目标,大志を抱き、高い目標を追い求める
2917,read _ riot act,to scold or reprimand someone severely,训斥某人严厉地告诫或警告某人,制裁を加えるために厳重な警告を与える
2918,read between _ lines,to understand the hidden or implied meaning in a conversation or situation,读懂言外之意,行間を読む
2919,read between the lines,To understand the hidden or implied meanings; to infer or deduce information that is not explicitly stated,看出行文背后的真实含义，理解言外之意。,言葉の裏を読む; 説明されていない意味を理解する
2920,read my lips,to pay close attention and listen carefully to what I am saying,听好了，我说的每个字都是真的,鉄砲を読む、しっかりと口言いする
2921,read the riot act,to reprimand or scold someone severely,告诫或训斥某人，通常指严厉地警告某人停止行为,厳重注意を促すこと
2922,recharge your batteries,"to take a break from work or responsibilities in order to rest, relax, and regain energy or motivation",重新充电，恢复活力,エネルギーを回復させる
2923,red,to be in debt or in financial difficulty,红色,高いレベルの警戒心や緊張を伴う
2924,red flag,warning sign or indicator of potential danger or problem,警示或警告的迹象或标志,警戒すべき兆候や危険な状況のこと。何かが問題やリスクを示唆していること。
2925,red handed,to be caught in the act of doing something wrong or illegal,当场抓到、当场被发现犯罪或不当行为的状态,現行犯で、犯罪や非合法な行為をしているところを捕まえる
2926,red herring,something that is intended to divert attention from the real issue or problem,误导、分散注意力或引入无关信息以使人产生错误推断或判断,迷惑な話題、情報、要素が、注意をそらすために用意されたもの
2927,red ink,loss or debt; financial deficit,财务亏损或财政困境。通常用于描述财政预算或帐目。,負債、赤字、もしくは経済的な悪化を示すこと
2928,red letter day,"a special, memorable, or significant day",值得庆祝的日子，重要的日子,特別な日、特に楽しい日
2929,red tape,excessive bureaucracy or rigid adherence to rules and regulations,繁文缛节；官僚主义；冗长的程序,煩雑な手続き、ほころびのない規則、または官僚主義
2930,red-letter day,"an important or memorable day, often associated with a significant event or achievement",重要的日子,特別な日、記念すべき日、幸運な日、または重要な出来事が起こる日
2931,reds under the bed,the idea that there are hidden or perceived communist sympathizers or threats,（对共产主义的）害怕、怀疑或威胁的恐慌感。,赤色が下にある
2932,reinvent _ wheel,to waste time or effort trying to create or do something that already exists or has already been done,重复发明某物，指浪费时间和精力重新创造不必要的事物,無駄な努力をせず、既存のものを再利用する
2933,reinvent the wheel,"to unnecessarily create or do something that has already been done or created before, often resulting in wasted time and effort",重复造轮子；白费力气做事,お手軽で効果的な方法がすでにあるのに、無駄な手間と努力をかけて新しい方法を考案する
2934,religious about doing something,to be extremely dedicated and committed to doing something consistently and faithfully,对某事非常认真和坚持的；对某事非常有信仰和虔诚的,何かを非常に熱心に宗教的なように行う
2935,rest on your laurels,to rely on past achievements instead of continuing to work hard or strive for further success,沉湎于过去的成就或荣耀中，不再努力进取,過去の栄光に甘んじて、努力や成果を放棄する
2936,rest up,to relax and recover one's energy or strength,休息并恢复体力,休んで回復する
2937,revenge porn,"a form of harassment and abuse where explicit images or videos of someone are shared without their consent, typically with the intention of embarrassing, shaming, or seeking revenge on the person depicted",报复色情,復讐ポルノ
2938,rewrite history,to change or manipulate the facts or events of the past in order to present a different narrative or interpretation,篡改历史,歴史を書き換える
2939,rhyme or reason,logic or explanation; a sensible or rational basis for something,没有头绪，毫无道理或逻辑,何か意味や理由があるかどうか
2940,ride for a fall,"to be heading for trouble or failure, often due to reckless behavior",冒险以失败结束,失敗を招く行動をする; よくばって自滅する
2941,ride herd on,to closely manage or supervise someone or something,对某人或某事紧密监管或控制,注意深く管理または監督する
2942,ride high,"to be successful, triumphant, or in a position of power or advantage",非常成功或幸运,成功や勝利を収めている状況にある
2943,ride roughshod over,"to act without consideration or concern for others, often causing harm or offense",横行霸道地对待；不顾他人感受地行事,無視して押し通す、傍若無人に扱う
2944,ride shotgun,"to sit in the front passenger seat of a vehicle, especially beside the driver",坐在汽车中最前方的座位上，负责看守并保护,非常に近くに居る副ドライバーとして乗ること。また、重要な役割を果たすこと
2945,ride the rails,"to travel by train, typically illegally or as a vagrant",以火车为交通工具旅行,列車に乗って移動すること、特に無賃で
2946,riding shotgun,to sit in the front passenger seat of a vehicle,坐在汽车前座旁边，负责保护司机和乘客,乗車する場合、ドライバーの隣に座ること
2947,right around the corner,imminent; about to happen soon,即将发生，就在附近,すぐそこにある、直ぐそばにある
2948,right as rain,perfectly fine or in good health,非常健康或完美，一切都很顺利,とても健康で調子が良い
2949,right away,immediately or without delay,立刻，马上,すぐに
2950,right down to,"completely, including every detail or aspect",一直到最后一个细节；涵盖所有的方面,最終的な詳細まで正確に
2951,right on the button,exactly correct or accurate; precisely on time or at the expected moment,正好及时；恰到好处；准确无误,まさにその点で正確であること
2952,right up your street,perfectly suited to your interests or preferences,非常适合你的兴趣或技能的事情,自分にとって最適なもの、合っていること、関心や能力にぴったり合っていること
2953,ring _ bell,to sound familiar or to trigger a memory,让某人想起或熟悉某人或某事物,記憶が蘇ります、思い出します
2954,ring a bell,to sound familiar or remind someone of something,声名熟悉，使人想起或回忆起某人或某事,どこかで聞いたことがある、あるいは覚えていること
2955,ring fence,"to protect or separate something, usually a resource or investment, from being affected by external factors or risks",设防，将某物或某人保护起来以防止其受到外部干扰或侵害,厳格に保護する
2956,ring fencing,"setting apart or protecting specific resources, assets, or interests from being affected or used for other purposes or activities",保护、隔离或限制某些事物，以防止其受到外部影响或损害的行动或策略。,特定の資産や利益を保護するために設ける制約や措置
2957,ring off the hook,to have a lot of phone calls or inquiries coming in,电话响个不停,忙しい状態で、電話がひっきりなしに鳴り続ける
2958,rings a bell,to sound familiar or to remind someone of something,让人想起或回想起某事；听到或看到某事时觉得熟悉或熟知,記憶を呼び起こす、何かについておぼろげな記憶がある
2959,ripe old age,living to a very old age,高寿，长寿,大往生の年齢
2960,rise and shine,to wake up and start the day energetically,起床，醒来并且精神焕发,起きて元気になる
2961,rise from the ashes,to experience a significant recovery or resurgence after a setback or failure,从灰烬中崛起；重新恢复；重生,破滅や困難から生まれ変わり、成功や回復を遂げる
2962,rise through the ranks,"to advance in a hierarchical or organizational structure, typically through hard work and dedication",逐渐在组织或职业中晋升或提升,階級を昇進する、上昇する
2963,rise to the occasion,To meet the challenge or perform well in a difficult or demanding situation,应对某种挑战或压力，并表现出色或成功地完成任务,困難な状況に対応する; 期待に応える
2964,road rage,extreme anger or aggression displayed by a driver in response to traffic-related frustrations,道路愤怒，指在开车过程中因为愤怒而表现出的攻击性或暴力行为,車の中で感情的になって他の運転手や歩行者に対して攻撃的な行動をすること
2965,roaring trade,vigorous and successful business activity,畅销货,非常に活発な取引またはビジネス
2966,rob Peter to pay Paul,"to take from one source to provide for another, often leading to a never-ending cycle of debts or problems",以不当手段取得资金或资源以解决当前的问题，但同时增加了其他问题或困难,ピーターから盗んでポールに支払う
2967,rock bottom,"the lowest possible point, the absolute bottom",触底，已经到达最低点,最低限の状態に到達する
2968,rock the boat,to cause trouble or disturbances; to upset the status quo,引起麻烦或争议,波風を立てること、問題を引き起こすこと
2969,roll one's sleeves up,to prepare to work hard or get down to business,做准备；开始努力工作,準備をして、本気で取り組む
2970,roll the dice,to take a risk or chance on something,冒险尝试或做出决定，尽管存在风险或不确定性,運命を決めるために冒険をする、リスクを取る
2971,roll up your sleeves,to prepare for hard work or to get ready to take on a challenging task,把袖子卷起来,腕まくりをする
2972,roll with the punches,to adapt and persevere through difficult or challenging situations,应对逆境或困难，灵活适应变化,困難や逆境にうまく対応し、柔軟に対処する
2973,rome was not built in one day,It takes time and effort to accomplish something big or significant.,罗马不是一天建成的,一日でローマが建つわけではない
2974,rome wasn't built in a day,deeds or projects of great magnitude or significance take time and cannot be completed quickly or easily,罗马并非一日之功,ローマは一日にして成らず
2975,roof something over,to cover or enclose something with a roof,在屋顶上盖上东西，使之变为封闭的空间,何かを覆い隠す
2976,root and branch,"to completely eradicate or eliminate something, usually referring to a problem or issue",从根本上，彻底地,根本から完全に取り除く
2977,rosie Lea,a cup of tea,香浓的红茶,おしゃべりやハートづかいを含んだお茶会
2978,rough and ready,"improvised or hastily prepared, but still effective or usable",粗糙但有效的，常常不拘束于规则或细节的,即興の、準備不足ながらも十分に機能する
2979,rough and tumble,to engage in a vigorous or competitive physical activity or argument,激烈的争论、冲突或斗争；粗鲁或无序的环境或情况,乱闘や喧嘩のような物理的な活動や競争の激しい状況
2980,rough around the edges,having a few imperfections or rough qualities; not refined or polished,外表或举止粗糙，有待改进,荒っぽい印象を与える; 未熟な; 手入れが行き届いていない
2981,rough edges,unrefined or unpolished aspects or behavior,粗糙的地方或不完美的部分,未熟な部分や問題点
2982,rough time,going through a difficult or challenging period,困难时期、艰难时期,苦しい時期、困難な状況
2983,round the bend,to be crazy or insane,变得疯狂或神经错乱,気が狂う、頭がおかしくなる
2984,round the clock,"continuous or non-stop, without interruption or pause",连续不断地进行,連続して24時間やり続けること
2985,rub shoulders,"to interact or associate with someone, typically of higher rank or status; to come into contact with someone or something influential or important",接触或和一些重要或有影响力的人在一起,親しく接する
2986,rub someone the wrong way,to irritate or annoy someone,惹恼某人；让某人感到不舒服,誰かをいら立たせたり不快にさせたりする
2987,rub someone up the wrong way,"to irritate or annoy someone, often unintentionally",惹人讨厌或惹恼别人,誰かをいら立たせたり、不快な気分にさせたりすること。
2988,rub the wrong way,to irritate or annoy someone,使某人不悦或触怒；激怒某人,いら立たせる、不快な感情を引き起こす
2989,ruby Murray,curry,指印度料理，特别是印度著名的咖喱菜肴,カレー
2990,ruffle someone's feathers,to irritate or provoke someone; to upset or disturb someone,惹恼某人; 惹火某人,誰かを怒らせるまたはいらいらさせる
2991,rule of thumb,"a practical principle or guideline based on experience or common sense, rather than strict rules or scientific measurements",经验法则、经验守则，指一种基于实践或经验的快速决策或评估方法,目安としての法則、一般的なガイドラインや近似値のことを指す言葉
2992,rule out,to eliminate as a possibility,排除掉一种可能性或选择；将某事物视为不可能或不适合的选项,除外する、考慮しない
2993,rule the roost,to be in control or have authority over a situation or group,支配、控制或主导某个群体、组织或环境,全体の中で支配的な地位を持つ。主導権を握る。
2994,run a mile,to actively avoid or distance oneself from something or someone,敬而远之；迅速逃离或回避某人或某事,避けるために速く逃げること
2995,run a red light,"to drive through an intersection when the traffic signal is showing red, indicating one should stop",闯红灯,赤信号を無視して通り抜ける
2996,run a tight ship,to have strict control over an organization or situation,严管秩序；严格管理,厳格な管理を行う、組織を効率的に運営する
2997,run amok,"to behave in a wild, out-of-control, or violent manner",失去控制，暴走，疯狂地进行某种活动或行为,制御を失い、無秩序な行動を取ること。大暴れすること。
2998,run amok (amuck),"to behave uncontrollably and with wild, unrestrained behavior",疯狂行动，失去自我控制，造成混乱,暴れ回る、理性を失い暴れる
2999,run before you can walk,to try to do something advanced or complicated before mastering the basic or necessary skills,學會基礎知識之前就去做比较困難或复杂的事情,歩く前に走る
3000,run for _ life,to flee or escape in order to save one's life,千方百计地逃跑或保护自己的生命,_の命をかけて逃げる
3001,run for cover,to seek protection or shelter in anticipation of danger or trouble,迅速寻找保护，逃避危险或困难的行动,危険や災害から逃れるために、速やかに避難すること
3002,run for one's life,to flee or escape as quickly as possible due to imminent danger or threat,拼命逃跑；全力奔跑以确保生命安全,一命をかけて逃げる
3003,run into the sand,to lose momentum or come to a halt; to fail or be abandoned,失去动力或进展停滞,計画や努力が失敗に終わること、実現されないこと
3004,run like the wind,to run very fast,飞快地跑,とても速く走る
3005,run out,to exhaust or deplete the supply of something,耗尽、用完、没有剩余,使い果たすこと、在庫が尽きること、使えなくなること、準備が整っていないこと
3006,run out of gas,"to completely lose energy, motivation, or resources; to exhaust oneself or one's supplies",用完汽油，靠边停车，不能继续行驶,エネルギー、意欲、資源などを使い果たす。エネルギーや力が尽きる。進行、作業、行動などが中断する。
3007,run out of steam,"to lose energy, motivation, or momentum; to tire or exhaust",失去动力或能量，力不从心,エネルギーや興味を失い、途中でやる気をなくす
3008,run riot,"to behave in a wild, uncontrolled, or unrestrained manner",放肆行为；放荡不羁；放纵自己,乱暴に振る舞う、制御不能で異常なほどに騒ぐこと
