Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,ai_generated_idioms,English_Idiom,english_idiom,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
बत्तीसी दिखाना,हंसना,"To show one's teeth (i.e., to smile broadly)",उसने एक जोक सुनाया और सबकी बत्तीसी दिखने लगी।,"```json
{
  ""Hindi idiom"": ""बत्तीसी दिखाना"",
  ""English definition"": ""To smile broadly, showing all one's teeth"",
  ""English idiom 1"": ""Grin from ear to ear"",
  ""English idiom 2"": ""Beam with joy"",
  ""English idiom 3"": ""Smile like a Cheshire cat""
}
```",,Grin from ear to ear,"'बत्तीसी दिखाना' means 'Grin from ear to ear'. Given the above knowledge, translate this sentence to English: 'उसने एक जोक सुनाया और सबकी बत्तीसी दिखने लगी।'",He told a joke and everyone grinned from ear to ear.,"""He told a joke and everyone started grinning from ear to ear.""",3,3,3,3
मुँह का मिठू,खुद की तारीफ करने वाला,Sweet talker,"वह अपनी ही तारीफ करता रहता है, जैसे मुँह का मिठू हो।","```json
{
  ""Hindi idiom"": ""मुँह का मिठू"",
  ""English definition"": ""A person who is overly flattering or sycophantic, often to gain favor or advantages."",
  ""English idiom 1"": ""Apple polisher"",
  ""English idiom 2"": ""Brown-noser"",
  ""English idiom 3"": ""Kiss up""
}
```",,Brown-noser,"'मुँह का मिठू' means 'Brown-noser'. Given the above knowledge, translate this sentence to English: 'वह अपनी ही तारीफ करता रहता है, जैसे मुँह का मिठू हो।'",He keeps praising himself as if he is a brown-noser.,"""He keeps praising himself, like a brown-noser.""",2,1,2,1
मुँह का पानी उड़ाना,किसी चीज़ का आनंद लेना,To be astonished.,उसने स्वादिष्ट मिठाई का मुँह का पानी उड़ाया।,"```json
{
  ""Hindi idiom"": ""मुँह का पानी उड़ाना"",
  ""English definition"": ""To lose one's appetite or to become uninterested in food due to an unpleasant sight or smell."",
  ""English idiom 1"": ""Lose one's appetite"",
  ""English idiom 2"": ""Turn one's stomach"",
  ""English idiom 3"": """"
}
```",,Turn one's stomach,"'मुँह का पानी उड़ाना' means 'Turn one's stomach'. Given the above knowledge, translate this sentence to English: 'उसने स्वादिष्ट मिठाई का मुँह का पानी उड़ाया।'",He turned his stomach at the delicious dessert.,'He turned his stomach at the delicious sweet.',1,1,1,1
मुँह में जीभ दबाना,खामोश हो जाना,To remain silent,उसकी डांट सुनकर वह मुँह में जीभ दबा कर बैठ गया।,"{
  ""Hindi idiom"": ""मुँह में जीभ दबाना"",
  ""English definition"": ""To remain silent or to hold one's tongue, especially when one should speak out."",
  ""English idiom 1"": ""Hold one's tongue"",
  ""English idiom 2"": ""Bite your tongue"",
  ""English idiom 3"": ""Keep mum""
}",,Hold one's tongue,"'मुँह में जीभ दबाना' means 'Hold one's tongue'. Given the above knowledge, translate this sentence to English: 'उसकी डांट सुनकर वह मुँह में जीभ दबा कर बैठ गया।'","After hearing his scolding, he held his tongue.","""After hearing his scolding, he held his tongue and sat down.""",3,2,3,2
मुँह में घी शक्कर,शुभकामनाएँ देना,May your words come true.,उसके अच्छे भविष्य के लिए मैंने मुँह में घी शक्कर कहा।,"```json
{
  ""Hindi idiom"": ""मुँह में घी शक्कर"",
  ""English definition"": ""Used to express gratitude or goodwill for someone's positive words or wishes, often implying that these words may bring good fortune."",
  ""English idiom 1"": ""From your lips to God's ears"",
  ""English idiom 2"": ""Bless your heart"",
  ""English idiom 3"": null
}
```",,From your lips to God's ears,"'मुँह में घी शक्कर' means 'From your lips to God's ears'. Given the above knowledge, translate this sentence to English: 'उसके अच्छे भविष्य के लिए मैंने मुँह में घी शक्कर कहा।'",I wished for his bright future.,"""I said 'from your lips to God's ears' for his good future.""",2,1,1,1
मुँह में अंगुली डालकर हँसाना,जबरदस्ती हँसाना,To make someone laugh by putting a finger in their mouth.,उसने हमें मुँह में अंगुली डालकर हँसाया।,"```json
{
    ""Hindi idiom"": ""मुँह में अंगुली डालकर हँसाना"",
    ""English definition"": ""To make someone laugh despite themselves, often by surprising or impressing them."",
    ""English idiom 1"": ""Tickle someone's funny bone"",
    ""English idiom 2"": ""Have someone in stitches"",
    ""English idiom 3"": ""Crack someone up""
}
```",,Tickle someone's funny bone,"'मुँह में अंगुली डालकर हँसाना' means 'Tickle someone's funny bone'. Given the above knowledge, translate this sentence to English: 'उसने हमें मुँह में अंगुली डालकर हँसाया।'",He tickled us by putting his finger in our mouth.,He tickled our funny bone.,1,1,3,3
मुँह का मिठाई घुलना,अत्यधिक प्रसन्न होना,Sweetness melting in the mouth,उसकी तारीफ सुनकर मेरे मुँह में मिठाई घुल गई।,"```json
{
  ""Hindi idiom"": ""मुँह का मिठाई घुलना"",
  ""English definition"": ""To experience a moment of sweetness or pleasure, often unexpectedly."",
  ""English idiom 1"": ""A sweet surprise"",
  ""English idiom 2"": ""A pleasant surprise"",
  ""English idiom 3"": ""A moment of sweetness""
}
```",,A sweet surprise,"'मुँह का मिठाई घुलना' means 'A sweet surprise'. Given the above knowledge, translate this sentence to English: 'उसकी तारीफ सुनकर मेरे मुँह में मिठाई घुल गई।'","Listening to his praise, I was pleasantly surprised.","""Hearing his praise filled my mouth with sweetness.""",2,1,3,1
मुँह की बात कहना,साफ-साफ अपनी बात कहना,To speak one's mind,उसने मुँह की बात कही और सबने समझ लिया।,"```json
{
  ""Hindi idiom"": ""मुँह की बात कहना"",
  ""English definition"": ""To say exactly what someone else is thinking or feeling"",
  ""English idiom 1"": ""Speak one's mind"",
  ""English idiom 2"": ""Read my mind"",
  ""English idiom 3"": ""Hit the nail on the head""
}
```",,Speak one's mind,"'मुँह की बात कहना' means 'Speak one's mind'. Given the above knowledge, translate this sentence to English: 'उसने मुँह की बात कही और सबने समझ लिया।'",He spoke his mind and everyone understood.,"""He spoke his mind and everyone understood.""",3,1,3,1
भूल सुधारना,गलती ठीक करना,Correcting a mistake,उसे अपनी भूल सुधारनी चाहिए।,"```json
{
  ""Hindi idiom"": ""भूल सुधारना"",
  ""English definition"": ""To correct a mistake"",
  ""English idiom 1"": ""To make amends"",
  ""English idiom 2"": ""Right the wrong"",
  ""English idiom 3"": ""Set things right""
}
```",,To make amends,"'भूल सुधारना' means 'To make amends'. Given the above knowledge, translate this sentence to English: 'उसे अपनी भूल सुधारनी चाहिए।'",He should make amends for his mistake.,He should make amends for his mistake.,3,3,3,3
अंगूठा दिखाना।,इनकार करना।,To show a thumb.,जब कृष्णगोपाल मन्त्री बने थे तो उन्होंने किशोरी को आश्वासन दिया था कि जब उसका बेटा इण्टर कर लेगा तो वह उसकी नौकरी लगवा देंगे। बेटे के प्रथम श्रेणी में उत्तीर्ण होने पर किशोरी ने उन्हें याद दिलाई तो उन्होंने उसे अँगूठा दिखा दिया।,"```json
{
  ""Hindi idiom"": ""अंगूठा दिखाना।"",
  ""English definition"": ""To refuse or decline to do something, often in a dismissive or defiant manner."",
  ""English idiom 1"": ""Thumb one's nose"",
  ""English idiom 2"": ""Turn a blind eye"",
  ""English idiom 3"": ""Give the cold shoulder""
}
```",,Thumb one's nose,"'अंगूठा दिखाना।' means 'Thumb one's nose'. Given the above knowledge, translate this sentence to English: 'जब कृष्णगोपाल मन्त्री बने थे तो उन्होंने किशोरी को आश्वासन दिया था कि जब उसका बेटा इण्टर कर लेगा तो वह उसकी नौकरी लगवा देंगे। बेटे के प्रथम श्रेणी में उत्तीर्ण होने पर किशोरी ने उन्हें याद दिलाई तो उन्होंने उसे अँगूठा दिखा दिया।'","When Krishna Gopal became a minister, he had assured Kishori that when her son completes his intermediate studies, he will arrange a job for him. When the son passed the first class with distinction, Kishori reminded him of his promise, but he thumb his nose at her.","""When Krishnagopal became a minister, he assured Kishori that when her son completed his intermediate studies, he would get him a job. When her son passed with first division, Kishori reminded him of his promise, but he thumbed his nose at her.""",2,1,3,2
मुँह पर पानी फेरना,किसी की मेहनत को बेकार करना,To ruin something completely.,उसने मेरी सारी मेहनत पर मुँह पर पानी फेर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह पर पानी फेरना"",
  ""English definition"": ""To ruin or spoil someone's efforts or plans"",
  ""English idiom 1"": ""Throw a wrench in the works"",
  ""English idiom 2"": ""Rain on someone's parade"",
  ""English idiom 3"": ""Spill the beans""
}
```",,Throw a wrench in the works,"'मुँह पर पानी फेरना' means 'Throw a wrench in the works'. Given the above knowledge, translate this sentence to English: 'उसने मेरी सारी मेहनत पर मुँह पर पानी फेर दिया।'",He threw a wrench in all my hard work.,He threw a wrench in all my hard work.,3,3,3,3
मुँह चिढ़ाना,ताना मारना,To tease,उसकी गलती पर दोस्त ने मुँह चिढ़ाया।,"```json
{
  ""Hindi idiom"": ""मुँह चिढ़ाना"",
  ""English definition"": ""To mock or tease someone in a way that shows disrespect or contempt"",
  ""English idiom 1"": ""Thumb one's nose at"",
  ""English idiom 2"": ""Stick out one's tongue at"",
  ""English idiom 3"": ""Give the finger""
}
```",,Thumb one's nose at,"'मुँह चिढ़ाना' means 'Thumb one's nose at'. Given the above knowledge, translate this sentence to English: 'उसकी गलती पर दोस्त ने मुँह चिढ़ाया।'",His friend thumbed his nose at his mistake.,"""His friend thumbed his nose at his mistake.""",2,3,2,3
बेजोड़ होना,अद्वितीय होना,To be unparalleled,ताजमहल की खूबसूरती बेजोड़ है।,"```json
{
  ""Hindi idiom"": ""बेजोड़ होना"",
  ""English definition"": ""To be unmatched or unparalleled."",
  ""English idiom 1"": ""One of a kind"",
  ""English idiom 2"": ""In a league of one's own"",
  ""English idiom 3"": ""Second to none""
}
```",,Second to none,"'बेजोड़ होना' means 'Second to none'. Given the above knowledge, translate this sentence to English: 'ताजमहल की खूबसूरती बेजोड़ है।'",The beauty of the Taj Mahal is second to none.,"""The beauty of the Taj Mahal is second to none.""",3,3,3,3
बड़ा मुँह करना,अधिक बोलना,To boast,बच्चों को बड़ा मुँह करने की आदत नहीं होनी चाहिए।,"```json
{
    ""Hindi idiom"": ""बड़ा मुँह करना"",
    ""English definition"": ""To boast or brag excessively about oneself"",
    ""English idiom 1"": ""Blow one's own trumpet"",
    ""English idiom 2"": ""Toot one's own horn"",
    ""English idiom 3"": ""Full of hot air""
}
```",,Blow one's own trumpet,"'बड़ा मुँह करना' means 'Blow one's own trumpet'. Given the above knowledge, translate this sentence to English: 'बच्चों को बड़ा मुँह करने की आदत नहीं होनी चाहिए।'",Children should not develop the habit of blowing their own trumpet.,"""Children should not have the habit of blowing their own trumpet.""",2,1,2,1
मुँह छुपाना,शर्मिंदगी से किसी के सामने न जाना,Hide one's face,हार के बाद वह सबके सामने मुँह छुपाने लगा।,"```json
{
  ""Hindi idiom"": ""मुँह छुपाना"",
  ""English definition"": ""To hide one's face or to avoid facing someone due to shame or guilt."",
  ""English idiom 1"": ""Hide one's face"",
  ""English idiom 2"": ""Bury one's head in the sand"",
  ""English idiom 3"": ""Save face""
}
```",,Bury one's head in the sand,"'मुँह छुपाना' means 'Bury one's head in the sand'. Given the above knowledge, translate this sentence to English: 'हार के बाद वह सबके सामने मुँह छुपाने लगा।'","After the defeat, he started burying his head in the sand in front of everyone.","""After the defeat, he started to bury his head in the sand in front of everyone.""",2,1,2,1
मुलायम व्यवहार,शांति और सौम्यता से बात करना,Gentle behavior,उसका मुलायम व्यवहार सभी को पसंद आता है।,"```json
{
  ""Hindi idiom"": ""मुलायम व्यवहार"",
  ""English definition"": ""Soft or gentle behavior"",
  ""English idiom 1"": ""Gentle as a lamb"",
  ""English idiom 2"": ""Soft-spoken"",
  ""English idiom 3"": ""Mild-mannered""
}
```",,Gentle as a lamb,"'मुलायम व्यवहार' means 'Gentle as a lamb'. Given the above knowledge, translate this sentence to English: 'उसका मुलायम व्यवहार सभी को पसंद आता है।'",Everyone likes his gentle behavior.,Everyone likes her gentle as a lamb behavior.,3,1,3,1
मुँह में बर्फ रखना,चुप रहना,To keep silent,उसकी हरकतों पर मैंने मुँह में बर्फ रख ली।,"```json
{
  ""Hindi idiom"": ""मुँह में बर्फ रखना"",
  ""English definition"": ""To keep a secret or to remain silent despite knowing something important."",
  ""English idiom 1"": ""Hold your tongue"",
  ""English idiom 2"": ""Keep mum"",
  ""English idiom 3"": ""Zip your lip""
}
```",,Hold your tongue,"'मुँह में बर्फ रखना' means 'Hold your tongue'. Given the above knowledge, translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह में बर्फ रख ली।'",I held my tongue on his actions.,"""I held my tongue at his actions.""",3,3,3,3
मुँह पर ताला लगाना,कुछ न कहना,To keep one's mouth shut,उसकी बातों पर मैंने मुँह पर ताला लगा लिया।,"```json
{
  ""Hindi idiom"": ""मुँह पर ताला लगाना"",
  ""English definition"": ""To keep one's mouth shut or to remain silent."",
  ""English idiom 1"": ""Zip your lip"",
  ""English idiom 2"": ""Bite your tongue"",
  ""English idiom 3"": ""Keep mum""
}
```",,Zip your lip,"'मुँह पर ताला लगाना' means 'Zip your lip'. Given the above knowledge, translate this sentence to English: 'उसकी बातों पर मैंने मुँह पर ताला लगा लिया।'",I zipped my lip on his words.,"""I zipped my lip at his words.""",3,3,3,3
मुँह देख कर पानी पीना,किसी की प्रशंसा में अधिक कहना,To be cautious or reserved in one's actions.,उसने मुँह देख कर पानी पिया और सबको खुश किया।,"```json
{
    ""Hindi idiom"": ""मुँह देख कर पानी पीना"",
    ""English definition"": ""To act according to the situation or to be opportunistic."",
    ""English idiom 1"": ""To play it by ear"",
    ""English idiom 2"": ""To go with the flow"",
    ""English idiom 3"": ""To wait and see""
}
```",,To play it by ear,"'मुँह देख कर पानी पीना' means 'To play it by ear'. Given the above knowledge, translate this sentence to English: 'उसने मुँह देख कर पानी पिया और सबको खुश किया।'",He played it by ear and made everyone happy.,"""He played it by ear and made everyone happy.""",1,1,1,1
मुँह की बकबक करना,बहुत बात करना,To talk nonsense,उसकी मुँह की बकबक ने सबको परेशान कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह की बकबक करना"",
  ""English definition"": ""To talk excessively or chatter aimlessly."",
  ""English idiom 1"": ""Talk the hind legs off a donkey"",
  ""English idiom 2"": ""Chatterbox"",
  ""English idiom 3"": ""Blabbermouth""
}
```",,Talk the hind legs off a donkey,"'मुँह की बकबक करना' means 'Talk the hind legs off a donkey'. Given the above knowledge, translate this sentence to English: 'उसकी मुँह की बकबक ने सबको परेशान कर दिया।'",His non-stop talking irritated everyone.,'His incessant talking annoyed everyone.',3,2,3,2
मुँह छिपाना,शर्मिंदा होना,Hide one's face,अपनी गलती पर उसे मुँह छिपाना पड़ा।,"```json
{
  ""Hindi idiom"": ""मुँह छिपाना"",
  ""English definition"": ""To hide one's face (usually due to shame or embarrassment)"",
  ""English idiom 1"": ""Hide one's face"",
  ""English idiom 2"": ""Bury one's head in the sand"",
  ""English idiom 3"": """"
}
```",,Hide one's face,"'मुँह छिपाना' means 'Hide one's face'. Given the above knowledge, translate this sentence to English: 'अपनी गलती पर उसे मुँह छिपाना पड़ा।'",He had to hide his face for his mistake.,'He had to hide his face for his mistake.',3,2,3,2
मुँह में घी-शक्कर देना,अच्छे शब्दों में प्रशंसा करना,To wish someone well.,उसकी सफलता पर सभी ने मुँह में घी-शक्कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह में घी-शक्कर देना"",
  ""English definition"": ""To speak auspiciously or to wish for something good to happen."",
  ""English idiom 1"": ""Knock on wood"",
  ""English idiom 2"": ""Touch wood"",
  ""English idiom 3"": ""Break a leg""
}
```",,Knock on wood,"'मुँह में घी-शक्कर देना' means 'Knock on wood'. Given the above knowledge, translate this sentence to English: 'उसकी सफलता पर सभी ने मुँह में घी-शक्कर दिया।'",Everyone knocked on wood for his success.,Everyone knocked on wood for his success.,1,1,1,1
मुँह में अंगुली डालना,किसी के मामले में अनावश्यक दखल देना,To deceive or trick someone.,दूसरों के मामलों में मुँह में अंगुली डालना ठीक नहीं।,"```json
{
  ""Hindi idiom"": ""मुँह में अंगुली डालना"",
  ""English definition"": ""To make someone feel awkward or embarrassed"",
  ""English idiom 1"": ""Put someone on the spot"",
  ""English idiom 2"": ""Put someone in a tight spot"",
  ""English idiom 3"": ""Back someone into a corner""
}
```",,Put someone on the spot,"'मुँह में अंगुली डालना' means 'Put someone on the spot'. Given the above knowledge, translate this sentence to English: 'दूसरों के मामलों में मुँह में अंगुली डालना ठीक नहीं।'",Putting one's nose in other people's business is not appropriate.,"""It's not right to put someone on the spot in others' matters.""",3,3,2,1
मुँह बिचकाना,नापसंदगी दिखाना,To make a face,"जब मैंने उसे काम करने को कहा, तो उसने मुँह बिचका लिया।","```json
{
  ""Hindi idiom"": ""मुँह बिचकाना"",
  ""English definition"": ""To show displeasure or disdain by making a grimace or sour face"",
  ""English idiom 1"": ""Turn up one's nose"",
  ""English idiom 2"": ""Make a face"",
  ""English idiom 3"": ""Purse one's lips""
}
```",,Turn up one's nose,"'मुँह बिचकाना' means 'Turn up one's nose'. Given the above knowledge, translate this sentence to English: 'जब मैंने उसे काम करने को कहा, तो उसने मुँह बिचका लिया।'","When I asked him to work, he turned up his nose.","""When I asked him to work, he turned up his nose.""",3,3,3,3
मुँह का निवाला छीनना,किसी की मेहनत का फल छीन लेना,To snatch food from someone's mouth,"उसके प्रमोशन को रोककर, बॉस ने उसके मुँह का निवाला छीन लिया।","```json
{
  ""Hindi idiom"": ""मुँह का निवाला छीनना"",
  ""English definition"": ""To take away something that someone is about to receive or is entitled to, often something essential or very desired."",
  ""English idiom 1"": ""Snatch the bread out of someone's mouth"",
  ""English idiom 2"": ""Take the food from someone's mouth"",
  ""English idiom 3"": ""Rob Peter to pay Paul""
}
```",,Snatch the bread out of someone's mouth,"'मुँह का निवाला छीनना' means 'Snatch the bread out of someone's mouth'. Given the above knowledge, translate this sentence to English: 'उसके प्रमोशन को रोककर, बॉस ने उसके मुँह का निवाला छीन लिया।'","By stopping his promotion, the boss snatched the bread out of his mouth.","""By stopping his promotion, the boss snatched the bread out of his mouth.""",3,2,3,2
मुँह में शब्द न फूटना,कुछ भी न बोल पाना,To be at a loss for words,उसकी अप्रत्याशित सफलता पर मेरे मुँह में शब्द नहीं फूटे।,"```json
{
  ""Hindi idiom"": ""मुँह में शब्द न फूटना"",
  ""English definition"": ""Being unable to speak or express oneself, often due to shyness or nervousness"",
  ""English idiom 1"": ""Cat got your tongue?"",
  ""English idiom 2"": ""At a loss for words"",
  ""English idiom 3"": ""Tongue-tied""
}
```",,Cat got your tongue?,"'मुँह में शब्द न फूटना' means 'Cat got your tongue?'. Given the above knowledge, translate this sentence to English: 'उसकी अप्रत्याशित सफलता पर मेरे मुँह में शब्द नहीं फूटे।'",I was speechless at his unexpected success.,"""I was at a loss for words at his unexpected success.""",3,3,3,3
मुँह की बात करना,अपनी इच्छा बताना,To speak one's mind,मैंने अपनी मुँह की बात कही और वह मान गया।,"```json
{
  ""Hindi idiom"": ""मुँह की बात करना"",
  ""English definition"": ""To speak one's mind or to say what one is thinking"",
  ""English idiom 1"": ""Speak one's mind"",
  ""English idiom 2"": ""Get something off one's chest"",
  ""English idiom 3"": ""Speak out""
}
```",,Speak one's mind,"'मुँह की बात करना' means 'Speak one's mind'. Given the above knowledge, translate this sentence to English: 'मैंने अपनी मुँह की बात कही और वह मान गया।'",I spoke my mind and he agreed.,"""I spoke my mind and he agreed.""",3,3,3,3
मुँह का मिट्टी होना,अपमानित होना,To be humiliated,उसकी बेइज्जती ने उसके मुँह का मिट्टी कर दिया।,"```json
{
  ""Hindi idiom"": ""मुँह का मिट्टी होना"",
  ""English definition"": ""To be utterly embarrassed or humiliated"",
  ""English idiom 1"": ""To lose face"",
  ""English idiom 2"": ""Egg on one's face"",
  ""English idiom 3"": ""Eating humble pie""
}
```",,To lose face,"'मुँह का मिट्टी होना' means 'To lose face'. Given the above knowledge, translate this sentence to English: 'उसकी बेइज्जती ने उसके मुँह का मिट्टी कर दिया।'",His humiliation made him lose face.,"""His humiliation made him lose face.""",3,3,3,3
मोह त्यागना,सांसारिक इच्छाओं को छोड़ देना,Renounce attachment,संतों ने मोह त्यागकर साधना का मार्ग अपनाया।,"{
  ""Hindi idiom"": ""मोह त्यागना"",
  ""English definition"": ""To renounce attachment or to let go of one's affection or emotional attachment towards something or someone."",
  ""English idiom 1"": ""Let go"",
  ""English idiom 2"": ""Cut the cord"",
  ""English idiom 3"": ""Break the ties""
}",,Let go,"'मोह त्यागना' means 'Let go'. Given the above knowledge, translate this sentence to English: 'संतों ने मोह त्यागकर साधना का मार्ग अपनाया।'",The saints adopted the path of spirituality by letting go of attachment.,"""The saints let go and adopted the path of meditation.""",3,3,2,1
मुँह पर मिट्टी डालना,किसी के आत्म-सम्मान को ठेस पहुँचाना,To disgrace someone,उसने सबके सामने मेरी मुँह पर मिट्टी डाल दी।,"{
    ""Hindi idiom"": ""मुँह पर मिट्टी डालना"",
    ""English definition"": ""To be silent or to keep quiet, especially to avoid saying something that could cause trouble or embarrassment."",
    ""English idiom 1"": ""Bite your tongue"",
    ""English idiom 2"": ""Hold your peace"",
    ""English idiom 3"": ""Button your lip""
}",,Button your lip,"'मुँह पर मिट्टी डालना' means 'Button your lip'. Given the above knowledge, translate this sentence to English: 'उसने सबके सामने मेरी मुँह पर मिट्टी डाल दी।'",He shut me up in front of everyone.,"""He buttoned my lip in front of everyone.""",2,1,1,1
मुँह का जाला साफ करना,अपनी बात को स्पष्ट रूप से रखना,To break one's silence.,उसने अपने विचारों को मुँह का जाला साफ कर सबके सामने रखा।,"```json
{
  ""Hindi idiom"": ""मुँह का जाला साफ करना"",
  ""English definition"": ""To break a long silence or to start speaking after a long period of not talking."",
  ""English idiom 1"": ""Break the silence"",
  ""English idiom 2"": ""Clear the air"",
  ""English idiom 3"": null
}
```",,Break the silence,"'मुँह का जाला साफ करना' means 'Break the silence'. Given the above knowledge, translate this sentence to English: 'उसने अपने विचारों को मुँह का जाला साफ कर सबके सामने रखा।'",He broke the silence by expressing his thoughts openly in front of everyone.,He broke the silence and presented his thoughts to everyone.,2,2,2,2
मुँह का फेरा होना,भाग्य का साथ न देना,Change of mind,उसके साथ हमेशा मुँह का फेरा ही रहा।,"```json
{
  ""Hindi idiom"": ""मुँह का फेरा होना"",
  ""English definition"": ""To be offended or displeased with someone or something."",
  ""English idiom 1"": ""Turn up one's nose"",
  ""English idiom 2"": ""Take offense"",
  ""English idiom 3"": ""Give the cold shoulder""
}
```",,Turn up one's nose,"'मुँह का फेरा होना' means 'Turn up one's nose'. Given the above knowledge, translate this sentence to English: 'उसके साथ हमेशा मुँह का फेरा ही रहा।'",I always turned up my nose at him.,"""There was always a turn-up-the-nose attitude towards him.""",3,3,2,2
मुँह का चूना लगाना,अपमान करना,To be disappointed or embarrassed.,उसने सबके सामने उसका मुँह का चूना लगा दिया।,"```json
{
  ""Hindi idiom"": ""मुँह का चूना लगाना"",
  ""English definition"": ""To be humiliated or embarrassed"",
  ""English idiom 1"": ""Egg on your face"",
  ""English idiom 2"": ""Eat humble pie"",
  ""English idiom 3"": ""Face the music""
}
```",,Egg on your face,"'मुँह का चूना लगाना' means 'Egg on your face'. Given the above knowledge, translate this sentence to English: 'उसने सबके सामने उसका मुँह का चूना लगा दिया।'",He embarrassed himself in front of everyone.,"""He made her have egg on her face in front of everyone.""",2,1,3,3
मुँह से दूध पीना,अभी छोटा या अपरिपक्व होना,To be very naive or inexperienced.,"वह अभी मुँह से दूध पी रहा है, उसे इन मामलों की समझ नहीं है।","```json
{
    ""Hindi idiom"": ""मुँह से दूध पीना"",
    ""English definition"": ""To be very young or immature"",
    ""English idiom 1"": ""Wet behind the ears"",
    ""English idiom 2"": ""Green as grass"",
    ""English idiom 3"": ""Still a babe in the woods""
}
```",,Wet behind the ears,"'मुँह से दूध पीना' means 'Wet behind the ears'. Given the above knowledge, translate this sentence to English: 'वह अभी मुँह से दूध पी रहा है, उसे इन मामलों की समझ नहीं है।'","He is still wet behind the ears, he doesn't understand these matters.","""He is still wet behind the ears; he doesn't understand these matters.""",3,3,3,3
मुँह दिखाना,सामना करना,Show one's face,गलती करने के बाद वह सबके सामने मुँह दिखाने से डरता है।,"```json
{
  ""Hindi idiom"": ""मुँह दिखाना"",
  ""English definition"": ""To show one's face, typically after a long absence or after doing something shameful or embarrassing"",
  ""English idiom 1"": ""Show one's face"",
  ""English idiom 2"": ""Face the music"",
  ""English idiom 3"": ""Eat humble pie""
}
```",,Show one's face,"'मुँह दिखाना' means 'Show one's face'. Given the above knowledge, translate this sentence to English: 'गलती करने के बाद वह सबके सामने मुँह दिखाने से डरता है।'","After making a mistake, he is afraid to show his face in front of everyone.","'After making a mistake, he is afraid to show his face to everyone.'",3,3,3,3
मुँह लटकाना,निराश होना,To look disappointed,खराब परिणाम के बाद उसने मुँह लटका लिया।,"```json
{
  ""Hindi idiom"": ""मुँह लटकाना"",
  ""English definition"": ""To be visibly disappointed or dejected"",
  ""English idiom 1"": ""To have a long face"",
  ""English idiom 2"": ""Down in the dumps"",
  ""English idiom 3"": ""Feeling blue""
}
```",,To have a long face,"'मुँह लटकाना' means 'To have a long face'. Given the above knowledge, translate this sentence to English: 'खराब परिणाम के बाद उसने मुँह लटका लिया।'","After the bad outcome, he had a long face.","""After the bad result, he had a long face.""",3,3,3,3
मुँह का न बोलना,किसी से बातचीत बंद कर देना,Not speaking up,बहस के बाद दोनों ने एक-दूसरे से मुँह का न बोलने का फैसला किया।,"```json
{
  ""Hindi idiom"": ""मुँह का न बोलना"",
  ""English definition"": ""To keep silent or not to speak up"",
  ""English idiom 1"": ""Bite one's tongue"",
  ""English idiom 2"": ""Hold one's peace"",
  ""English idiom 3"": ""Zip one's lip""
}
```",,Bite one's tongue,"'मुँह का न बोलना' means 'Bite one's tongue'. Given the above knowledge, translate this sentence to English: 'बहस के बाद दोनों ने एक-दूसरे से मुँह का न बोलने का फैसला किया।'","After the argument, they both decided to bite their tongues.","""After the argument, both decided to bite their tongues towards each other.""",2,1,2,1
मुँह देखकर बात करना,किसी की स्थिति देखकर बात करना,To speak according to the listener's mood or preference.,वह हमेशा लोगों का मुँह देखकर बात करता है।,"```json
{
  ""Hindi idiom"": ""मुँह देखकर बात करना"",
  ""English definition"": ""To speak differently depending on the person being addressed, often to please or manipulate them."",
  ""English idiom 1"": ""Speak with a forked tongue"",
  ""English idiom 2"": ""Talk out of both sides of one's mouth"",
  ""English idiom 3"": ""Two-faced""
}
```",,Speak with a forked tongue,"'मुँह देखकर बात करना' means 'Speak with a forked tongue'. Given the above knowledge, translate this sentence to English: 'वह हमेशा लोगों का मुँह देखकर बात करता है।'",He always speaks with a forked tongue by looking at people's faces.,He always speaks with a forked tongue.,1,1,1,1
अपने पाँव पर आप कुल्हाड़ी मारना।,अपना अहित स्वयं करना।,To shoot oneself in the foot.,कुछ लोग अपना ज्यादा स्वार्थ को देखकर अपना ही नुकसान कर देते हैं।,"```json
{
    ""Hindi idiom"": ""अपने पाँव पर आप कुल्हाड़ी मारना।"",
    ""English definition"": ""To harm or sabotage oneself through one's own actions."",
    ""English idiom 1"": ""Shoot oneself in the foot"",
    ""English idiom 2"": ""Cut off one's nose to spite one's face"",
    ""English idiom 3"": ""Dig one's own grave""
}
```",,Shoot oneself in the foot,"'अपने पाँव पर आप कुल्हाड़ी मारना।' means 'Shoot oneself in the foot'. Given the above knowledge, translate this sentence to English: 'कुछ लोग अपना ज्यादा स्वार्थ को देखकर अपना ही नुकसान कर देते हैं।'",Some people end up shooting themselves in the foot by prioritizing their own selfish interests.,"""Some people harm themselves by being too selfish.""",3,3,3,2
