Hindi_Idiom,Hindi_Meaning,English_Meaning,Hindi_Sentence,translation_instruction,English_Sentence_3.5,English_Sentence_4o,3.5_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4,4o_Evaluation_4o
आँखें नीची होना।,लज्जा से गड़ जाना।,To feel ashamed.,छेड़खानी के आरोप में बेटे को हवालात में बन्द देखकर पिता की आँखें नीची हो गईं।,'Translate this sentence to English: 'छेड़खानी के आरोप में बेटे को हवालात में बन्द देखकर पिता की आँखें नीची हो गईं।',"Upon seeing his son confined in custody on charges of teasing, the father's eyes dropped.","""The father's eyes lowered in shame upon seeing his son locked up in jail on charges of harassment.""",2,1,3,3
मिट्टी पलीत करना,बदनाम करना,To disgrace,झूठे आरोप लगाकर उसने उसकी मिट्टी पलीत कर दी।,'Translate this sentence to English: 'झूठे आरोप लगाकर उसने उसकी मिट्टी पलीत कर दी।',"By falsely accusing him, she tarnished his reputation.","""By making false accusations, he ruined his reputation.""",3,3,3,3
मुँह का दरवाजा खोलना,बोलना शुरू करना,To speak up,उसने अंततः मुँह का दरवाजा खोल ही दिया।,'Translate this sentence to English: 'उसने अंततः मुँह का दरवाजा खोल ही दिया।',He finally opened his mouth.,"""He finally opened the door of his mouth.""",3,1,1,1
मुँह झुलसाना,बहुत गर्म चीज खाने से मुँह जलाना,Burn one's mouth,जल्दबाजी में उसने गरम चाय पी ली और मुँह झुलस गया।,'Translate this sentence to English: 'जल्दबाजी में उसने गरम चाय पी ली और मुँह झुलस गया।',He drank hot tea in a hurry and burnt his mouth.,"""In a hurry, he drank the hot tea and burned his mouth.""",3,2,3,1
मुँह में गंगा जल देना,किसी को सत्य बोलने के लिए प्रेरित करना,To speak the truth.,उसे मुँह में गंगा जल देने के बाद ही उसने सच्चाई बताई।,'Translate this sentence to English: 'उसे मुँह में गंगा जल देने के बाद ही उसने सच्चाई बताई।',"After giving him the Ganges water in his mouth, he finally told the truth.",'He told the truth only after taking a solemn oath.',1,1,2,3
मोड़ लेना,दिशा बदलना,Take a turn,उसने अपनी जिंदगी का रुख मोड़ लिया।,'Translate this sentence to English: 'उसने अपनी जिंदगी का रुख मोड़ लिया।',He changed the course of his life.,He changed the course of his life.,3,3,3,3
मुँह पर धूल फेंकना,अपमान करना,To deceive someone,उसकी झूठी बातों ने सबके सामने मेरे मुँह पर धूल फेंक दी।,'Translate this sentence to English: 'उसकी झूठी बातों ने सबके सामने मेरे मुँह पर धूल फेंक दी।',His false words made me look bad in front of everyone.,"""His false words threw dust on my face in front of everyone.""",3,2,1,1
मुँह की फटकार सुनना,डाँट सुनना,To get a scolding.,उसने अपनी गलती पर मुँह की फटकार सुनी।,'Translate this sentence to English: 'उसने अपनी गलती पर मुँह की फटकार सुनी।',He received a rebuke for his mistake.,"""He got a scolding for his mistake.""",3,1,3,1
मुँह उठाना,बिना किसी योजना के काम करना,To show up uninvited,"मुँह उठाकर चल देने से कोई फायदा नहीं होता, योजना बनानी चाहिए।","'Translate this sentence to English: 'मुँह उठाकर चल देने से कोई फायदा नहीं होता, योजना बनानी चाहिए।'",There is no benefit in moving forward without a plan; we should make a plan.,"""There is no use in setting off aimlessly; one should make a plan.""",2,1,3,3
मुँह चूमना,अत्यधिक खुश होना,Kiss.,सफलता पाकर उसने खुशी के मारे मुँह चूम लिया।,'Translate this sentence to English: 'सफलता पाकर उसने खुशी के मारे मुँह चूम लिया।',"After achieving success, he was so happy that he kissed the sky.","""Upon achieving success, he kissed out of sheer joy.""",3,3,2,1
मुँह पर ताले लगाना,बोलने से रोकना,To keep one's mouth shut,उसकी कठोर शब्दों ने सबके मुँह पर ताले लगा दिए।,'Translate this sentence to English: 'उसकी कठोर शब्दों ने सबके मुँह पर ताले लगा दिए।',His harsh words shut everyone up.,"""His harsh words left everyone speechless.""",3,3,3,3
मुँह बंद रखना,चुप रहना,Keep your mouth shut.,उसने सारी बातें सुनकर मुँह बंद रखा।,'Translate this sentence to English: 'उसने सारी बातें सुनकर मुँह बंद रखा।',He kept his mouth shut after hearing everything.,'He kept his mouth shut after hearing everything.',3,3,3,3
मुँह उठाकर चलना,बिना सोचे समझे कुछ करना,To walk with one's head held high.,मुँह उठाकर चलने से पहले सोच-विचार कर लेना चाहिए।,'Translate this sentence to English: 'मुँह उठाकर चलने से पहले सोच-विचार कर लेना चाहिए।',One should think before walking with their head held high.,One should think carefully before walking with one's head held high.,2,2,2,2
मुँह में गुलाब लगाना,मीठी बातें करना,To speak sweetly,उसकी मुँह में गुलाब लगाने वाली बातें सभी को भा गईं।,'Translate this sentence to English: 'उसकी मुँह में गुलाब लगाने वाली बातें सभी को भा गईं।',Her sweet talk charmed everyone.,"""Everyone liked his sweet-talking.""",3,3,3,2
मुँह में चिराग जलाना,खुश होना,To be extremely cautious with one's words.,उसकी सफलता की खबर सुनकर मेरे मुँह में चिराग जल गया।,'Translate this sentence to English: 'उसकी सफलता की खबर सुनकर मेरे मुँह में चिराग जल गया।',"Upon hearing news of his success, my face lit up with joy.","""Hearing about his success made me extremely happy.""",3,3,3,2
मुँह में मिर्ची लगाना,तीखी बातें करना,To speak harshly.,उसकी हर बात में मुँह में मिर्ची लगी रहती है।,'Translate this sentence to English: 'उसकी हर बात में मुँह में मिर्ची लगी रहती है।',He always has a chip on his shoulder.,"""Every word that comes out of his mouth is always spicy.""",2,3,2,1
मुँह खोलना,सच्चाई बताना,To speak up,पुलिस के दबाव में उसने मुँह खोला और सारी सच्चाई बता दी।,'Translate this sentence to English: 'पुलिस के दबाव में उसने मुँह खोला और सारी सच्चाई बता दी।',"Under pressure from the police, he opened his mouth and revealed all the truth.","Under police pressure, he opened his mouth and revealed the whole truth.",3,1,3,3
मुँह बंद करना,किसी को चुप कराना,Shut up,उसके कड़वे शब्द सुनकर सबने उसका मुँह बंद कर दिया।,'Translate this sentence to English: 'उसके कड़वे शब्द सुनकर सबने उसका मुँह बंद कर दिया।',"Upon hearing his harsh words, everyone shut his mouth.","Hearing his bitter words, everyone shut him up.",2,1,3,3
मूल रूप से,शुरुआत से या मुख्य रूप से,Essentially,यह विचार मूल रूप से मेरे दादा का था।,'Translate this sentence to English: 'यह विचार मूल रूप से मेरे दादा का था।',This idea was originally my grandfather's.,This idea originally belonged to my grandfather.,3,3,3,3
मुँह से बोलना,स्पष्ट रूप से कहना,To speak out,वह मुँह से बोलने में संकोच करता है।,'Translate this sentence to English: 'वह मुँह से बोलने में संकोच करता है।',He hesitates to speak out loud.,"""He hesitates to speak.""",3,1,3,1
मुँह में भरा होना,किसी चीज़ से पूरी तरह से संतुष्ट होना,To be speechless,उसकी बातें सुनकर मेरा मुँह में भरा हुआ है।,'Translate this sentence to English: 'उसकी बातें सुनकर मेरा मुँह में भरा हुआ है।',"After hearing him, my mouth is full.","""Hearing his words, my mouth is full.""",1,1,1,1
मुँह का मीत,सच्चा दोस्त,Fair-weather friend,"वह मेरा मुँह का मीत है, हर वक्त साथ देता है।","'Translate this sentence to English: 'वह मेरा मुँह का मीत है, हर वक्त साथ देता है।'","""He is my right-hand man, always by my side.""","He is my close confidant, always there for me.",3,3,3,1
मुँह की सूरत देखना,किसी की ओर ध्यान से देखना,To be disappointed,उसने उसकी मुँह की सूरत देखी और पहचान लिया।,'Translate this sentence to English: 'उसने उसकी मुँह की सूरत देखी और पहचान लिया।',He saw the look on her face and recognized her.,"""He saw his face and recognized him.""",3,1,1,1
मुँह भराई करना,किसी को तोहफा देना,To give a bribe.,शादी में नई बहू की मुँह भराई की रस्म अदा की गई।,'Translate this sentence to English: 'शादी में नई बहू की मुँह भराई की रस्म अदा की गई।',The ritual of feeding the new bride at the wedding was performed.,"""The ceremony of presenting gifts to the new bride at the wedding was performed.""",3,1,3,2
मुँह में सोना रखना,बहुत अधिक धनवान होना,To remain silent,वह इतना धनी है कि लगता है मुँह में सोना रखा है।,'Translate this sentence to English: 'वह इतना धनी है कि लगता है मुँह में सोना रखा है।',He is so rich that it seems like he has gold in his mouth.,"""He is so wealthy that it seems like he has gold in his mouth.""",2,1,2,1
बिना आग धुआं नहीं उठता,हर चीज का कोई न कोई कारण होता है,There is no smoke without fire.,"लोग उसके बारे में यूं ही बातें नहीं कर रहे, बिना आग धुआं नहीं उठता।","'Translate this sentence to English: 'लोग उसके बारे में यूं ही बातें नहीं कर रहे, बिना आग धुआं नहीं उठता।'","""People are not talking about him for no reason, there's no smoke without fire.""","""People aren't talking about him for no reason, where there's smoke there's fire.""",3,3,3,3
मुँह मोड़ना,ध्यान न देना या किनारा करना,Turn away,"जब उसे मदद की जरूरत थी, सभी ने उससे मुँह मोड़ लिया।","'Translate this sentence to English: 'जब उसे मदद की जरूरत थी, सभी ने उससे मुँह मोड़ लिया।'","When she needed help, everyone turned their backs on her.","When he needed help, everyone turned away from him.",3,3,3,3
मुँह से लार टपकना,किसी चीज़ के प्रति अत्यधिक इच्छा रखना,Drooling over something,मिठाई देखकर उसकी मुँह से लार टपकने लगी।,'Translate this sentence to English: 'मिठाई देखकर उसकी मुँह से लार टपकने लगी।',"Upon seeing the sweets, saliva started dripping from his mouth.",'His mouth started watering at the sight of the sweets.',3,1,3,3
मुँह पर कालिख पोतना,बदनामी करना,To disgrace oneself,उसकी हरकतों ने परिवार के मुँह पर कालिख पोत दी।,'Translate this sentence to English: 'उसकी हरकतों ने परिवार के मुँह पर कालिख पोत दी।',His actions brought shame to the family.,His actions brought shame to the family.,3,3,3,3
मुँह पर पानी फेरना,किसी की मेहनत को बेकार करना,To ruin something.,उसकी बेवकूफी ने मेरी पूरी मेहनत पर पानी फेर दिया।,'Translate this sentence to English: 'उसकी बेवकूफी ने मेरी पूरी मेहनत पर पानी फेर दिया।',His foolishness ruined all my hard work.,"""His stupidity ruined all my hard work.""",3,2,3,2
मिट्टी में मिलाना,पूरी तरह से नष्ट करना,To ruin completely,उसकी योजनाओं को मिट्टी में मिला दिया।,'Translate this sentence to English: 'उसकी योजनाओं को मिट्टी में मिला दिया।',His plans were foiled.,"""His plans were ruined.""",3,3,3,3
मूल्य चुकाना,कठिनाई या नुकसान सहना,Pay the price,अपनी गलतियों का उसे भारी मूल्य चुकाना पड़ा।,'Translate this sentence to English: 'अपनी गलतियों का उसे भारी मूल्य चुकाना पड़ा।',He had to pay a heavy price for his mistakes.,He had to pay a heavy price for his mistakes.,3,3,3,3
मुँह में छाले पड़ना,बहुत अधिक बोलना,To have mouth ulcers.,उसने इतना बोला कि उसके मुँह में छाले पड़ गए।,'Translate this sentence to English: 'उसने इतना बोला कि उसके मुँह में छाले पड़ गए।',He talked so much that he got blisters in his mouth.,"""He talked so much that he got blisters in his mouth.""",3,1,2,1
मुँह से बात निकलना,कोई बात कहना,To speak out.,उसकी मुँह से निकली बात सबको अच्छी लगी।,'Translate this sentence to English: 'उसकी मुँह से निकली बात सबको अच्छी लगी।',Everyone liked what came out of his mouth.,Everyone liked what he said.,3,1,3,1
मुँह में लड्डू रखना,किसी शुभ समाचार की सूचना देना,To keep silent,उसकी शादी की खबर सुनकर सभी ने मुँह में लड्डू रखे।,'Translate this sentence to English: 'उसकी शादी की खबर सुनकर सभी ने मुँह में लड्डू रखे।',"Upon hearing the news of his marriage, everyone was all smiles.","""Hearing the news of his marriage, everyone had sweets in their mouths.""",2,3,1,1
भाग्य को कोसना,अपने दुर्भाग्य का दोष देना,To curse one's fate,उसने अपनी असफलता के लिए हमेशा अपने भाग्य को कोसा।,'Translate this sentence to English: 'उसने अपनी असफलता के लिए हमेशा अपने भाग्य को कोसा।',"""He always blamed his luck for his failures.""","""He always blamed his fate for his failure.""",3,3,3,3
मुँह चलाना,बिना रुके बोलना,To talk excessively,उसे गुस्सा आया तो वह मुँह चलाने लगा।,'Translate this sentence to English: 'उसे गुस्सा आया तो वह मुँह चलाने लगा।',"When he got angry, he started sulking.","'When he got angry, he started mouthing off.'",3,1,3,3
बत्तीसी दिखाना,हंसना,"To show one's teeth (i.e., to smile broadly)",उसने एक जोक सुनाया और सबकी बत्तीसी दिखने लगी।,'Translate this sentence to English: 'उसने एक जोक सुनाया और सबकी बत्तीसी दिखने लगी।',He told a joke and everyone's faces lit up.,He told a joke and everyone started showing their teeth.,3,1,2,1
मुँह का मिठू,खुद की तारीफ करने वाला,Sweet talker,"वह अपनी ही तारीफ करता रहता है, जैसे मुँह का मिठू हो।","'Translate this sentence to English: 'वह अपनी ही तारीफ करता रहता है, जैसे मुँह का मिठू हो।'","He keeps praising himself, like a parrot.","'He keeps praising himself, like a parrot.'",2,1,2,1
मुँह का पानी उड़ाना,किसी चीज़ का आनंद लेना,To be astonished.,उसने स्वादिष्ट मिठाई का मुँह का पानी उड़ाया।,'Translate this sentence to English: 'उसने स्वादिष्ट मिठाई का मुँह का पानी उड़ाया।',He drooled over the delicious dessert.,"""He made everyone's mouth water with the delicious sweets.""",3,3,3,3
मुँह में जीभ दबाना,खामोश हो जाना,To remain silent,उसकी डांट सुनकर वह मुँह में जीभ दबा कर बैठ गया।,'Translate this sentence to English: 'उसकी डांट सुनकर वह मुँह में जीभ दबा कर बैठ गया।',"After hearing her scolding, he sat down with his tongue in his mouth.","""Hearing his scolding, he sat quietly, biting his tongue.""",1,1,3,1
मुँह में घी शक्कर,शुभकामनाएँ देना,May your words come true.,उसके अच्छे भविष्य के लिए मैंने मुँह में घी शक्कर कहा।,'Translate this sentence to English: 'उसके अच्छे भविष्य के लिए मैंने मुँह में घी शक्कर कहा।',I praised him to the skies for his bright future.,"""For his bright future, I said 'may your mouth be filled with ghee and sugar.'""",2,1,1,1
मुँह में अंगुली डालकर हँसाना,जबरदस्ती हँसाना,To make someone laugh by putting a finger in their mouth.,उसने हमें मुँह में अंगुली डालकर हँसाया।,'Translate this sentence to English: 'उसने हमें मुँह में अंगुली डालकर हँसाया।',He made us laugh by putting his finger in his mouth.,'He made us laugh with our mouths wide open in amazement.',1,1,2,2
मुँह का मिठाई घुलना,अत्यधिक प्रसन्न होना,Sweetness melting in the mouth,उसकी तारीफ सुनकर मेरे मुँह में मिठाई घुल गई।,'Translate this sentence to English: 'उसकी तारीफ सुनकर मेरे मुँह में मिठाई घुल गई।',"After hearing his praise, I felt like I had sweets in my mouth.","""Hearing his praise made my mouth sweet.""",3,2,2,1
मुँह की बात कहना,साफ-साफ अपनी बात कहना,To speak one's mind,उसने मुँह की बात कही और सबने समझ लिया।,'Translate this sentence to English: 'उसने मुँह की बात कही और सबने समझ लिया।',"He said one thing, but everyone understood something else.","He spoke everyone's mind, and everyone understood.",2,1,3,2
भूल सुधारना,गलती ठीक करना,Correcting a mistake,उसे अपनी भूल सुधारनी चाहिए।,'Translate this sentence to English: 'उसे अपनी भूल सुधारनी चाहिए।',He should rectify his mistake.,He should correct his mistake.,3,3,3,3
अंगूठा दिखाना।,इनकार करना।,To show a thumb.,जब कृष्णगोपाल मन्त्री बने थे तो उन्होंने किशोरी को आश्वासन दिया था कि जब उसका बेटा इण्टर कर लेगा तो वह उसकी नौकरी लगवा देंगे। बेटे के प्रथम श्रेणी में उत्तीर्ण होने पर किशोरी ने उन्हें याद दिलाई तो उन्होंने उसे अँगूठा दिखा दिया।,'Translate this sentence to English: 'जब कृष्णगोपाल मन्त्री बने थे तो उन्होंने किशोरी को आश्वासन दिया था कि जब उसका बेटा इण्टर कर लेगा तो वह उसकी नौकरी लगवा देंगे। बेटे के प्रथम श्रेणी में उत्तीर्ण होने पर किशोरी ने उन्हें याद दिलाई तो उन्होंने उसे अँगूठा दिखा दिया।',"When Krishna Gopal became a minister, he assured Kishori that when his son completes his graduation, he will help him secure a job. When the son passed his first class, Kishori reminded him of this promise, but he showed her the thumb.","When Krishnagopal became a minister, he had assured Kishori that when her son completed his intermediate studies, he would get him a job. When her son passed with first-class marks and Kishori reminded him, he showed her the thumb.",1,1,1,1
मुँह पर पानी फेरना,किसी की मेहनत को बेकार करना,To ruin something completely.,उसने मेरी सारी मेहनत पर मुँह पर पानी फेर दिया।,'Translate this sentence to English: 'उसने मेरी सारी मेहनत पर मुँह पर पानी फेर दिया।',He poured cold water on all my hard work.,He ruined all my hard work.,3,3,3,2
मुँह चिढ़ाना,ताना मारना,To tease,उसकी गलती पर दोस्त ने मुँह चिढ़ाया।,'Translate this sentence to English: 'उसकी गलती पर दोस्त ने मुँह चिढ़ाया।',His friend teased him for his mistake.,'His friend mocked him for his mistake.',3,2,3,3
बेजोड़ होना,अद्वितीय होना,To be unparalleled,ताजमहल की खूबसूरती बेजोड़ है।,'Translate this sentence to English: 'ताजमहल की खूबसूरती बेजोड़ है।',The beauty of the Taj Mahal is unmatched.,"""The beauty of the Taj Mahal is unparalleled.""",3,3,3,3
बड़ा मुँह करना,अधिक बोलना,To boast,बच्चों को बड़ा मुँह करने की आदत नहीं होनी चाहिए।,'Translate this sentence to English: 'बच्चों को बड़ा मुँह करने की आदत नहीं होनी चाहिए।',Children should not be in the habit of talking back.,"""Children should not have the habit of talking back.""",3,3,3,3
मुँह छुपाना,शर्मिंदगी से किसी के सामने न जाना,Hide one's face,हार के बाद वह सबके सामने मुँह छुपाने लगा।,'Translate this sentence to English: 'हार के बाद वह सबके सामने मुँह छुपाने लगा।',"After losing, he started to hide his face in front of everyone.","""After the defeat, he began to hide his face in front of everyone.""",3,1,3,1
मुलायम व्यवहार,शांति और सौम्यता से बात करना,Gentle behavior,उसका मुलायम व्यवहार सभी को पसंद आता है।,'Translate this sentence to English: 'उसका मुलायम व्यवहार सभी को पसंद आता है।',Everyone likes his gentle behavior.,Everyone likes his gentle behavior.,3,1,3,1
मुँह में बर्फ रखना,चुप रहना,To keep silent,उसकी हरकतों पर मैंने मुँह में बर्फ रख ली।,'Translate this sentence to English: 'उसकी हरकतों पर मैंने मुँह में बर्फ रख ली।',I kept my cool despite his actions.,"""I kept ice in my mouth regarding his actions.""",3,3,1,1
मुँह पर ताला लगाना,कुछ न कहना,To keep one's mouth shut,उसकी बातों पर मैंने मुँह पर ताला लगा लिया।,'Translate this sentence to English: 'उसकी बातों पर मैंने मुँह पर ताला लगा लिया।',I remained tight-lipped about what he said.,"""I kept my mouth shut at his words.""",3,3,3,3
मुँह देख कर पानी पीना,किसी की प्रशंसा में अधिक कहना,To be cautious or reserved in one's actions.,उसने मुँह देख कर पानी पिया और सबको खुश किया।,'Translate this sentence to English: 'उसने मुँह देख कर पानी पिया और सबको खुश किया।',He drank water after looking at the face and made everyone happy.,"""He drank water after seeing the face and made everyone happy.""",1,1,1,1
मुँह की बकबक करना,बहुत बात करना,To talk nonsense,उसकी मुँह की बकबक ने सबको परेशान कर दिया।,'Translate this sentence to English: 'उसकी मुँह की बकबक ने सबको परेशान कर दिया।',His constant chatter irritated everyone.,"""His incessant chatter annoyed everyone.""",3,2,3,2
मुँह छिपाना,शर्मिंदा होना,Hide one's face,अपनी गलती पर उसे मुँह छिपाना पड़ा।,'Translate this sentence to English: 'अपनी गलती पर उसे मुँह छिपाना पड़ा।',He had to hide his face for his mistake.,"""He had to hide his face due to his mistake.""",3,2,3,2
मुँह में घी-शक्कर देना,अच्छे शब्दों में प्रशंसा करना,To wish someone well.,उसकी सफलता पर सभी ने मुँह में घी-शक्कर दिया।,'Translate this sentence to English: 'उसकी सफलता पर सभी ने मुँह में घी-शक्कर दिया।',Everyone congratulated him on his success.,Everyone congratulated him on his success.,3,1,3,1
मुँह में अंगुली डालना,किसी के मामले में अनावश्यक दखल देना,To deceive or trick someone.,दूसरों के मामलों में मुँह में अंगुली डालना ठीक नहीं।,'Translate this sentence to English: 'दूसरों के मामलों में मुँह में अंगुली डालना ठीक नहीं।',Poking one's nose in other people's business is not right.,"""It is not right to interfere in others' matters.""",3,3,3,2
मुँह बिचकाना,नापसंदगी दिखाना,To make a face,"जब मैंने उसे काम करने को कहा, तो उसने मुँह बिचका लिया।","'Translate this sentence to English: 'जब मैंने उसे काम करने को कहा, तो उसने मुँह बिचका लिया।'","When I asked him to work, he turned his face away.","When I asked him to work, he made a face.",2,1,3,2
मुँह का निवाला छीनना,किसी की मेहनत का फल छीन लेना,To snatch food from someone's mouth,"उसके प्रमोशन को रोककर, बॉस ने उसके मुँह का निवाला छीन लिया।","'Translate this sentence to English: 'उसके प्रमोशन को रोककर, बॉस ने उसके मुँह का निवाला छीन लिया।'","Stopping his promotion, the boss snatched the bread from his mouth.","""By stopping his promotion, the boss snatched the bread from his mouth.""",2,2,2,2
मुँह में शब्द न फूटना,कुछ भी न बोल पाना,To be at a loss for words,उसकी अप्रत्याशित सफलता पर मेरे मुँह में शब्द नहीं फूटे।,'Translate this sentence to English: 'उसकी अप्रत्याशित सफलता पर मेरे मुँह में शब्द नहीं फूटे।',I was left speechless by his unexpected success.,"""I was at a loss for words at his unexpected success.""",3,3,3,3
मुँह की बात करना,अपनी इच्छा बताना,To speak one's mind,मैंने अपनी मुँह की बात कही और वह मान गया।,'Translate this sentence to English: 'मैंने अपनी मुँह की बात कही और वह मान गया।',"I spoke my mind, and he agreed.","""I spoke my mind and he agreed.""",3,3,3,3
मुँह का मिट्टी होना,अपमानित होना,To be humiliated,उसकी बेइज्जती ने उसके मुँह का मिट्टी कर दिया।,'Translate this sentence to English: 'उसकी बेइज्जती ने उसके मुँह का मिट्टी कर दिया।',His disgrace made him eat humble pie.,His humiliation made him lose face.,3,3,3,3
मोह त्यागना,सांसारिक इच्छाओं को छोड़ देना,Renounce attachment,संतों ने मोह त्यागकर साधना का मार्ग अपनाया।,'Translate this sentence to English: 'संतों ने मोह त्यागकर साधना का मार्ग अपनाया।',The saints adopted the path of meditation by renouncing attachment.,"""The saints renounced attachment and adopted the path of meditation.""",3,3,3,3
मुँह पर मिट्टी डालना,किसी के आत्म-सम्मान को ठेस पहुँचाना,To disgrace someone,उसने सबके सामने मेरी मुँह पर मिट्टी डाल दी।,'Translate this sentence to English: 'उसने सबके सामने मेरी मुँह पर मिट्टी डाल दी।',He humiliated me in front of everyone.,He humiliated me in front of everyone.,3,3,3,3
मुँह का जाला साफ करना,अपनी बात को स्पष्ट रूप से रखना,To break one's silence.,उसने अपने विचारों को मुँह का जाला साफ कर सबके सामने रखा।,'Translate this sentence to English: 'उसने अपने विचारों को मुँह का जाला साफ कर सबके सामने रखा।',He cleared the air by putting his thoughts on the table in front of everyone.,He cleared the cobwebs from his mind and expressed his thoughts in front of everyone.,3,2,3,3
मुँह का फेरा होना,भाग्य का साथ न देना,Change of mind,उसके साथ हमेशा मुँह का फेरा ही रहा।,'Translate this sentence to English: 'उसके साथ हमेशा मुँह का फेरा ही रहा।',He always kept avoiding eye contact with him.,"""He always faced disappointment with him.""",2,1,1,2
मुँह का चूना लगाना,अपमान करना,To be disappointed or embarrassed.,उसने सबके सामने उसका मुँह का चूना लगा दिया।,'Translate this sentence to English: 'उसने सबके सामने उसका मुँह का चूना लगा दिया।',He insulted him in front of everyone.,"""He humiliated him in front of everyone.""",3,1,3,3
मुँह से दूध पीना,अभी छोटा या अपरिपक्व होना,To be very naive or inexperienced.,"वह अभी मुँह से दूध पी रहा है, उसे इन मामलों की समझ नहीं है।","'Translate this sentence to English: 'वह अभी मुँह से दूध पी रहा है, उसे इन मामलों की समझ नहीं है।'","He is still drinking milk from his mouth, he doesn't understand these matters.","""He is still wet behind the ears; he doesn't understand these matters.""",1,1,3,3
मुँह दिखाना,सामना करना,Show one's face,गलती करने के बाद वह सबके सामने मुँह दिखाने से डरता है।,'Translate this sentence to English: 'गलती करने के बाद वह सबके सामने मुँह दिखाने से डरता है।',"After making a mistake, he is afraid to face everyone.","After making a mistake, he is afraid to show his face in front of everyone.",3,2,3,3
मुँह लटकाना,निराश होना,To look disappointed,खराब परिणाम के बाद उसने मुँह लटका लिया।,'Translate this sentence to English: 'खराब परिणाम के बाद उसने मुँह लटका लिया।',"After the bad outcome, he hung his head in shame.","'After the bad result, he looked dejected.'",3,3,3,3
मुँह का न बोलना,किसी से बातचीत बंद कर देना,Not speaking up,बहस के बाद दोनों ने एक-दूसरे से मुँह का न बोलने का फैसला किया।,'Translate this sentence to English: 'बहस के बाद दोनों ने एक-दूसरे से मुँह का न बोलने का फैसला किया।',"After the argument, both decided not to speak to each other.","'After the argument, both decided not to speak to each other.'",3,1,3,1
मुँह देखकर बात करना,किसी की स्थिति देखकर बात करना,To speak according to the listener's mood or preference.,वह हमेशा लोगों का मुँह देखकर बात करता है।,'Translate this sentence to English: 'वह हमेशा लोगों का मुँह देखकर बात करता है।',He always talks by looking at people's faces.,"""He always speaks by watching people's reactions.""",1,1,3,1
अपने पाँव पर आप कुल्हाड़ी मारना।,अपना अहित स्वयं करना।,To shoot oneself in the foot.,कुछ लोग अपना ज्यादा स्वार्थ को देखकर अपना ही नुकसान कर देते हैं।,'Translate this sentence to English: 'कुछ लोग अपना ज्यादा स्वार्थ को देखकर अपना ही नुकसान कर देते हैं।',Some people end up harming themselves by prioritizing their own selfish interests.,"""Some people harm themselves by being overly selfish.""",3,3,3,2
अपना उल्लू सीधा करना।,स्वार्थ सिद्ध करना।,To look out for one's own interests.,कुछ लोग अपना उल्लू सीधा करने के लिए दूसरों को हानि पहुँचाने से भी नहीं चूकते।,'Translate this sentence to English: 'कुछ लोग अपना उल्लू सीधा करने के लिए दूसरों को हानि पहुँचाने से भी नहीं चूकते।',"Some people will go to any lengths to straighten their owl, even if it means harming others.","""Some people do not hesitate to harm others to serve their own interests.""",1,1,3,3
मुँह पर थूकना,अपमानित करना,To insult someone directly,उसकी बदतमीजी ने मुझे मुँह पर थूकने जैसा महसूस कराया।,'Translate this sentence to English: 'उसकी बदतमीजी ने मुझे मुँह पर थूकने जैसा महसूस कराया।',His rudeness made me feel like spitting in my face.,'His rudeness made me feel like spitting in his face.',1,1,3,1
मुँह खोलना,बोलना शुरू करना,To speak up,जब बात हद से गुजर गई तो उसने मुँह खोला।,'Translate this sentence to English: 'जब बात हद से गुजर गई तो उसने मुँह खोला।',"When things went too far, he spoke up.","""When things went too far, he spoke up.""",3,3,3,3
मुँह से निकलते ही पक जाना,बहुत जल्दी साकार होना,To be accepted immediately upon being spoken,"उसने जो सोचा था, वह मुँह से निकलते ही पक गया।","'Translate this sentence to English: 'उसने जो सोचा था, वह मुँह से निकलते ही पक गया।'","What he had thought, as soon as he said it, it turned out to be true.",What he thought of got caught the moment it came out of his mouth.,2,1,2,1
मुँह में मिठाई रखनी,किसी को खुश करना,To keep someone sweet.,उसकी सफलता की खबर सुनकर सभी के मुँह में मिठाई रखी गई।,'Translate this sentence to English: 'उसकी सफलता की खबर सुनकर सभी के मुँह में मिठाई रखी गई।',"Upon hearing news of his success, everyone had a sweet taste in their mouths.","""Hearing the news of his success, sweets were put in everyone's mouth.""",3,1,1,1
मुँह का कौर निकालना,किसी की आजीविका छीनना,To snatch away someone's morsel.,उसकी बुरी चाल ने मेरे मुँह का कौर निकाल लिया।,'Translate this sentence to English: 'उसकी बुरी चाल ने मेरे मुँह का कौर निकाल लिया।',His evil scheme made me lose face.,"""His evil deed snatched the morsel from my mouth.""",3,1,2,3
मुँह की मीठी बात,मीठी बातें करना,Sweet talk,उसने सबको मुँह की मीठी बात कहकर प्रभावित किया।,'Translate this sentence to English: 'उसने सबको मुँह की मीठी बात कहकर प्रभावित किया।',He impressed everyone by speaking sweet words.,"""He impressed everyone by speaking sweet words.""",3,1,3,2
मुँह में पटाखा फूटना,कुछ अचानक और आश्चर्यजनक घटना होना,To be speechless with surprise,उसकी सफलता की खबर सुनते ही जैसे मेरे मुँह में पटाखा फूट गया।,'Translate this sentence to English: 'उसकी सफलता की खबर सुनते ही जैसे मेरे मुँह में पटाखा फूट गया।',"As soon as I heard about his success, it felt like a firecracker had exploded in my mouth.","""Hearing the news of his success felt like a firecracker exploded in my mouth.""",3,1,3,1
